SOURCELONG:Deities and Demigods	SOURCESHORT:DaD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-04																													
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Immortal	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Deity ~ Immortal																											SOURCEPAGE:DaD
Divine Rank	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Divine Rank %1.|DivineRank	KEY:Deity ~ Divine Rank				DEFINE:DivineRank|0																							SOURCEPAGE:DaD
Divine Speed	CATEGORY:Special Ability	TYPE:SpecialQuality.ModifyMovement	VISIBLE:YES		KEY:Deity ~ Divine Speed																											SOURCEPAGE:DaD
Remote Sensing	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural.Sense	VISIBLE:YES	DESC:As a standard action, a deity of rank 1 or higher can perceive everything within a radius of one mile per rank around any of its worshipers, holy sites, or other objects or locales sacred to the deity. This supernatural effect can also be centered on any place where someone speaks the deity's name or title for up to 1 hour after the name is spoken, and at any location when an event related to the deity's portfolio occurs (see the deity descriptions for details).	KEY:Deity ~ Remote Sensing	DESC:%1 Locations|RemoteSensingLocations			DEFINE:RemoteSensingLocations|0																							SOURCEPAGE:DaD
Block Sensing	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:As a standard action, a deity of rank 1 or higher can block the sensing ability of other deities of its rank or lower. This power extends for a radius of one mile per rank of the deity, or within the same distance around a temple or other locale sacred to the deity, or the same distance around a portfolio-related event. The deity can block two remote locations at once, plus the area within one mile of itself. The blockage lasts 1 hour per divine rank.	KEY:Deity ~ Block Sensing	DESC:%1 hours|DivineRank																										SOURCEPAGE:DaD
Portfolio Sense	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Past %1 Weeks|DivineRank|PREVAREQ:PortfolioSenseLevel,1	KEY:Deity ~ Portfolio Sense	DESC:Past and Future %1 Weeks|DivineRank|PREVAREQ:PortfolioSenseLevel,2			DEFINE:PortfolioSenseLevel|0																							SOURCEPAGE:DaD
Automatic Actions	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:%1, max DC %2|AutomaticActions|AutomaticActionsDC	KEY:Deity ~ Automatic Action				DEFINE:AutomaticActions|0	DEFINE:AutomaticActionsDC|0																						SOURCEPAGE:DaD
Create Magic Items	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:%1 gp|CreateMagicItemsValue	KEY:Deity ~ Create Magic Items				DEFINE:CreateMagicItemsValue|0																							SOURCEPAGE:DaD
Divine Aura	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Aura	VISIBLE:YES	DESC:%1 ft.|DivineAuraRadius	KEY:Deity ~ Divine Aura ~ feet																											SOURCEPAGE:DaD
Divine Aura	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Aura	VISIBLE:YES	DESC:%1 mi.|DivineAuraRadius	KEY:Deity ~ Divine Aura ~ miles																											SOURCEPAGE:DaD
Grant Spells	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:A deity automatically grants spells and domain powers to mortal divine spellcasters who pray to it. A deity can withhold spells from any particular mortal as a free action; once a spell has been granted, it remains in the mortal's mind until expended.	KEY:Deity ~ Grant Spells																											SOURCEPAGE:DaD
Spontaneous Casting	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A deity of rank 1 or higher who has levels in a divine spellcasting class can spontaneously cast any spell it can grant. This power works like a cleric's ability to spontaneously cast cure spells (see the cleric section in Chapter 3 of the Player's Handbook), except that it applies to any spell the deity can grant.	KEY:Deity ~ Spontaneous Casting																											SOURCEPAGE:DaD
Communication	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Communicate	VISIBLE:YES	DESC:A deity of rank 1 or higher can understand, speak, and read any language, including nonverbal languages. The deity can speak directly to any beings within one mile of itself per divine rank.	KEY:Deity ~ Communication																											SOURCEPAGE:DaD
Godly Realm	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:%1 ft./%1 ft.|100*DivineRank|PREVAREQ:GodlyRealmLevel,0	KEY:Deity ~ Godly Realm	DESC:1 mile/%1 ft.|100*DivineRank|PREVAREQ:PortfolioSenseLevel,1	DESC:10 miles/%1 ft.|100*DivineRank|PREVAREQ:PortfolioSenseLevel,2	DESC:100 miles/%1 ft.|100*DivineRank|PREVAREQ:PortfolioSenseLevel,3	DEFINE:GodlyRealmLevel|0																							SOURCEPAGE:DaD
Travel	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike.ModifyMovement	VISIBLE:YES		KEY:Deity ~ Travel												SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=TL|Teleport (Greater)															SOURCEPAGE:DaD
																																
## Divine Speed by size																																
# Fine																																
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Fine Speed (Biped - Walk)|PRELEGSLTEQ:2|PREMOVE:1,Walk=1|PRESIZEEQ:F									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Fine Speed (Quad - Walk)|PRELEGSGTEQ:3|PREMOVE:1,Walk=1|PRESIZEEQ:F									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Fine Speed (All - Burrow)|PREMOVE:1,Burrow=1|PRESIZEEQ:F									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Fine Speed (All - Swim)|PREMOVE:1,Swim=1|PRESIZEEQ:F									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Fine Speed (All - Climb)|PREMOVE:1,Climb=1|PRESIZEEQ:F									
CATEGORY=Special Ability|Deity ~ Divine Speed.MOD																							ABILITY:Internal|AUTOMATIC|Fine Speed (All - Fly)|PREMOVE:1,Fly=1|PRESIZEEQ:F									
# Diminutive																																
