SOURCELONG:Deities and Demigods	SOURCESHORT:DaD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-04						
									
#	SOURCEPAGE:SpellListI.rtf		SPELLLEVEL:DOMAIN|=1||=2||=3||=4||=5||=6||=7||=8||=9|	DESC:					
Artifice	SOURCEPAGE:DaD	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainArtifice,1]	SPELLLEVEL:DOMAIN|Artifice=1|Animate Rope|Artifice=2|Wood Shape|Artifice=3|Stone Shape|Artifice=4|Minor Creation|Artifice=5|Fabricate|Artifice=6|Major Creation|Artifice=7|Hardening|Artifice=8|True Creation|Artifice=9|Prismatic Sphere	DESC:Gain +4 bonus on Craft checks. You cast conjuration (creation) spells at +1 caster level (Those with access to both the Artifice and Creation domains cast conjuration [creation] spells at +3 caster level).		BONUS:SKILL|TYPE.Craft|4	BONUS:CASTERLEVEL|SUBSCHOOL.Creation|1|PRERULE:1,SYS_DOMAIN		
Charm	SOURCEPAGE:DaD	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainChrm,1]	SPELLLEVEL:DOMAIN|Charm=1|Charm Person|Charm=2|Calm Emotions|Charm=3|Suggestion|Charm=4|Emotion|Charm=5|Charm Monster|Charm=6|Geas/Quest|Charm=7|Insanity|Charm=8|Demand|Charm=9|Dominate Monster	DESC:You can boost your Charisma by 4 points once per day. Activating this power is a free action. The Charisma increase lasts 1 minute.		TEMPDESC:You can boost your Charisma by 4 points.	TEMPBONUS:PC|STAT|CHA|4		
Darkness	SOURCEPAGE:DaD	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainDarkness,1]	SPELLLEVEL:DOMAIN|Darkness=1|Obscuring Mist|Darkness=2|Blindness/Deafness|Darkness=3|Blacklight|Darkness=4|Armor of Darkness|Darkness=5|Darkness ~ Summon Monster V|Darkness=6|Prying Eyes|Darkness=7|Nightmare|Darkness=8|Power Word Blind|Darkness=9|Power Word Kill	DESC:Free Blind-Fight feat.		ABILITY:FEAT|AUTOMATIC|Blind-Fight			
Liberation	SOURCEPAGE:DaD	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainLiberation,1]	SPELLLEVEL:DOMAIN|Liberation=1|Remove Fear|Liberation=2|Remove Paralysis|Liberation=3|Remove Curse|Liberation=4|Freedom of Movement|Liberation=5|Break Enchantment|Liberation=6|Dispel Magic (Greater)|Liberation=7|Refuge|Liberation=8|Mind Blank|Liberation=9|Unbinding	DESC:You gain a +2 morale bonus on all saving throws against enchantment spells or effects.		ABILITY:Special Ability|AUTOMATIC|Resistance to Enchantment	BONUS:VAR|EnchantmentResistanceBonus|2|TYPE=Morale		
Repose	SOURCEPAGE:DaD	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainRepose,1]	SPELLLEVEL:DOMAIN|Repose=1|Deathwatch|Repose=2|Gentle Repose|Repose=3|Speak with Dead|Repose=4|Death Ward|Repose=5|Slay Living|Repose=6|Undeath to Death|Repose=7|Destruction|Repose=8|Surelife|Repose=9|Wail of the Banshee	DESC:You may use a death touch once per day. Your death touch is a supernatural ability that produces a death effect. You must succeed on a melee touch attack against a living creature (using the rules for touch spells). When you touch, roll 1d6 per cleric level you possess. If the total at least equals the creature's current hit points, it dies (no save).		ABILITY:Special Ability|AUTOMATIC|Death Touch	BONUS:VAR|DeathTouchTimes|1	BONUS:VAR|DeathTouch|ClericLVL|TYPE=Level.REPLACE	BONUS:VAR|Smite|1
Rune	SOURCEPAGE:DaD	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainRune,1]	SPELLLEVEL:DOMAIN|Rune=1|Erase|Rune=2|Secret Page|Rune=3|Glyph of Warding|Rune=4|Explosive runes|Rune=5|Planar Binding (Lesser)|Rune=6|Glyph of Warding (Greater)|Rune=7|Drawmij's Instant Summons|Rune=8|Symbol|Rune=9|Teleportation Circle	DESC:Free Scribe Scroll feat.		ABILITY:FEAT|AUTOMATIC|Scribe Scroll			
Scalykind	SOURCEPAGE:DaD	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainScalykind,1]	SPELLLEVEL:DOMAIN|Scalykind=1|Magic Fang|Scalykind=2|Animal Trance ~ Reptiles only|Scalykind=3|Magic Fang (Greater)|Scalykind=4|Poison|Scalykind=5|Animal Growth ~ Reptiles only|Scalykind=6|Eyebite|Scalykind=7|Creeping Doom ~ Reptiles only|Scalykind=8|Animal Shapes ~ Reptiles only|Scalykind=9|Shapechange	DESC:Rebuke or command animals (reptilian creatures and snakes only) as an evil cleric rebukes or commands undead. Use this ability a total number of times per day equal to 3 + your Charisma modifier.		BONUS:ABILITYPOOL|Turn Reptile|1|TYPE=ClassAbility	ABILITY:Special Ability|AUTOMATIC|Basic Turning	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|ClericLVL|TYPE=Level.REPLACE	
Weather	SOURCEPAGE:DaD	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainWeather,1]	SPELLLEVEL:DOMAIN|Weather=1|Obscuring Mist|Weather=2|Fog Cloud|Weather=3|Call Lightning|Weather=4|Sleet Storm|Weather=5|Ice Storm|Weather=6|Control Winds|Weather=7|Control Weather|Weather=8|Whirlwind|Weather=9|Storm of Vengeance	DESC:Intuit Direction and Survival are class skills.		CSKILL:Survival			
