SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2024-08																													
																																
###Block:									DEFINE					BONUS									ABILITY									SOURCEPAGE
###Block: Determines if first class qualifies for Multiclass Requirements. First Class uses its own requirements to determine if to activate this ability, which then enables the multiclass options.																																
# Ability Name				Category of Ability																												
Multiclass Allowed ~ Artificer	CATEGORY:Internal	TYPE:MulticlassAllowed																														
																																
CATEGORY=Internal|Multiclass Allowed.MOD	ABILITY:Internal|AUTOMATIC|Multiclass Allowed ~ Artificer|PRESTAT:1,INT=13																															
																																
# Ability first level of the class (as if multiclassed), the other abilities are on the template.																																
Artificer	CATEGORY:CLASS								DEFINE:POOL_Artificer_Skill|0							BONUS:VAR|POOL_Artificer_Skill|1	BONUS:ABILITYPOOL|Tinker's Tools Proficiency|1						ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium|TYPE=ShieldProf									SOURCEPAGE:PHB
																																
																																
###Block:Abilities																																
Magical Tinkering	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:As a Magic action while holding Tinker's Tools, you can create one item in an unoccupied space within 5 feet of yourself, choosing the item from the following list. Ball Bearings Net &nl; Basket Oil &nl; Bedroll Paper &nl; Bell Parchment &nl; Blanket Pole &nl; Block and Tackle Pouch &nl; Bucket Rope &nl; Caltrops Sack &nl; Candle Shovel &nl; Crowbar String &nl; Flask Tinderbox &nl; Jug Torch &nl; Lamp Vial &nl; See the rules for the item in the Player's Handbook. The item vanishes after 1 hour. You can use this feature a number of times equal to your Intelligence modifier (minimum of once), and you regain all expended uses when you finish a Long Rest.	KEY:Artificer ~ Magical Tinkering	DEFINE:MagicalTinkeringTimes|0					BONUS:VAR|MagicalTinkeringTimes|max(INT,1)																	SORTKEY:Class_Artificer_01a	SOURCEPAGE:PHB			
Spellcasting	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:You have learned how to channel magical energy through objects. See the Player's Handbook for the rules on spellcasting. The information below details how you use those rules with Artificer spells, which appear in the Artificer spell list later in the class's description. Tools Required. You produce your Artificer spells through tools. You can use Thieves� Tools, Tinker's Tools, or another kind of Artisan's Tools with which you have proficiency as a Spellcasting Focus, and you must have one of those focuses in hand when you cast an Artificer spell (meaning the spell has an �M� component when you cast it). &nl; Cantrips. You know two Artificer cantrips of your choice. Acid Splash and Prestidigitation are recommended. Whenever you finish a Long Rest, you can replace one of your cantrips from this feature with another Artificer cantrip of your choice. When you reach Artificer levels 10 and 14, you learn another Artificer cantrip of your choice, as shown in the Cantrips column of the Artificer Features table. Spell save DC %1. Spell attack modifier +%2. &nl; Spell Slots. The Artificer Features table shows how many spell slots you have to cast your level 1+ spells. You regain all expended spell slots when you finish a Long Rest. &nl; Prepared Spells of Level 1+. You prepare the list of level 1+ spells that are available for you to cast with this feature. To start, choose two level 1 Artificer spells. Cure Wounds and Grease are recommended. The number of spells on your list increases as you gain Artificer levels, as shown in the Prepared Spells column of the Artificer Features table. Whenever that number increases, choose additional Artificer spells until the number of spells on your list matches the number on the table. The chosen spells must be of a level for which you have spell slots. For example, if you�re a level 5 Artificer, your list of prepared spells can include six Artificer spells of levels 1 and 2 in any combination. If another Artificer feature gives you spells that you always have prepared, those don�t count against the number of spells you can prepare with this feature, but those spells otherwise count as Artificer spells for you. Changing Your Prepared Spells. Whenever you finish a Long Rest, you can change your list of prepared spells, replacing any of the spells there with other Artificer spells for which you have spell slots. &nl; Spellcasting Ability. Intelligence is your spellcasting ability for your Artificer spells. &nl; Spellcasting Focus. You can use a Musical Instrument as a Spellcasting Focus for your Bard spells.|ArtificerSpellDC|Proficiency_Bonus+INT	KEY:Artificer ~ Spellcasting				DEFINE:ArtificerSpellDC|0					BONUS:VAR|ArtificerSpellDC|SpellDC_INT	BONUS:VAR|POOL_Artificer_Cantrip|2+(ArtificerVL>=10)+(ArtificerLVL>=14)																SORTKEY:Class_Artificer_01b	SOURCEPAGE:PHB
Replicate Magic Items	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:You have learned arcane plans that you use to make magic items. &nl; Plans Known. When you gain this feature, choose four plans to learn from the Magic Item Plans (Artificer Level 2+) table (see the Dungeon Master's Guide for the items� descriptions). Bag of Holding, Cap of Water Breathing, Sending Stones, and Wand of the War Mage +1 are recommended. Whenever you gain an Artificer level, you can replace one of the plans you know with a new plan for which you qualify. You learn another plan of your choice when you reach certain Artificer levels, as shown in the Plans Known column of the Artificer Features table. &nl; Creating an Item. When you finish a Long Rest, you can create one or two different magic items if you have Tinker's Tools in hand. Each item is based on one of the plans you know for this feature. If a created item requires Attunement, you can attune yourself to it the instant you create it. If you decide to attune to the item later, you must do so using the normal process for Attunement. When you reach certain Artificer levels specified in the Magic Items column of the Artificer Features table, the number of magic items you can create at the end of a Long Rest increases. Each item you create must be based on a different plan you know. If you try to exceed your maximum number of magic items for this feature, the oldest item vanishes, and then the new item appears. &nl; Duration. A magic item created by this feature functions exactly like the normal magic item, except its magic isn�t permanent. When you die, the magic item vanishes after 1d4 of days. If an item that you created with this feature is a container, such as a Bag of Holding, and it vanishes, its contents harmlessly appear in and around its space.	KEY:Artificer ~ Replicate Magical Item				DEFINE:ReplicateMagicItems|0					BONUS:VAR|ReplicateMagicItems|4+(ArtificerVL>=6)+(ArtificerLVL>=10)+(ArtificerLVL>=14)+(ArtificerLVL>=18)																	SORTKEY:Class_Artificer_01c	SOURCEPAGE:PHB
Artificer Subclass	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:You gain an Artificer subclass of your choice. The Alchemist, Armorer, Artillerist, and Battle Smith subclasses are detailed after this class's description. A subclass is a specialization that grants you features at certain Artificer levels. For the rest of your career, you gain each of your subclass's features that are of your Artificer level or lower.	KEY:Artificer ~ Artificer Subclass									BONUS:ABILITYPOOL|Artificer Subclass|1																	SORTKEY:Class_Artificer_01d	SOURCEPAGE:PHB
Right Tool for the Job	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:The list of items you can create with Magical Tinkering now includes Artisan's Tools, which are described in the Player's Handbook.	KEY:Artificer ~ Right Tool for the Job																										SORTKEY:Class_Artificer_01e	SOURCEPAGE:PHB
Ability Score Improvement	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:You gain the Ability Score Improvement feat (see chapter 5) or another feat of your choice for which you qualify. You gain this feature again at Artificer levels 8,12, and 16.	KEY:Artificer ~ Ability Score Improvement									BONUS:VAR|POOL_Feat|1*((ArtificerLVL>=4)+(ArtificerLVL>=8)+(ArtificerLVL>=12)+(ArtificerLVL>=16))																	SORTKEY:Class_Artificer_01f	SOURCEPAGE:PHB
Magic Item Tinker	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:Your Replicate Magic Item feature improves as follows: &nl; Drain Magic Item. As a Bonus Action, you can touch a magic item within 5 feet of yourself that you created with Replicate Magic Item and cause the item to vanish, converting its magical energy into a spell slot. The slot is level 1 if the item is Common or level 2 if the item is Uncommon or Rare. Once you use this feature, you can�t do so again until you finish a Long Rest. Any spell slot you create with this feature vanishes when you finish a Long Rest. &nl; Expanded Replication. When you learn a plan for your Replicate Magic Item feature, you can now also choose from the Magic Item Plans (Artificer Level 6+) table.	KEY:Artificer ~ Magic Item Tinker																										SORTKEY:Class_Artificer_01g	SOURCEPAGE:PHB
Flash of Genius	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:When you or a creature you can see within 30 feet of you fails an ability check or a saving throw, you can take a Reaction to add a bonus to the roll, potentially causing it to succeed. The bonus equals your Intelligence modifier. You can take this Reaction a number of times equal to your Intelligence modifier (minimum of once). You regain all expended uses when you finish a Long Rest.	KEY:Artificer ~ Flash of Genius	DESC:+%1 bonus %2/days|INT|FlasOfGeniusTimes				DEFINE:FlashOfGeniusTimes|0				BONUS:VAR|FlasOfGeniusTimes|max(INT,1)																	SORTKEY:Class_Artificer_01h	SOURCEPAGE:PHB
Magic Item Adept	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:You�ve achieved a profound understanding of how to use and make magic items, granting you the following benefits: &nl; Additional Attunement. You can attune to up to four magic items at once rather than three. &nl; Expanded Replication. When you learn a plan for your Replicate Magic Item feature, you can now also choose from the Magic Item Plans (Artificer Level 10+) table.	KEY:Artificer ~ Magic Item Adept									BONUS:ABILITYPOOL|Item Attunement|1																	SORTKEY:Class_Artificer_01i	SOURCEPAGE:PHB
Spell-Storing Item	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:Whenever you finish a Long Rest, you can touch one Simple or Martial weapon or one item that you can use as a Spellcasting Focus, and you store a spell in it, choosing a level 1, 2, or 3 Artificer spell that has a casting time of an action (you needn�t have the spell prepared). While holding the object, a creature can take an action to produce the spell's effect from it, using your spellcasting ability modifier. If the spell requires Concentration, the creature must concentrate. The spell stays in the object until it's been used a number of times equal to twice your Intelligence modifier (minimum of twice) or until you use this feature again to store a spell in an object.	KEY:Artificer ~ Spell-Storing Item																										SORTKEY:Class_Artificer_01j	SOURCEPAGE:PHB
Magic Item Savant	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:Your skill with magic items deepens, granting you the following benefits: &nl; Additional Attunement. You can attune to up to five magic items at once rather than three. &nl; Expanded Replication. When you learn a plan for your Replicate Magic Item feature, you can now also choose from the Magic Item Plans (Artificer Level 14+) table. You can have no more than three Rare items created by Replicate Magic Item at a time.	KEY:Artificer ~ Magic Item Savant									BONUS:ABILITYPOOL|Item Attunement|2																	SORTKEY:Class_Artificer_01k	SOURCEPAGE:PHB
Magic Item Master	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:You can now attune to up to six magic items at once rather than three.	KEY:Artificer ~ Magic Item Master									BONUS:ABILITYPOOL|Item Attunement|1																	SORTKEY:Class_Artificer_01l	SOURCEPAGE:PHB
Epic Boon	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:You gain an Epic Boon feat (see chapter 5) or another feat of your choice for which you qualify. Boon of Energy Resistance is recommended.	KEY:Artificer ~ Epic Boon									BONUS:VAR|POOL_Epic_Boon|1																	SORTKEY:Class_Artificer_01m	SOURCEPAGE:PHB
Soul of Artifice	CATEGORY:Special Ability	TYPE:Artificer Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:You have developed a mystical connection to your magic items, which you can draw on for aid. You gain the following benefits: &nl; Cheat Death. If you�re reduced to 0 Hit Points but not killed outright, you can disintegrate one Uncommon or Rare magic item created by your Replicate Magic Item feature, changing your Hit Points to 20 instead of 0. &nl; Magical Guidance. While you have Attunement to at least one magic item, you can add 1d6 to any ability check you make. You decide to add the die after rolling the d20, and you can use this benefit only once per turn.	KEY:Artificer ~ Soul of Artifice																										SORTKEY:Class_Artificer_01n	SOURCEPAGE:PHB
																																
# Artificer Cantrip																																
Acid Splash	CATEGORY:Internal	TYPE:Artificer Cantrip		DESC:.	KEY:Artificer Cantrip ~ Acid Splash																		SPELLS:Artificer Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Acid Splash,ArtificerSpellDC	SPELLKNOWN:CLASS|Artificer=0|Acid Splash								SOURCEPAGE:PHB
Dancing Lights	CATEGORY:Internal	TYPE:Artificer Cantrip		DESC:.	KEY:Artificer Cantrip ~ Dancing Lights																		SPELLS:Artificer Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Dancing Lights,ArtificerSpellDC	SPELLKNOWN:CLASS|Artificer=0|Dancing Lights								SOURCEPAGE:PHB
Elementalism	CATEGORY:Internal	TYPE:Artificer Cantrip		DESC:.	KEY:Artificer Cantrip ~ Elementalism																		SPELLS:Artificer Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Elementalism,ArtificerSpellDC	SPELLKNOWN:CLASS|Artificer=0|Elementalism								SOURCEPAGE:PHB
Fire Bolt	CATEGORY:Internal	TYPE:Artificer Cantrip		DESC:.	KEY:Artificer Cantrip ~ Fire Bolt																		SPELLS:Artificer Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Fire Bolt,ArtificerSpellDC	SPELLKNOWN:CLASS|Artificer=0|Fire Bolt								SOURCEPAGE:PHB
