SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																						
#																									
#	OUTPUTNAME:	KEY:	PROFICIENCY:	TYPE:	COST:	WT:	WIELD:	SLOTS:	SIZE:	DAMAGE:	CRITRANGE:	CRITMULT:	EQMOD:	SOURCEPAGE:	SPROP:	ALTTYPE:	ALTDAMAGE:	ALTCRITRANGE:	ALTCRITMULT:	ALTEQMOD:	RANGE:	REACHMULT:			
Flurry of Blows			PROFICIENCY:WEAPON|Unarmed Strike	TYPE:Weapon.Natural.Melee.Simple.Bludgeoning.Unarmed	COST:0	WT:0	WIELD:Light		SIZE:M	DAMAGE:1d3	CRITRANGE:1	CRITMULT:x2	MODS:NO	SOURCEPAGE:PHB	SPROP:Flurry of Blows can not be used when armored|PREVARNEQ:COUNT[EQTYPE.ARMOR.EQUIPPED],0								BONUS:WEAPON|ATTACKS|FlurryOfBlowsAttacks|PREVAREQ:COUNT[EQTYPE.ARMOR.EQUIPPED],0	BONUS:WEAPON|TOHIT|min(-1*FlurryOfBlowsPenalty,0)|PREVAREQ:COUNT[EQTYPE.ARMOR.EQUIPPED],0	
Grapple			PROFICIENCY:WEAPON|Grapple	TYPE:Weapon.Natural.Melee.Unarmed.Subdual	COST:0	WT:0	WIELD:Light		SIZE:M		CRITRANGE:1	CRITMULT:x2	MODS:NO	SOURCEPAGE:PHB											
Shieldbash (Light)			PROFICIENCY:WEAPON|Shieldbash (Light)	TYPE:Weapon.Melee.Martial.Bludgeoning.Unarmed.Shieldbash	COST:0	WT:0	WIELD:Light		SIZE:M	DAMAGE:1d3	CRITRANGE:1	CRITMULT:x2		SOURCEPAGE:PHB	SPROP:Shieldbash attacks are considered to be offhanded attacks										
Shieldbash (Heavy)			PROFICIENCY:WEAPON|Shieldbash (Heavy)	TYPE:Weapon.Melee.Martial.Bludgeoning.Unarmed.Shieldbash	COST:0	WT:0	WIELD:OneHanded		SIZE:M	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2		SOURCEPAGE:PHB	SPROP:Shieldbash attacks are considered to be offhanded attacks										
Touch Attack (Grapple)			PROFICIENCY:WEAPON|Grapple	TYPE:Weapon.Natural.Melee.Unarmed	COST:0	WT:0	WIELD:Light		SIZE:M		CRITRANGE:1	CRITMULT:x2	MODS:NO	SOURCEPAGE:PHB											
Touch Attack (Spells Ray)			PROFICIENCY:WEAPON|Spells (Ray)	TYPE:Weapon.Ranged.Unarmed	COST:0	WT:0	WIELD:Light		SIZE:M		CRITRANGE:1	CRITMULT:x2	MODS:NO	SOURCEPAGE:PHB											
Touch Attack (Spells Touch)			PROFICIENCY:WEAPON|Spells (Touch)	TYPE:Weapon.Ranged.Unarmed	COST:0	WT:0	WIELD:Light		SIZE:M		CRITRANGE:1	CRITMULT:x2	MODS:NO	SOURCEPAGE:PHB											
																									
Armor Spikes			PROFICIENCY:WEAPON|Spiked Armor	TYPE:Weapon.Martial.Melee.Piercing.Metal.Unarmed.Accessories	COST:0	WT:0	WIELD:Light	SLOTS:0		DAMAGE:1d6	CRITRANGE:1	CRITMULT:x2	EQMOD:STEEL	SOURCEPAGE:PHB	SPROP:deals extra piercing damage on a successful grapple attack.										
																									
																									
																									
																									
# Simple Weapons																									
## Unarmed																									
Unarmed Strike			PROFICIENCY:WEAPON|Unarmed Strike	TYPE:Weapon.Natural.Melee.Simple.Bludgeoning.Unarmed.Subdual	COST:0	WT:0	WIELD:Light		SIZE:M	DAMAGE:1d3	CRITRANGE:1	CRITMULT:x2	MODS:NO	SOURCEPAGE:PHB											
Gauntlet			PROFICIENCY:WEAPON|Gauntlet	TYPE:Weapon.Melee.Simple.Bludgeoning.Unarmed.Gauntlet	COST:2	WT:1	WIELD:Light		SIZE:M	DAMAGE:1d3	CRITRANGE:1	CRITMULT:x2	EQMOD:STEEL	SOURCEPAGE:PHB											
## Light																									
Dagger			PROFICIENCY:WEAPON|Dagger	TYPE:Weapon.Melee.Ranged.Simple.Piercing.Slashing.Light.Dagger	COST:2	WT:1	WIELD:Light		SIZE:M	DAMAGE:1d4	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL	SOURCEPAGE:PHB							RANGE:10				
Dagger (Punching)	OUTPUTNAME:Dagger, Punching		PROFICIENCY:WEAPON|Dagger (Punching)	TYPE:Weapon.Melee.Simple.Piercing.Light.Dagger	COST:2	WT:1	WIELD:Light		SIZE:M	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL	SOURCEPAGE:PHB											
