SOURCELONG:Gozzilioni Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07															
#																		
#	OUTPUTNAME:	KEY:	PROFICIENCY:	TYPE:	COST:	WT:	SOURCEPAGE:	BONUS:COMBAT|AC|x|TYPE=Armor	MAXDEX:	ACCHECK:	SPELLFAILURE:	EQMOD:						
Padded			PROFICIENCY:ARMOR|Padded	TYPE:Armor.Light.Suit.Standard.Nonmetal	COST:5	WT:10	SOURCEPAGE:PHB	BONUS:COMBAT|AC|1|TYPE=Armor	MAXDEX:8	ACCHECK:0	SPELLFAILURE:5	EQMOD:CLOTH						
Leather			PROFICIENCY:ARMOR|Leather	TYPE:Armor.Light.Suit.Standard.Nonmetal	COST:10	WT:15	SOURCEPAGE:PHB	BONUS:COMBAT|AC|2|TYPE=Armor	MAXDEX:6	ACCHECK:0	SPELLFAILURE:10	EQMOD:LEATHER						
Studded Leather			PROFICIENCY:ARMOR|Studded Leather	TYPE:Armor.Light.Suit.Standard	COST:25	WT:20	SOURCEPAGE:PHB	BONUS:COMBAT|AC|3|TYPE=Armor	MAXDEX:5	ACCHECK:-1	SPELLFAILURE:15	EQMOD:STEEL						
Chain Shirt			PROFICIENCY:ARMOR|Chain Shirt	TYPE:Armor.Light.Suit.Standard	COST:100	WT:25	SOURCEPAGE:PHB	BONUS:COMBAT|AC|4|TYPE=Armor	MAXDEX:4	ACCHECK:-2	SPELLFAILURE:20	EQMOD:STEEL						
Hide			PROFICIENCY:ARMOR|Hide	TYPE:Armor.Medium.Suit.Standard.Nonmetal	COST:15	WT:25	SOURCEPAGE:PHB	BONUS:COMBAT|AC|3|TYPE=Armor	MAXDEX:4	ACCHECK:-3	SPELLFAILURE:20	EQMOD:LEATHER						
Scale Mail			PROFICIENCY:ARMOR|Scale Mail	TYPE:Armor.Medium.Suit.Standard	COST:50	WT:30	SOURCEPAGE:PHB	BONUS:COMBAT|AC|4|TYPE=Armor	MAXDEX:3	ACCHECK:-4	SPELLFAILURE:25	EQMOD:STEEL						
Chainmail			PROFICIENCY:ARMOR|Chainmail	TYPE:Armor.Medium.Suit.Standard	COST:150	WT:40	SOURCEPAGE:PHB	BONUS:COMBAT|AC|5|TYPE=Armor	MAXDEX:2	ACCHECK:-5	SPELLFAILURE:30	EQMOD:STEEL						
Breastplate			PROFICIENCY:ARMOR|Breastplate	TYPE:Armor.Medium.Suit.Standard	COST:200	WT:30	SOURCEPAGE:PHB	BONUS:COMBAT|AC|5|TYPE=Armor	MAXDEX:3	ACCHECK:-4	SPELLFAILURE:25	EQMOD:STEEL						
Splint Mail			PROFICIENCY:ARMOR|Splint Mail	TYPE:Armor.Heavy.Suit.Standard	COST:200	WT:45	SOURCEPAGE:PHB	BONUS:COMBAT|AC|6|TYPE=Armor	MAXDEX:0	ACCHECK:-7	SPELLFAILURE:40	EQMOD:STEEL						
Banded Mail			PROFICIENCY:ARMOR|Banded Mail	TYPE:Armor.Heavy.Suit.Standard	COST:250	WT:35	SOURCEPAGE:PHB	BONUS:COMBAT|AC|6|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:STEEL						
Half-Plate			PROFICIENCY:ARMOR|Half-Plate	TYPE:Armor.Heavy.Suit.Standard	COST:600	WT:50	SOURCEPAGE:PHB	BONUS:COMBAT|AC|7|TYPE=Armor	MAXDEX:0	ACCHECK:-7	SPELLFAILURE:40	EQMOD:STEEL						
Full Plate			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Standard	COST:1500	WT:50	SOURCEPAGE:PHB	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:STEEL						
																		
#Shield																		
