SOURCELONG:Gozzilioni Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page																																																																																																																																																																																																																																																																																																																																																																																																																																																									
###Block: Race Subtype Traits																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
CATEGORY=Internal|Default.MOD	DEFINE:HumanSkillBase|0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
CATEGORY=Internal|Default.MOD	DEFINE:DruidicLanguage|0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
CATEGORY=Internal|Default.MOD	DEFINE:SynergyBonus|0	BONUS:VAR|SynergyBonus|2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:WeaponSpecializationQualify|0	DEFINE:WeaponSpecializationQualifyLVL|0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:GreaterWeaponFocusQualify|0	DEFINE:GreaterWeaponFocusQualifyLVL|0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:GreaterWeaponSpecializationQualify|0	DEFINE:GreaterWeaponSpecializationQualifyLVL|0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:SpellAnimalGrowth|0	ABILITY:Special Ability|AUTOMATIC|Spell ~ Animal Growth|PREVARGTEQ:SpellAnimalGrowth,1|PRERACE:1,RACETYPE=Animal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:SpellCloakOfChaos|0	ABILITY:Special Ability|AUTOMATIC|Spell ~ Cloak of Chaos|PREVARGTEQ:SpellCloakOfChaos,1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:SpellIronBody|0	ABILITY:Special Ability|AUTOMATIC|Spell ~ Iron Body|PREVARGTEQ:SpellIronBody,1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:SpellRighteousMight|0	ABILITY:Special Ability|AUTOMATIC|Spell ~ Righteous Might|PREVARGTEQ:SpellRighteousMight,1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Animal Growth	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES		KEY:Spell ~ Animal Growth	SOURCEPAGE:PHB	BONUS:SAVE|ALL|4|TYPE=Resistance	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	BONUS:SIZEMOD|NUMBER|1|TYPE=Temporary|PRESIZELT:C	BONUS:STAT|STR|8|TYPE=Size	BONUS:STAT|CON|4|TYPE=Size	BONUS:STAT|DEX|-2|TYPE=Size	DR:10/Magic																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Cloak of Chaos	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES	DESC:SR 25 against lawful spells and spells cast by lawful creatures.	KEY:Spell ~ Cloak of Chaos	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
Iron Body	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES	DESC:DR 15/adamantine.	KEY:Spell ~ Iron Body	SOURCEPAGE:PHB	DR:15/Adamantine																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Righteous Might	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES	DESC:You gain damage reduction 5/evil (if you normally channel positive energy) or damage reduction 5/good (if you normally channel negative energy). At 12th level this damage reduction becomes 10/evil or 10/good, and at 15th level it becomes 15/evil or 15/good (the maximum).	KEY:Spell ~ Righteous Might	SOURCEPAGE:PHB	DEFINE:RighteousMightDR|0	BONUS:VAR|RighteousMightDR|5	BONUS:VAR|RighteousMightDR|5|PREVARGTEQ:var("CL=Cleric")+var("BL=Cleric"),12	TEMPBONUS:PC|VAR|RighteousMightDR|5|PREVARGTEQ:var("CL=Cleric")+var("BL=Cleric"),15	ABILITY:Special Ability|AUTOMATIC|Righteous Might ~ Good|PREABILITY:1,CATEGORY=Special Ability,Turn Undead|PREVARGT:RighteousMightDR,0	ABILITY:Special Ability|AUTOMATIC|Righteous Might ~ Evil|PREABILITY:1,CATEGORY=Special Ability,Rebuke Undead|PREVARGT:RighteousMightDR,0																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Righteous Might ~ Good	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	BONUS:DR|Good|RighteousMightDR	DR:0/Good																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
Righteous Might ~ Evil	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	BONUS:DR|Evil|RighteousMightDR	DR:0/Evil																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
# ANYPC only.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
CATEGORY=Internal|Default.MOD	DEFINE:EnableBardicInspireCourage|0	DEFINE:EnableBardicInspireCompetence|0	DEFINE:OtherInspireCourageSave|0	DEFINE:OtherInspireCourageAttack|0	DEFINE:OtherInspireCourageDamage|0	DEFINE:OtherInspireCourageBonus|0	DEFINE:OtherInspireCompetenceBonus|0	ABILITY:Internal|AUTOMATIC|Temp Bonus Aspect ~ Inspire Courage|PREVARGTEQ:OtherInspireCourageSaves,1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
# TEMP BONUS - When using TEMPBONUS and the ability is not granted to the PC, remember that other tags will be considered on that ability.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
