SOURCELONG:Gozzilioni Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																								
#																																											
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page	
Acrobatic	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You get a +2 bonus on all Jump checks and Tumble checks.													BONUS:SKILL|Jump,Tumble|2				SOURCEPAGE:PHB	
Agile	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You get a +2 bonus on all Balance checks and Escape Artist checks.													BONUS:SKILL|Balance,Escape Artist|2				SOURCEPAGE:PHB	
Alertness	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You get a +2 bonus on all Listen checks and Spot checks.													BONUS:SKILL|Listen,Spot|2				SOURCEPAGE:PHB	
Animal Affinity	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You get a +2 bonus on all Handle Animal checks and Ride checks.													BONUS:SKILL|Handle Animal,Ride|2				SOURCEPAGE:PHB	
Armor Proficiency (Heavy)	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PREMULT:1,[PREPROFWITHARMOR:1,TYPE.Medium],[PREABILITY:1,CATEGORY=FEAT,Armor Proficiency (Medium)]				DESC:When you wear a type of armor with which you are proficient, the armor check penalty for that armor applies only to Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Pick Pocket, and Tumble checks.				AUTO:ARMORPROF|ARMORTYPE=Heavy													SOURCEPAGE:PHB	
Armor Proficiency (Light)	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:When you wear a type of armor with which you are proficient, the armor check penalty for that armor applies only to Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Pick Pocket, and Tumble checks.				AUTO:ARMORPROF|ARMORTYPE=Light													SOURCEPAGE:PHB	
Armor Proficiency (Medium)	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PREMULT:1,[PREPROFWITHARMOR:1,TYPE.Light],[PREABILITY:1,CATEGORY=FEAT,Armor Proficiency (Light)]				DESC:When you wear a type of armor with which you are proficient, the armor check penalty for that armor applies only to Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Pick Pocket, and Tumble checks.				AUTO:ARMORPROF|ARMORTYPE=Medium													SOURCEPAGE:PHB	
Athletic	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You get a +2 bonus on all Climb checks and Swim checks.													BONUS:SKILL|Climb,Swim|2				SOURCEPAGE:PHB	
Augment Summoning	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Spell Focus (Conjuration)																		DESC:Each creature you conjure with any summon spell gains a +4 enhancement bonus to Strength and Constitution for the duration of the spell that summoned it.																	SOURCEPAGE:PHB	TEMPBONUS:ANYPC|STAT|STR,CON|4|TYPE=Enhancement
Blind-Fight	CATEGORY:FEAT	TYPE:General.Fighter.AttackOption	VISIBLE:YES																						DESC:In melee, every time you miss because of concealment, you can reroll your miss chance percentile roll one time to see if you actually hit (see Concealment, page 152).																	SOURCEPAGE:PHB	
Brew Potion	CATEGORY:FEAT	TYPE:ItemCreation	VISIBLE:YES			PRECLASS:1,SPELLCASTER=3																		DEFINE:BrewLevel|0	DESC:You can create a potion of any 3rd-level or lower spell that you know and that targets one or more creatures. Brewing a potion takes one day. When you create a potion, you set the caster level, which must be sufficient to cast the spell in question and no higher than your own level. The base price of a potion is its spell level × its caster level × 50 gp. To brew a potion, you must spend 1/25 of this base price in XP and use up raw materials costing one half this base price.														BONUS:VAR|BrewLevel|3			SOURCEPAGE:PHB	
Cleave	CATEGORY:FEAT	TYPE:General.Fighter.AttackOption	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Power Attack									PRESTAT:1,STR=13								DEFINE:CleaveCount|0	DESC:If you deal a creature enough damage to make it drop (typically by dropping it to below 0 hit points or killing it), you get an immediate, extra melee attack against another creature within reach. You cannot take a 5-foot step before making this extra attack. The extra attack is with the same weapon and at the same bonus as the attack that dropped the previous creature. You can use this ability once per round.														BONUS:VAR|CleaveCount|1			SOURCEPAGE:PHB	
Combat Casting	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You get a +4 bonus on Concentration checks made to cast a spell or use a spell-like ability while on the defensive (see Casting on the Defensive, page 140) or while you are grappling or Pinned.													BONUS:SITUATION|Concentration=Cast defensively|4				SOURCEPAGE:PHB	
Combat Expertise	CATEGORY:FEAT	TYPE:General.Fighter.AttackOption.ModifyAC	VISIBLE:YES													PRESTAT:1,INT=13								DEFINE:CombatExpertiseMax|0	DESC:When you use the attack action or the full attack action in melee, you can take a penalty of as much as –5 on your attack roll (max %1) and add the same number (+5 or less) as a dodge bonus to your Armor Class. This number may not exceed your base attack bonus. The changes to attack rolls and Armor Class last until your next Action.|CombatExpertiseMax														BONUS:VAR|CombatExpertiseMax|min(BAB,5)			SOURCEPAGE:PHB	TEMPLATE:Combat Expertise trade off
Combat Reflexes	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES																						DESC:When foes leave themselves open, you may make a number of additional attacks of opportunity equal to your Dexterity bonus.																	SOURCEPAGE:PHB	
Craft Magic Arms and Armor	CATEGORY:FEAT	TYPE:ItemCreation	VISIBLE:YES			PRECLASS:1,SPELLCASTER=5																			DESC:You can create any magic weapon, armor, or shield whose prerequisites you meet (see the Dungeon Master’s Guide for prerequisites and other information on these items).																	SOURCEPAGE:PHB	
Craft Rod	CATEGORY:FEAT	TYPE:ItemCreation	VISIBLE:YES			PRECLASS:1,SPELLCASTER=9																			DESC:You can create any rod whose prerequisites you meet (see the Dungeon Master’s Guide for prerequisites and other information on rods).																	SOURCEPAGE:PHB	
Craft Staff	CATEGORY:FEAT	TYPE:ItemCreation	VISIBLE:YES			PRECLASS:1,SPELLCASTER=12																			DESC:You can create any staff whose prerequisites you meet (see the Dungeon Master’s Guide for prerequisites and other information on staffs).																	SOURCEPAGE:PHB	
Craft Wand	CATEGORY:FEAT	TYPE:ItemCreation	VISIBLE:YES			PRECLASS:1,SPELLCASTER=5																			DESC:You can create a wand of any 4th-level or lower spell that you know.																	SOURCEPAGE:PHB	
Craft Wondrous Item	CATEGORY:FEAT	TYPE:ItemCreation	VISIBLE:YES			PRECLASS:1,SPELLCASTER=3																			DESC:You can create any wondrous item whose prerequisites you meet (see the Dungeon Master’s Guide for prerequisites and other information on wondrous items).																	SOURCEPAGE:PHB	
Deceitful	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You get a +2 bonus on all Disguise checks and Forgery checks.													BONUS:SKILL|Disguise,Forgery|2				SOURCEPAGE:PHB	
Deflect Arrows	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Improved Unarmed Strike									PRESTAT:1,DEX=13									DESC:You must have at least one hand free (holding nothing) to use this feat. Once per round when you would normally be hit with a ranged weapon, you may deflect it so that you take no damage from it.																	SOURCEPAGE:PHB	
Deft Hands	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You get a +2 bonus on all Sleight of Hand checks and Use Rope checks.													BONUS:SKILL|Sleight of Hand,Use Rope|2				SOURCEPAGE:PHB	
Diehard	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Endurance																		DESC:When reduced to between -1 and -9 hit points, you automatically become stable. You don’t have to roll d%% to see if you lose 1 hit point each round.																	SOURCEPAGE:PHB	
Diligent	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You get a +2 bonus on all Appraise checks and Decipher Script checks.													BONUS:SKILL|Appraise,Decipher Script|2				SOURCEPAGE:PHB	
Dodge	CATEGORY:FEAT	TYPE:General.Fighter.ModifyAC	VISIBLE:YES													PRESTAT:1,DEX=13								DEFINE:DodgeBonus|0	DESC:During your action, you designate an opponent and receive a +%1 dodge bonus to Armor Class against attacks from that opponent. You can select a new opponent on any action.|DodgeBonus														BONUS:VAR|DodgeBonus|1			SOURCEPAGE:PHB	ASPECT:CombatBonus|+%1 dodge bonus to Armor Class against attacks from designated opponent.|DodgeBonus
Empower Spell	CATEGORY:FEAT	TYPE:Metamagic	VISIBLE:YES																						DESC:All variable, numeric effects of an empowered spell are increased by one-half.							ADDSPELLLEVEL:2										SOURCEPAGE:PHB	
Endurance	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You gain a +4 bonus on the following checks and saves: Swim checks made to resist nonlethal damage (see page 84), Constitution checks made to continue running (see page 144), Constitution checks made to avoid nonlethal damage from a forced march (see page 164), Constitution checks made to hold your breath (see page 84), Constitution checks made to avoid nonlethal damage from starvation or thirst (see page 304 of the Dungeon Master’s Guide), Fortitude saves made to avoid nonlethal damage from hot or cold environments (see pages 302 and 303 of the Dungeon Master’s Guide), and Fortitude saves made to resist damage from suffocation (see page 304 of the Dungeon Master’s Guide). Also, you may sleep in light or medium armor without becoming Fatigued.													BONUS:SITUATION|Swim=Avoid taking nonlethal fatigue damage|4				SOURCEPAGE:PHB	
Enlarge Spell	CATEGORY:FEAT	TYPE:Metamagic	VISIBLE:YES																						DESC:You can alter a spell with a range of close, medium, or long to increase its range by 100%%. An enlarged spell with a range of close now has a range of 50 ft. + 5 ft./level, while medium-range spells have a range of 200 ft. + 20 ft./level and long-range spells have a range of 800 ft. + 80 ft./level. An enlarged spell uses up a spell slot one level higher than the spell’s actual level. Spells whose ranges are not defined by distance, as well as spells whose ranges are not close, medium, or long, do not have increased ranges.							ADDSPELLLEVEL:1										SOURCEPAGE:PHB	
Eschew Material	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You can cast any spell that has a material component costing 1 gp or less without needing that component. (The casting of the spell still provokes attacks of opportunity as normal.) If the spell requires a material component that costs more than 1 gp, you must have the material component at hand to cast the spell, just as Normal.																	SOURCEPAGE:PHB	
