SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07
																																		
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.BarbarianClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A barbarian is proficient with all simple and martial weapons, light armor, medium armor, and shields (except tower shields).	KEY:Barbarian ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Barbarian	SOURCEPAGE:PHB		
Fast Movement	CATEGORY:Special Ability	TYPE:ClassFeatures.BarbarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A barbarian's land speed is faster than the norm for his race by +10 feet. This benefit applies only when he is wearing no armor, light armor, or medium armor and not carrying a heavy load. Apply this bonus before modifying the barbarian's speed because of any load carried or armor worn. For example, a human barbarian has a speed of 40 feet, rather than 30 feet, when wearing light or no armor. When wearing medium armor or carrying a medium load, his speed drops to 30 feet. A halfling barbarian has a speed of 30 feet, rather than 20 feet, in light or no armor. When wearing medium armor or carrying a medium load, his speed drops to 20 feet.	KEY:Barbarian ~ Fast Movement				DEFINE:BarbarianFastMovement|0					BONUS:MOVEADD|TYPE=Walk|BarbarianFastMovement|TYPE=FastMovement	BONUS:VAR|BarbarianFastMovement|10|PREVARLT:ENCUMBERANCE,2,var("COUNT[EQTYPE.ARMOR.IS.HEAVY]"),1																SORTKEY:Class_Barbarian	SOURCEPAGE:PHB		
Illiteracy	CATEGORY:Special Ability	TYPE:ClassFeatures.BarbarianClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Barbarians are the only characters who do not automatically know how to read and write. A barbarian may spend 2 skill points to gain the ability to read and write all languages he is able to speak. A barbarian who gains a level in any other class automatically gains literacy. Any other character who gains a barbarian level does not lose the literacy he or she already had.	KEY:Barbarian ~ Illiteracy				DEFINE:IlliteracyLVL|0					BONUS:VAR|IlliteracyLVL|BarbarianLVL																	SORTKEY:Class_Barbarian	SOURCEPAGE:PHB		
Rage	CATEGORY:Special Ability	TYPE:ClassFeatures.BarbarianClassFeatures.SpecialQuality.Extraordinary.Rage	VISIBLE:YES	DESC:A barbarian can fly into a rage a certain number of times per day. In a rage, a barbarian temporarily gains a +4 bonus to Strength, a +4 bonus to Constitution, and a +2 morale bonus on Will saves, but he takes a -2 penalty to Armor Class. The increase in Constitution increases the barbarian's hit points by 2 points per level, but these hit points go away at the end of the rage when his Constitution score drops back to normal. (These extra hit points are not lost first the way temporary hit points are.) While raging, a barbarian cannot use any Charisma-, Dexterity-, or Intelligence-based skills (except for Balance, Escape Artist, Intimidate, and Ride), the Concentration skill, or any abilities that require patience or concentration, nor can he cast spells or activate magic items that require a command word, a spell trigger (such as a wand), or spell completion (such as a scroll) to function. He can use any feat he has except Combat Expertise, item creation feats, and metamagic feats. A fit of rage lasts for a number of rounds equal to 3 + the character's (newly improved) Constitution modifier. A barbarian may prematurely end his rage. At the end of the rage, the barbarian loses the rage modifiers and restrictions and becomes fatigued (-2 penalty to Strength, -2 penalty to Dexterity, can't charge or run) for the duration of the current encounter (unless he is a 17th-level barbarian, at which point this limitation no longer applies see below). A barbarian can fly into a rage only once per encounter. At 1st level he can use his rage ability once per day. At 4th level and every four levels thereafter, he can use it one additional time per day (to a maximum of six times per day at 20th level). Entering a rage takes no time itself, but a barbarian can do it only during his action, not in response to someone else's action.	KEY:Barbarian ~ Rage				DEFINE:BarbarianRageTimesLVL|0	DEFINE:BarbarianRagePowerLVL|0				BONUS:VAR|RageTimesLVL,RagePowerLVL|BarbarianLVL	BONUS:VAR|RageTimes|(BarbarianRageTimesLVL/4)+1								ABILITY:Special Ability|AUTOMATIC|Rage								SORTKEY:Class_Barbarian	SOURCEPAGE:PHB		
Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.BarbarianClassFeatures.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:At 2nd level, a barbarian gains the ability to react to danger before his senses would normally allow him to do so. He retains his Dexterity bonus to AC (if any) even if he is caught flat-footed or struck by an invisible attacker. However, he still loses his Dexterity bonus to AC if immobilized. If a barbarian already has uncanny dodge from a different class (a barbarian with at least four levels of rogue, for example), he automatically gains improved uncanny dodge (see below) instead.	KEY:Barbarian ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeFlankingLevel|BarbarianLVL|TYPE=EachClass.REPLACE																	SORTKEY:Class_Barbarian	SOURCEPAGE:PHB		
Trap Sense	CATEGORY:Special Ability	TYPE:ClassFeatures.BarbarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 3rd level, a barbarian has an intuitive sense that alerts him to danger from traps, giving him a +1 bonus on Reflex saves made to avoid traps and a +1 dodge bonus to AC against attacks made by traps. These bonuses rise by +1 every three barbarian levels thereafter (6th, 9th, 12th, 15th, and 18th level). Trap sense bonuses gained from multiple classes stack.	KEY:Barbarian ~ Trap Sense				DEFINE:BarbarianTrapSense|0					BONUS:VAR|TrapSenseBonus|BarbarianLVL/3									ABILITY:Special Ability|AUTOMATIC|Trap Sense								SORTKEY:Class_Barbarian	SOURCEPAGE:PHB		
Improved Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.BarbarianClassFeatures.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:At 5th level and higher, a barbarian can no longer be flanked he can react to opponents on opposite sides of him as easily as he can react to a single attacker. This defense denies a rogue the ability to sneak attack the barbarian by flanking him, unless the attacker has at least four more rogue levels than the target has barbarian levels. If a character already has uncanny dodge (see above) from a second class, the character automatically gains improved uncanny dodge instead, and the levels from the classes that grant uncanny dodge stack to determine the minimum level a rogue must be to flank the character.	KEY:Barbarian ~ Improved Uncanny Dodge																										SORTKEY:Class_Barbarian	SOURCEPAGE:PHB		
Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.BarbarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 7th level, a barbarian gains the ability to shrug off some amount of injury from each blow or attack. Subtract 1 from the damage the barbarian takes each time he is dealt damage from a weapon or a natural attack. At 10th level, and every three barbarian levels thereafter (13th, 16th, and 19th level), this damage reduction rises by 1 point. Damage reduction can reduce damage to 0 but not below 0.	KEY:Barbarian ~ Damage Reduction				DEFINE:BarbarianDR|0					BONUS:VAR|BarbarianDR|(BarbarianLVL-4)/3									DR:BarbarianDR/-								SORTKEY:Class_Barbarian	SOURCEPAGE:PHB		
Greater Rage	CATEGORY:Special Ability	TYPE:ClassFeatures.BarbarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 11th level, a barbarian's bonuses to Strength and Constitution during his rage each increase to +6, and his morale bonus on Will saves increases to +3. The penalty to AC remains at -2.	KEY:Barbarian ~ Greater Rage				DEFINE:GreaterRage|0					BONUS:VAR|GreaterRage|1|PREVARGTEQ:BarbarianRagePowerLVL,11																	SORTKEY:Class_Barbarian	SOURCEPAGE:PHB		
Indomitable Will	CATEGORY:Special Ability	TYPE:ClassFeatures.BarbarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:While in a rage, a barbarian of 14th level or higher gains a +4 bonus on Will saves to resist enchantment spells. This bonus stacks with all other modifiers, including the morale bonus on Will saves he also receives during his rage.	KEY:Barbarian ~ Indomitable Will									BONUS:VAR|RageMorale|4																	SORTKEY:Class_Barbarian	SOURCEPAGE:PHB		
Tireless Rage	CATEGORY:Special Ability	TYPE:ClassFeatures.BarbarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 17th level and higher, a barbarian no longer becomes fatigued at the end of his rage.	KEY:Barbarian ~ Tireless Rage				DEFINE:TirelessRage|0					BONUS:VAR|TirelessRage|1|PREVARGTEQ:BarbarianRagePowerLVL,17																	SORTKEY:Class_Barbarian	SOURCEPAGE:PHB		
Mighty Rage	CATEGORY:Special Ability	TYPE:ClassFeatures.BarbarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 20th level, a barbarian's bonuses to Strength and Constitution during his rage each increase to +8, and his morale bonus on Will saves increases to +4. The penalty to AC remains at -2.	KEY:Barbarian ~ Mighty Rage				DEFINE:MightyRage|0					BONUS:VAR|MightyRage|1|PREVARGTEQ:BarbarianRagePowerLVL,20																	SORTKEY:Class_Barbarian	SOURCEPAGE:PHB		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.BardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A bard is proficient with all simple weapons, plus the longsword, rapier, sap, short sword, shortbow, and whip. Bards are proficient with light armor and shields (except tower shields). Because the somatic components required for bard spells are relatively simple, a bard can cast bard spells while wearing light armor without incurring the normal arcane spell failure chance. However, like any other arcane spellcaster, a bard wearing medium or heavy armor or using a shield incurs a chance of arcane spell failure if the spell in question has a somatic component (most do). A multiclass bard still incurs the normal arcane spell failure chance for arcane spells received from other classes.	KEY:Bard ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|TYPE=WeaponProfBard	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Bard	SOURCEPAGE:PHB		
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.BardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A bard casts arcane spells (the same type of spells available to sorcerers and wizards), which are drawn from the bard spell (page 181) list. He can cast any spell he knows without preparing it ahead of time, the way a wizard or cleric must (see below). Every bard spell has a verbal component (singing, reciting, or music). To learn or cast a spell, a bard must have a Charisma score equal to at least 10 + the spell level (Cha 10 for 0-level spells, Cha 11 for 1st level spells, and so forth). The Difficulty Class for a saving throw against a bard's spell is 10 + the spell level + the bard's Charisma modifier. Like other spellcasters, a bard can cast only a certain number of spells of each spell level per day. His base daily spell allotment is given on Table 3-4: The Bard. In addition, he receives bonus spells per day if he has a high Charisma score (see Table 1-1: Ability Modifiers and Bonus Spells, page 8). When Table 3-4 indicates that the bard gets 0 spells per day of a given spell level (for instance, 1stlevel spells for a 2nd-level bard), he gains only the bonus spells he would be entitled to based on his Charisma score for that spell level. The bard's selection of spells is extremely limited. A bard begins play knowing four 0-level spells (also called cantrips) of your choice. At most new bard levels, he gains one or more new spells, as indicated on Table 3-5: Bard Spells Known. (Unlike spells per day, the number of spells a bard knows is not affected by his Charisma score  the numbers on Table 3-5 are fixed.) Upon reaching 5th level, and at every third bard level after that (8th, 11th, and so on), a bard can choose to learn a new spell in place of one he already knows. In effect, the bard "loses" the old spell in exchange for the new one. The new spell's level must be the same as that of the spell being exchanged, and it must be at least two levels lower than the highest-level bard spell the bard can cast. For instance, upon reaching 5th level, a bard could trade a single 0-level spell (two spell levels below the highest-level bard spell he can cast, which is 2nd) for a different 0-level spell. At 8th level, he could trade in a single 0-level or 1st-level spell (since he now can cast 3rd-level bard spells) for a different spell of the same level. A bard may swap only a single spell at any given level, and must choose whether or not to swap the spell at the same time that he gains new spells known for the level.	KEY:Bard ~ Spells																										SORTKEY:Class_Bard	SOURCEPAGE:PHB		
Bardic Knowledge	CATEGORY:Special Ability	TYPE:ClassFeatures.BardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A bard picks up a lot of stray knowledge while wandering the land and learning stories from other bards. He may make a special bardic knowledge check with a bonus equal to his bard level + his Intelligence modifier to see whether he knows some relevant information about local notable people, legendary items, or noteworthy places. (If the bard has 5 or more ranks in Knowledge (history), he gains a +2 bonus on this check.) A successful bardic knowledge check will not reveal the powers of a magic item but may give a hint as to its general function. A bard may not take 10 or take 20 on this check  this sort of knowledge is essentially random. The DM can determine the Difficulty Class of the check by referring to the table above.	KEY:Bard ~ Bardic Knowledge									BONUS:VAR|BardicKnowledge|BardLVL+INT									ABILITY:Special Ability|AUTOMATIC|Bardic Knowledge								SORTKEY:Class_Bard	SOURCEPAGE:PHB		
