SOURCELONG:Gozzilioni Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																															
#																																																		
# Skill name	USEUNTRAINED:	ACHECK:	KEYSTAT:	TYPE:	SOURCEPAGE:																																													
Appraise	USEUNTRAINED:YES		KEYSTAT:INT	TYPE:Skill.Intelligence.Appraise	SOURCEPAGE:PHB																																													
Balance	USEUNTRAINED:YES	ACHECK:YES	KEYSTAT:DEX	TYPE:Skill.Dexterity.Balance	SOURCEPAGE:PHB																																													
Bluff	USEUNTRAINED:YES		KEYSTAT:CHA	TYPE:Skill.Charisma.Bluff	SOURCEPAGE:PHB		BONUS:SKILL|Sleight of Hand,Diplomacy,Intimidate|SynergyBonus|TYPE=Synergy.STACK|PRESKILL:1,Bluff=5																																											
Climb	USEUNTRAINED:YES	ACHECK:YES	KEYSTAT:STR	TYPE:Skill.Strength.Climb	SOURCEPAGE:PHB		BONUS:SKILL|Climb|8|PREMOVE:1,Climb=1|TYPE=Racial																																											
Concentration	USEUNTRAINED:YES		KEYSTAT:CON	TYPE:Skill.Constitution.Concentration	SOURCEPAGE:PHB																																													
Craft (Alchemy)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Skill.Intelligence.Craft.Craft (Alchemy)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Alchemy)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=AlchemyTools																																										
Craft (Armorsmithing)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Skill.Intelligence.Craft.Craft (Armorsmithing)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Armorsmithing)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=ArmorsmithingTools																																										
Craft (Bowmaking)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Skill.Intelligence.Craft.Craft (Bowmaking)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Bowmaking)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=BowmakingTools																																										
Craft (Trapmaking)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Skill.Intelligence.Craft.Craft (Trapmaking)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Trapmaking)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=TrapmakingTools																																										
Craft (Weaponsmithing)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Skill.Intelligence.Craft.Craft (Weaponsmithing)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Weaponsmithing)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=WeaponsmithingTools																																										
Craft (Woodworking)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Skill.Intelligence.Craft.Craft (Woodworking)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Woodworking)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=WoodworkingTools																																										
Craft (Untrained)	USEUNTRAINED:YES		KEYSTAT:INT	TYPE:Skill.Intelligence.Craft.Craft (Woodworking)	SOURCEPAGE:PHB	VISIBLE:EXPORT																																												
Decipher Script	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Skill.Intelligence.Decipher Script	SOURCEPAGE:PHB																																													
Diplomacy	USEUNTRAINED:YES		KEYSTAT:CHA	TYPE:Skill.Charisma.Diplomacy	SOURCEPAGE:PHB																																													
Disable Device	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Skill.Intelligence.Disable Device	SOURCEPAGE:PHB		TEMPDESC:Without tools, you must improvise, and you take a -2 circumstance penalty	TEMPBONUS:PC|SKILL|Disable Device|-2|!PREITEM:1,TYPE=ThiefTools																																										
Disguise	USEUNTRAINED:YES		KEYSTAT:CHA	TYPE:Skill.Charisma.Disguise	SOURCEPAGE:PHB																																													
Escape Artist	USEUNTRAINED:YES	ACHECK:YES	KEYSTAT:DEX	TYPE:Skill.Dexterity.Escape Artist	SOURCEPAGE:PHB																																													
Forgery	USEUNTRAINED:YES		KEYSTAT:INT	TYPE:Skill.Intelligence.Forgery	SOURCEPAGE:PHB																																													
Gather Information	USEUNTRAINED:YES		KEYSTAT:CHA	TYPE:Skill.Charisma.Gather Information	SOURCEPAGE:PHB																																													
