SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																																	
																																			
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:		
Abominations (Anaxim)			STARTFEATS:1	SIZE:M	TYPE:Construct	RACETYPE:Construct	RACESUBTYPE:Extraplanar|Lawful	MONSTERCLASS:Construct:38	MOVE:Walk,60,Fly,200	BONUS:COMBAT|AC|20|TYPE=NaturalArmor	NATURALATTACKS:Spinning Blade,Weapon.Natural.Finesseable.Melee.Slashing,*2,2d6|Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6|Shocking Touch,Weapon.Natural.Finesseable.Melee.Touch,*1,2d6	NATURALATTACKS:Electricity Ray,Weapon.Natural.Finesseable.Ranged.Touch,*1,10d6			FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abomination (Anaxim)	DR:10/Chaotic and Epic and Adamantine	SR:34	BONUS:STAT|STR|24	BONUS:STAT|DEX|14			BONUS:STAT|WIS|10	BONUS:STAT|CHA|10		CR:22	KIT:1|LN	HITDICEADVANCEMENT:38,48,55,70,140		LEGS:2	HANDS:2	SOURCEPAGE:ELH	KIT:1|Abomination (Anaxim) Stats	
Abominations (Atropal)			STARTFEATS:1	SIZE:L	TYPE:Undead	RACETYPE:Undead	RACESUBTYPE:Evil|Extraplanar|Lawful	MONSTERCLASS:Undead:66	MOVE:Walk,5,Fly,240	BONUS:COMBAT|AC|40|TYPE=NaturalArmor	NATURALATTACKS:Touch,Weapon.Natural.Finesseable.Melee.Touch,*2,0,SPROP=Con drain				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abomination (Atropal)	DR:15/Good and Epic and Silver	SR:42	BONUS:STAT|STR|32	BONUS:STAT|DEX|4		BONUS:STAT|INT|18	BONUS:STAT|WIS|12	BONUS:STAT|CHA|32	MONCSKILL:Concentration|Hide|Knowledge (Arcana)|Listen|Spellcraft|Spot	CR:30	KIT:1|LE	HITDICEADVANCEMENT:80,100		LEGS:2	HANDS:2	SOURCEPAGE:ELH	KIT:1|Abomination (Atropal) Stats	
Abominations (Chichimec)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Air|Evil|Extraplanar	MONSTERCLASS:Outsider:27	MOVE:Walk,5,Fly,200	BONUS:COMBAT|AC|22|TYPE=NaturalArmor	NATURALATTACKS:Wing (Primary),Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Wing (Secondary),Weapon.Natural.Melee.Finesseable.Bludgeoning,*6,1d6|Tail Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6,SPROP=Cha drain				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abomination (Chichimec)	DR:15/Good and Epic and Silver	SR:42	BONUS:STAT|STR|24	BONUS:STAT|DEX|14	BONUS:STAT|CON|14	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|20	MONCSKILL:Diplomacy|Hide|Intimidate|Knowledge (The Planes)|Knowledge (Religion)|Listen|Move Silently|Search|Sense Motive|Spot	CR:21	KIT:1|NE	HITDICEADVANCEMENT:38,50		LEGS:0	HANDS:0	SOURCEPAGE:ELH	KIT:1|Abomination (Chichimec) Stats	
Abominations (Dream Larva)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Evil|Extraplanar	MONSTERCLASS:Outsider:40	MOVE:Walk,80,Fly,240	BONUS:COMBAT|AC|40|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,4d8|Gore,Weapon.Natural.Finesseable.Melee.Piercing,*1,4d6|Pincer,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*4,4d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*4,4d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abomination (Dream Larva)	DR:15/Good and Epic or Lawful and Epic	SR:44	BONUS:STAT|STR|32	BONUS:STAT|DEX|6	BONUS:STAT|CON|18	BONUS:STAT|INT|6	BONUS:STAT|WIS|14	BONUS:STAT|CHA|26	MONCSKILL:Concentration|Craft (Dreamweaving)|Diplomacy|Escape Artist|Hide|Knowledge (Dreams)|Listen|Move Silently|Search|Sense Motive|Spot	CR:31	KIT:1|CE	HITDICEADVANCEMENT:65,84,110		LEGS:0	HANDS:0	SOURCEPAGE:ELH	KIT:1|Abomination (Dream Larva) Stats	
Abominations (Hecatoncheires)			STARTFEATS:1	SIZE:H	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Evil|Extraplanar	MONSTERCLASS:Outsider:52	MOVE:Walk,100	BONUS:COMBAT|AC|30|TYPE=NaturalArmor					FACE:15	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abomination (Hecatoncheires)	DR:20/Good and Epic and Cold Iron	SR:70	BONUS:STAT|STR|40	BONUS:STAT|DEX|4	BONUS:STAT|CON|22		BONUS:STAT|WIS|-2	BONUS:STAT|CHA|14	MONCSKILL:Climb|Diplomacy|Hide|Intimidate|Jump|Knowledge (History)|Listen|Search|Sense Motive|Spot|Survival	CR:57	KIT:1|CE	HITDICEADVANCEMENT:58,70,140		LEGS:0	HANDS:100	SOURCEPAGE:ELH	KIT:1|Abomination (Hecatoncheires) Stats	
Abominations (Infernal)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Evil|Extraplanar	MONSTERCLASS:Outsider:40	MOVE:Walk,80,Fly,240	BONUS:COMBAT|AC|34|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,4d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d8,SPROP=Spell suck|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,4d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abomination (Infernal)	DR:15/Good and Epic	SR:38	BONUS:STAT|STR|32	BONUS:STAT|DEX|14	BONUS:STAT|CON|18	BONUS:STAT|INT|12	BONUS:STAT|WIS|16	BONUS:STAT|CHA|19	MONCSKILL:Balance|Concentration|Diplomacy|Escape Artist|Hide|Jump|Knowledge (Arcana)|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot|Tumble	CR:26		HITDICEADVANCEMENT:50,56,72		LEGS:2	HANDS:2	SOURCEPAGE:ELH	KIT:1|Abomination (Infernal) Stats	
Abominations (Phaethon)			STARTFEATS:1	SIZE:G	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Evil|Extraplanar|Fire	MONSTERCLASS:Outsider:62	MOVE:Walk,120,Burrow,120	BONUS:COMBAT|AC|34|TYPE=NaturalArmor	NATURALATTACKS:Pseudopod Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*8,4d8,SPROP=+2d6 fire				FACE:20	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abomination (Phaethon)	DR:15/Lawful and Epic	SR:46	BONUS:STAT|STR|48	BONUS:STAT|DEX|14	BONUS:STAT|CON|26	BONUS:STAT|INT|-2	BONUS:STAT|WIS|8	BONUS:STAT|CHA|28	MONCSKILL:Climb|Craft (Metalworking)|Craft (Stoneworking)|Hide|Knowledge (Geography)|Listen|Move Silently|Search|Spot	CR:34	KIT:1|CE	HITDICEADVANCEMENT:80,186		LEGS:0	HANDS:8	SOURCEPAGE:ELH	KIT:1|Abomination (Phaethon) Stats	
Abominations (Phane)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Evil|Extraplanar|Incorporeal	MONSTERCLASS:Outsider:36	MOVE:Walk,80,Fly,120		NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Touch,*1,0,SPROP=Stasis touch				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abomination (Phane)	DR:15/Epic	SR:37		BONUS:STAT|DEX|14	BONUS:STAT|CON|18	BONUS:STAT|INT|14	BONUS:STAT|WIS|6	BONUS:STAT|CHA|22	MONCSKILL:Balance|Concentration|Diplomacy|Hide|Jump|Knowledge (Arcana)|Knowledge (The Planes)|Knowledge (Religion)|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot|Swim|Tumble	CR:25	KIT:1|CE	HITDICEADVANCEMENT:50,65		LEGS:4	HANDS:2	SOURCEPAGE:ELH	KIT:1|Abomination (Phane) Stats	
Abominations (Xixecal)			STARTFEATS:1	SIZE:C	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Cold|Evil|Extraplanar	MONSTERCLASS:Outsider:72	MOVE:Walk,140	BONUS:COMBAT|AC|55|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,4d6|Stamp,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,4d6				FACE:50	REACH:50	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abomination (Xixecal)	DR:15/Epic	SR:48	BONUS:STAT|STR|56	BONUS:STAT|DEX|2	BONUS:STAT|CON|30	BONUS:STAT|INT|2	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|24	MONCSKILL:Climb|Concentration|Hide|Knowledge (Arcana)|Knowledge (The Planes)|Knowledge (Religion)|Listen|Search|Spellcraft|Spot	CR:36	KIT:1|CE	HITDICEADVANCEMENT:150		LEGS:2	HANDS:2	SOURCEPAGE:ELH	KIT:1|Abomination (Xixecal) Stats	
Behemot (Behemot Eagle)			STARTFEATS:1	SIZE:C	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Extraplanar	MONSTERCLASS:Outsider:21	MOVE:Walk,20,Fly,160	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,5d10|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d12				FACE:30	REACH:20	ABILITY:Internal|AUTOMATIC|Race Traits ~ Behemot (Behemot Eagle)		SR:30	BONUS:STAT|STR|14	BONUS:STAT|DEX|24	BONUS:STAT|CON|12	BONUS:STAT|INT|6	BONUS:STAT|WIS|8	BONUS:STAT|CHA|6	MONCSKILL:Diplomacy|Knowledge (Geography)|Knowledge (History)|Knowledge (Nature)|Knowledge (The Planes)|Knowledge (Religion)|Listen|Sense Motive|Spot|Survival	CR:18	KIT:1|TN	HITDICEADVANCEMENT:42		LEGS:2	HANDS:0	SOURCEPAGE:ELH	KIT:1|Behemot (Behemot Eagle) Stats	
