SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																			
#																					
#	OUTPUTNAME:	KEY:	PROFICIENCY:	TYPE:	COST:	WT:	SOURCEPAGE:	BONUS:COMBAT|AC|x|TYPE=Armor	MAXDEX:	ACCHECK:	SPELLFAILURE:	EQMOD:									
## Armors																					
Antimagic Armor			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:871500	WT:50	SOURCEPAGE:ELH	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:ADAMANT_ARMR_HVY.EQ_COST_EPADJ_A.PLUS1A.NEGATE.INVULN									
Armor of Abyssal Horde			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:768260	WT:50	SOURCEPAGE:ELH	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:STEEL.EQ_COST_EPADJ_A.PLUS6A		AUTO:EQUIP|Abyssal Horde Claw Attack	BONUS:VAR|NegativeLevels|2|PREALIGN:LG,LN,NG,TN,CG,CN						
Armor of the Celestial Battalion			PROFICIENCY:ARMOR|Chainmail	TYPE:Armor.Light.Suit.Specific	COST:616300	WT:40	SOURCEPAGE:ELH	BONUS:COMBAT|AC|5|TYPE=Armor	MAXDEX:10		SPELLFAILURE:10	EQMOD:STEEL.EQ_COST_EPADJ_A.PLUS7A	SPROP:Continuous Magic Circle against Evil.	SPELLS:Armor of the Celestial Battalion|TIMES=ATWILL|CASTERLEVEL=5|Fly							
Dragonskin (Black)			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:564550	WT:50	SOURCEPAGE:ELH	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:DRAGONHIDE_ARMR.EQ_COST_EPADJ_A.PLUS5A		SPELLS:Dragonskin (Black)|TIMES=4|CASTERLEVEL=5|Fly	ABILITY:Special Ability|VIRTUAL|Immunity To Acid	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Intimidate=Draconic Creatures|4|TYPE=Circumstance			
Dragonskin (Blue)			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:564550	WT:50	SOURCEPAGE:ELH	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:DRAGONHIDE_ARMR.EQ_COST_EPADJ_A.PLUS5A		SPELLS:Dragonskin (Black)|TIMES=4|CASTERLEVEL=5|Fly	ABILITY:Special Ability|VIRTUAL|Immunity To Electricity	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Intimidate=Draconic Creatures|4|TYPE=Circumstance			
Dragonskin (Brass)			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:564550	WT:50	SOURCEPAGE:ELH	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:DRAGONHIDE_ARMR.EQ_COST_EPADJ_A.PLUS5A		SPELLS:Dragonskin (Black)|TIMES=4|CASTERLEVEL=5|Fly	ABILITY:Special Ability|VIRTUAL|Immunity To Fire	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Intimidate=Draconic Creatures|4|TYPE=Circumstance			
Dragonskin (Bronze)			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:564550	WT:50	SOURCEPAGE:ELH	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:DRAGONHIDE_ARMR.EQ_COST_EPADJ_A.PLUS5A		SPELLS:Dragonskin (Black)|TIMES=4|CASTERLEVEL=5|Fly	ABILITY:Special Ability|VIRTUAL|Immunity To Electricity	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Intimidate=Draconic Creatures|4|TYPE=Circumstance			
Dragonskin (Copper)			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:564550	WT:50	SOURCEPAGE:ELH	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:DRAGONHIDE_ARMR.EQ_COST_EPADJ_A.PLUS5A		SPELLS:Dragonskin (Black)|TIMES=4|CASTERLEVEL=5|Fly	ABILITY:Special Ability|VIRTUAL|Immunity To Acid	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Intimidate=Draconic Creatures|4|TYPE=Circumstance			
Dragonskin (Gold)			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:564550	WT:50	SOURCEPAGE:ELH	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:DRAGONHIDE_ARMR.EQ_COST_EPADJ_A.PLUS5A		SPELLS:Dragonskin (Black)|TIMES=4|CASTERLEVEL=5|Fly	ABILITY:Special Ability|VIRTUAL|Immunity To Fire	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Intimidate=Draconic Creatures|4|TYPE=Circumstance			
Dragonskin (Green)			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:564550	WT:50	SOURCEPAGE:ELH	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:DRAGONHIDE_ARMR.EQ_COST_EPADJ_A.PLUS5A		SPELLS:Dragonskin (Black)|TIMES=4|CASTERLEVEL=5|Fly	ABILITY:Special Ability|VIRTUAL|Immunity To Acid	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Intimidate=Draconic Creatures|4|TYPE=Circumstance			
Dragonskin (Red)			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:564550	WT:50	SOURCEPAGE:ELH	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:DRAGONHIDE_ARMR.EQ_COST_EPADJ_A.PLUS5A		SPELLS:Dragonskin (Black)|TIMES=4|CASTERLEVEL=5|Fly	ABILITY:Special Ability|VIRTUAL|Immunity To Fire	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Intimidate=Draconic Creatures|4|TYPE=Circumstance			
Dragonskin (Silver)			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:564550	WT:50	SOURCEPAGE:ELH	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:DRAGONHIDE_ARMR.EQ_COST_EPADJ_A.PLUS5A		SPELLS:Dragonskin (Black)|TIMES=4|CASTERLEVEL=5|Fly	ABILITY:Special Ability|VIRTUAL|Immunity To Cold	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Intimidate=Draconic Creatures|4|TYPE=Circumstance			
Dragonskin (White)			PROFICIENCY:ARMOR|Full Plate	TYPE:Armor.Heavy.Suit.Specific	COST:564550	WT:50	SOURCEPAGE:ELH	BONUS:COMBAT|AC|8|TYPE=Armor	MAXDEX:1	ACCHECK:-6	SPELLFAILURE:35	EQMOD:DRAGONHIDE_ARMR.EQ_COST_EPADJ_A.PLUS5A		SPELLS:Dragonskin (Black)|TIMES=4|CASTERLEVEL=5|Fly	ABILITY:Special Ability|VIRTUAL|Immunity To Cold	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Diplomacy=Draconic Creatures|-4	BONUS:SITUATION|Intimidate=Draconic Creatures|4|TYPE=Circumstance			
Shapeshifter's Armor			PROFICIENCY:ARMOR|Hide	TYPE:Armor.Medium.Suit.Specific.Nonmetal	COST:400165	WT:25	SOURCEPAGE:ELH	BONUS:COMBAT|AC|3|TYPE=Armor	MAXDEX:4	ACCHECK:-3	SPELLFAILURE:20	EQMOD:LEATHER.EQ_COST_EPADJ_A.PLUS6A	SPROP:grants its full Armor Class bonus regardless of any form the wearer takes.								
Warlord's Breastplate			PROFICIENCY:ARMOR|Breastplate	TYPE:Armor.Medium.Suit.Specific	COST:416200	WT:30	SOURCEPAGE:ELH	BONUS:COMBAT|AC|5|TYPE=Armor	MAXDEX:3	ACCHECK:-3	SPELLFAILURE:20	EQMOD:MITHRAL_ARMR_MED.EQ_COST_EPADJ_A.PLUS6A		BONUS:STAT|CHA|4|TYPE=Enhancement	ABILITY:FEAT|VIRTUAL|Leadership						
																					
## Shields																					
Bulwark of the Great Dragon (Black)			PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Specific.Nonmetal	COST:806570	WT:10	SOURCEPAGE:ELH	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:DRAGONHIDE_SHLD.EQ_COST_EPADJ_S.PLUS6S	SPROP:3/day Breath Weapon line 80-ft 20d6 acid damage.	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M	BONUS:VAR|AcidResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Acid (Sp)	
Bulwark of the Great Dragon (Blue)			PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Specific.Nonmetal	COST:806570	WT:10	SOURCEPAGE:ELH	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:DRAGONHIDE_SHLD.EQ_COST_EPADJ_S.PLUS6S	SPROP:3/day Breath Weapon line 80-ft 20d6 electricity damage.	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M	BONUS:VAR|ElectricityResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Electricity (Sp)	
Bulwark of the Great Dragon (Brass)			PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Specific.Nonmetal	COST:806570	WT:10	SOURCEPAGE:ELH	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:DRAGONHIDE_SHLD.EQ_COST_EPADJ_S.PLUS6S	SPROP:3/day Breath Weapon line 80-ft 20d6 fire damage.	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M	BONUS:VAR|FireResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Fire (Sp)	
Bulwark of the Great Dragon (Bronze)			PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Specific.Nonmetal	COST:806570	WT:10	SOURCEPAGE:ELH	BONUS:COMBAT|AC|2|TYPE=Shield		ACCHECK:-2	SPELLFAILURE:15	EQMOD:DRAGONHIDE_SHLD.EQ_COST_EPADJ_S.PLUS6S	SPROP:3/day Breath Weapon line 80-ft 20d6 electricity damage.	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	WIELD:OneHanded	SIZE:M	BONUS:VAR|ElectricityResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Electricity (Sp)	
