SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																				
#																						
# Equipment Name	Output Name	Type	Cost	Weight	Define	Requires Modification?	Source Page	Special Property														
#Enhancements																						
+6 (Enhancement to Shield)	KEY:PLUS6S	TYPE:Shield	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Shield	ITYPE:Masterwork.Enhancement.Magic.Plus6					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+6	SORTKEY:06PLUSS	ASSIGNTOALL:NO	REPLACES:PLUS1S,PLUS2S,PLUS3S,PLUS4S,PLUS5S,PLUS7S,PLUS8S,PLUS9S,PLUS10S,MWORKA	BONUS:COMBAT|AC|6|TYPE=ShieldEnhancement	BONUS:EQMARMOR|ACCHECK|6|TYPE=Enhancement|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Shield|10000*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Shield|150|!PRETYPE:1,EQMODTYPE=MasterworkQuality	
+7 (Enhancement to Shield)	KEY:PLUS7S	TYPE:Shield	PLUS:7	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Shield	ITYPE:Masterwork.Enhancement.Magic.Plus7					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+7	SORTKEY:07PLUSS	ASSIGNTOALL:NO	REPLACES:PLUS1S,PLUS2S,PLUS3S,PLUS4S,PLUS5S,PLUS6S,PLUS8S,PLUS9S,PLUS10S,MWORKA	BONUS:COMBAT|AC|7|TYPE=ShieldEnhancement	BONUS:EQMARMOR|ACCHECK|7|TYPE=Enhancement|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Shield|10000*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Shield|150|!PRETYPE:1,EQMODTYPE=MasterworkQuality	
+8 (Enhancement to Shield)	KEY:PLUS8S	TYPE:Shield	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Shield	ITYPE:Masterwork.Enhancement.Magic.Plus8					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+8	SORTKEY:08PLUSS	ASSIGNTOALL:NO	REPLACES:PLUS1S,PLUS2S,PLUS3S,PLUS4S,PLUS5S,PLUS6S,PLUS7S,PLUS9S,PLUS10S,MWORKA	BONUS:COMBAT|AC|8|TYPE=ShieldEnhancement	BONUS:EQMARMOR|ACCHECK|8|TYPE=Enhancement|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Shield|10000*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Shield|150|!PRETYPE:1,EQMODTYPE=MasterworkQuality	
+9 (Enhancement to Shield)	KEY:PLUS9S	TYPE:Shield	PLUS:9	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Shield	ITYPE:Masterwork.Enhancement.Magic.Plus9					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+9	SORTKEY:09PLUSS	ASSIGNTOALL:NO	REPLACES:PLUS1S,PLUS2S,PLUS3S,PLUS4S,PLUS5S,PLUS6S,PLUS7S,PLUS8S,PLUS10S,MWORKA	BONUS:COMBAT|AC|9|TYPE=ShieldEnhancement	BONUS:EQMARMOR|ACCHECK|9|TYPE=Enhancement|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Shield|10000*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Shield|150|!PRETYPE:1,EQMODTYPE=MasterworkQuality	
+10 (Enhancement to Shield)	KEY:PLUS10S	TYPE:Shield	PLUS:10	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Shield	ITYPE:Masterwork.Enhancement.Magic.Plus10					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+10	SORTKEY:10PLUSS	ASSIGNTOALL:NO	REPLACES:PLUS1S,PLUS2S,PLUS3S,PLUS4S,PLUS5S,PLUS6S,PLUS7S,PLUS8S,PLUS9S,MWORKA	BONUS:COMBAT|AC|10|TYPE=ShieldEnhancement	BONUS:EQMARMOR|ACCHECK|10|TYPE=Enhancement|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Shield|10000*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Shield|150|!PRETYPE:1,EQMODTYPE=MasterworkQuality	
+6 (Enhancement to Armor)	KEY:PLUS6A	TYPE:Armor	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Armor	ITYPE:Masterwork.Enhancement.Magic.Plus6					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+6	SORTKEY:06PLUSA	ASSIGNTOALL:NO	REPLACES:PLUS1A,PLUS2A,PLUS3A,PLUS4A,PLUS5A,PLUS7A,PLUS8A,PLUS9A,PLUS10A,MWORKA	BONUS:COMBAT|AC|6|TYPE=ArmorEnhancement	BONUS:EQMARMOR|ACCHECK|6|TYPE=Enhancement|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Armor|10000*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Armor|150|!PRETYPE:1,EQMODTYPE=MasterworkQuality	
+7 (Enhancement to Armor)	KEY:PLUS7A	TYPE:Armor	PLUS:7	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Armor	ITYPE:Masterwork.Enhancement.Magic.Plus7					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+7	SORTKEY:07PLUSA	ASSIGNTOALL:NO	REPLACES:PLUS1A,PLUS2A,PLUS3A,PLUS4A,PLUS5A,PLUS6A,PLUS8A,PLUS9A,PLUS10A,MWORKA	BONUS:COMBAT|AC|7|TYPE=ArmorEnhancement	BONUS:EQMARMOR|ACCHECK|7|TYPE=Enhancement|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Armor|10000*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Armor|150|!PRETYPE:1,EQMODTYPE=MasterworkQuality	
+8 (Enhancement to Armor)	KEY:PLUS8A	TYPE:Armor	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Armor	ITYPE:Masterwork.Enhancement.Magic.Plus8					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+8	SORTKEY:08PLUSA	ASSIGNTOALL:NO	REPLACES:PLUS1A,PLUS2A,PLUS3A,PLUS4A,PLUS5A,PLUS6A,PLUS7A,PLUS9A,PLUS10A,MWORKA	BONUS:COMBAT|AC|8|TYPE=ArmorEnhancement	BONUS:EQMARMOR|ACCHECK|8|TYPE=Enhancement|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Armor|10000*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Armor|150|!PRETYPE:1,EQMODTYPE=MasterworkQuality	
+9 (Enhancement to Armor)	KEY:PLUS9A	TYPE:Armor	PLUS:9	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Armor	ITYPE:Masterwork.Enhancement.Magic.Plus9					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+9	SORTKEY:09PLUSA	ASSIGNTOALL:NO	REPLACES:PLUS1A,PLUS2A,PLUS3A,PLUS4A,PLUS5A,PLUS6A,PLUS7A,PLUS8A,PLUS10A,MWORKA	BONUS:COMBAT|AC|9|TYPE=ArmorEnhancement	BONUS:EQMARMOR|ACCHECK|9|TYPE=Enhancement|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Armor|10000*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Armor|150|!PRETYPE:1,EQMODTYPE=MasterworkQuality	
+10 (Enhancement to Armor)	KEY:PLUS10A	TYPE:Armor	PLUS:10	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Armor	ITYPE:Masterwork.Enhancement.Magic.Plus10					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+10	SORTKEY:10PLUSA	ASSIGNTOALL:NO	REPLACES:PLUS1A,PLUS2A,PLUS3A,PLUS4A,PLUS5A,PLUS6A,PLUS7A,PLUS8A,PLUS9A,MWORKA	BONUS:COMBAT|AC|10|TYPE=ArmorEnhancement	BONUS:EQMARMOR|ACCHECK|10|TYPE=Enhancement|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Armor|10000*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Armor|150|!PRETYPE:1,EQMODTYPE=MasterworkQuality	
+6 (Enhancement to Weapon)	KEY:PLUS6W	TYPE:Ammunition.Weapon	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Ammunition,Weapon	ITYPE:Masterwork.Enhancement.Magic.Plus6					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+6	SORTKEY:06PLUSW	ASSIGNTOALL:NO	REPLACES:PLUS1W,PLUS2W,PLUS3W,PLUS4W,PLUS5W,PLUS7W,PLUS8W,PLUS9W,PLUS10W,MWORKW	BONUS:ITEMCOST|TYPE=Ammunition|400*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Weapon|20000*HEADPLUSTOTAL*HEADPLUSTOTAL	BONUS:ITEMCOST|TYPE=Ammunition|6|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Weapon|300|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:WEAPON|DAMAGE,TOHIT|6|TYPE=Enhancement
+7 (Enhancement to Weapon)	KEY:PLUS7W	TYPE:Ammunition.Weapon	PLUS:7	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Ammunition,Weapon	ITYPE:Masterwork.Enhancement.Magic.Plus7					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+7	SORTKEY:07PLUSW	ASSIGNTOALL:NO	REPLACES:PLUS1W,PLUS2W,PLUS3W,PLUS4W,PLUS5W,PLUS6W,PLUS8W,PLUS9W,PLUS10W,MWORKW	BONUS:ITEMCOST|TYPE=Ammunition|400*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Weapon|20000*HEADPLUSTOTAL*HEADPLUSTOTAL	BONUS:ITEMCOST|TYPE=Ammunition|6|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Weapon|300|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:WEAPON|DAMAGE,TOHIT|7|TYPE=Enhancement
+8 (Enhancement to Weapon)	KEY:PLUS8W	TYPE:Ammunition.Weapon	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Ammunition,Weapon	ITYPE:Masterwork.Enhancement.Magic.Plus8					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+8	SORTKEY:08PLUSW	ASSIGNTOALL:NO	REPLACES:PLUS1W,PLUS2W,PLUS3W,PLUS4W,PLUS5W,PLUS6W,PLUS7W,PLUS9W,PLUS10W,MWORKW	BONUS:ITEMCOST|TYPE=Ammunition|400*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Weapon|20000*HEADPLUSTOTAL*HEADPLUSTOTAL	BONUS:ITEMCOST|TYPE=Ammunition|6|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Weapon|300|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:WEAPON|DAMAGE,TOHIT|8|TYPE=Enhancement
+9 (Enhancement to Weapon)	KEY:PLUS9W	TYPE:Ammunition.Weapon	PLUS:9	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Ammunition,Weapon	ITYPE:Masterwork.Enhancement.Magic.Plus9					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+9	SORTKEY:09PLUSW	ASSIGNTOALL:NO	REPLACES:PLUS1W,PLUS2W,PLUS3W,PLUS4W,PLUS5W,PLUS6W,PLUS7W,PLUS8W,PLUS10W,MWORKW	BONUS:ITEMCOST|TYPE=Ammunition|400*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Weapon|20000*HEADPLUSTOTAL*HEADPLUSTOTAL	BONUS:ITEMCOST|TYPE=Ammunition|6|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Weapon|300|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:WEAPON|DAMAGE,TOHIT|9|TYPE=Enhancement
+10 (Enhancement to Weapon)	KEY:PLUS10W	TYPE:Ammunition.Weapon	PLUS:10	VISIBLE:QUALIFY	SOURCEPAGE:ELH		PRETYPE:1,Ammunition,Weapon	ITYPE:Masterwork.Enhancement.Magic.Plus10					FORMATCAT:MIDDLE	NAMEOPT:TEXT=+10	SORTKEY:10PLUSW	ASSIGNTOALL:NO	REPLACES:PLUS1W,PLUS2W,PLUS3W,PLUS4W,PLUS5W,PLUS6W,PLUS7W,PLUS8W,PLUS9W,MWORKW	BONUS:ITEMCOST|TYPE=Ammunition|400*PLUSTOTAL*PLUSTOTAL	BONUS:ITEMCOST|TYPE=Weapon|20000*HEADPLUSTOTAL*HEADPLUSTOTAL	BONUS:ITEMCOST|TYPE=Ammunition|6|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:ITEMCOST|TYPE=Weapon|300|!PRETYPE:1,EQMODTYPE=MasterworkQuality	BONUS:WEAPON|DAMAGE,TOHIT|10|TYPE=Enhancement
																						
#Special Ability																						
###Block: Armors and Shields																						
Acid Warding	KEY:ACID_WARD	TYPE:Armor.Shield	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Absorbs 50 points of Acid damage per attack.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	REPLACES:ACID_RST,ACID_RST_IMP,ACID_RST_GRT	BONUS:VAR|AcidResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Acid (Sp)			
ACID_RST.MOD																	REPLACES:ACID_RST_IMP,ACID_RST_GRT,ACID_WARD					
ACID_RST_IMP.MOD																	REPLACES:ACID_RST,ACID_RST_GRT,ACID_WARD					
ACID_RST_GRT.MOD																	REPLACES:ACID_RST,ACID_RST_IMP,ACID_WARD					
Cold Warding	KEY:COLD_WARD	TYPE:Armor.Shield	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Absorbs 50 points of Cold damage per attack.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	REPLACES:COLD_RST,COLD_RST_IMP,COLD_RST_GRT	BONUS:VAR|ColdResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Cold (Sp)			
COLD_RST.MOD																	REPLACES:COLD_RST_IMP,COLD_RST_GRT,COLD_WARD					
COLD_RST_IMP.MOD																	REPLACES:COLD_RST,COLD_RST_GRT,COLD_WARD					
COLD_RST_GRT.MOD																	REPLACES:COLD_RST,COLD_RST_IMP,COLD_WARD					
Exceptional Arrow Deflection	KEY:ARW_DEF_EX	TYPE:Shield	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:This shield protects the wielder deflecting any type of ranged attack (including spells that require a ranged touch attack) as if it were an arrow.	PRETYPE:2,Enhancement,Shield									ASSIGNTOALL:YES	REPLACES:ARW_DEF,ARW_DEF_INF	ABILITY:FEAT|VIRTUAL|Deflect Arrows				
Fire Warding	KEY:FIRE_WARD	TYPE:Armor.Shield	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Absorbs 50 points of Fire damage per attack.	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	REPLACES:FIRE_RST,FIRE_RST_IMP,FIRE_RST_GRT	BONUS:VAR|FireResistanceBonusSp|50|TYPE=Base	ABILITY:Special Ability|VIRTUAL|Resistance To Fire (Sp)			
FIRE_RST.MOD																	REPLACES:FIRE_RST_IMP,FIRE_RST_GRT,FIRE_WARD					
FIRE_RST_IMP.MOD																	REPLACES:FIRE_RST,FIRE_RST_GRT,FIRE_WARD					
FIRE_RST_GRT.MOD																	REPLACES:FIRE_RST,FIRE_RST_IMP,FIRE_WARD					
Greater Invulnerability (10/magic)	KEY:INVULN_GRT_1	TYPE:Armor	PLUS:4	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:DR 10/Magic	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	REPLACES:INVULN,INVULN_GRT_2,INVULN_GRT_3,INVULN_GRT_4	DR:10/Magic				
Greater Invulnerability (15/magic)	KEY:INVULN_GRT_2	TYPE:Armor	PLUS:5	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:DR 15/Magic	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	REPLACES:INVULN,INVULN_GRT_1,INVULN_GRT_3,INVULN_GRT_4	DR:15/Magic				
Greater Invulnerability (5/epic)	KEY:INVULN_GRT_3	TYPE:Armor	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:DR 5/Epic	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	REPLACES:INVULN,INVULN_GRT_1,INVULN_GRT_2,INVULN_GRT_4	DR:5/Epic				
Greater Invulnerability (10/epic)	KEY:INVULN_GRT_4	TYPE:Armor	PLUS:7	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:DR 10/Epic	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									ASSIGNTOALL:YES	REPLACES:INVULN,INVULN_GRT_1,INVULN_GRT_2,INVULN_GRT_3	DR:10/Epic				
