SOURCELONG:Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page																																																																																																																																																																																																																																																																																																																																																																																																																																																									
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Psionic|PRERACE:1,RACESUBTYPE=Psionic																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Psionic	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DEFINE:BasePowerPoints|0	DEFINE:BonusPowerPoints|0	DEFINE:TotalPowerPoints|0	DEFINE:CharacterML|0	DESC:Total Power Points %1; Base Power Points %2; Bonus Power Points %3|TotalPowerPoints|BasePowerPoints|BonusPowerPoints													BONUS:VAR|TotalPowerPoints|BasePowerPoints|TYPE=Base	BONUS:VAR|TotalPowerPoints|BonusPowerPoints|TYPE=Base																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
Psion Caster Support	CATEGORY:Internal	TYPE:Special	VISIBLE:NO	DEFINE:PsionML|0	BONUS:VAR|PsionML|var("BL=Psion")	BONUS:VAR|BasePowerPoints|2	BONUS:VAR|BasePowerPoints|4|PREVARGTEQ:PsionML,2	BONUS:VAR|BasePowerPoints|5|PREVARGTEQ:PsionML,3	BONUS:VAR|BasePowerPoints|6|PREVARGTEQ:PsionML,4	BONUS:VAR|BasePowerPoints|8|PREVARGTEQ:PsionML,5	BONUS:VAR|BasePowerPoints|10|PREVARGTEQ:PsionML,6	BONUS:VAR|BasePowerPoints|11|PREVARGTEQ:PsionML,7	BONUS:VAR|BasePowerPoints|12|PREVARGTEQ:PsionML,8	BONUS:VAR|BasePowerPoints|14|PREVARGTEQ:PsionML,9	BONUS:VAR|BasePowerPoints|16|PREVARGTEQ:PsionML,10	BONUS:VAR|BasePowerPoints|18|PREVARGTEQ:PsionML,11	BONUS:VAR|BasePowerPoints|20|PREVARGTEQ:PsionML,12	BONUS:VAR|BasePowerPoints|21|PREVARGTEQ:PsionML,13	BONUS:VAR|BasePowerPoints|23|PREVARGTEQ:PsionML,14	BONUS:VAR|BasePowerPoints|25|PREVARGTEQ:PsionML,15	BONUS:VAR|BasePowerPoints|26|PREVARGTEQ:PsionML,16	BONUS:VAR|BasePowerPoints|29|PREVARGTEQ:PsionML,17	BONUS:VAR|BasePowerPoints|30|PREVARGTEQ:PsionML,18	BONUS:VAR|BasePowerPoints|31|PREVARGTEQ:PsionML,19	BONUS:VAR|BasePowerPoints|32|PREVARGTEQ:PsionML,20	BONUS:VAR|BonusPowerPoints|(INT*PsionML)/2|TYPE=PsionBonusPP	BONUS:VAR|CharacterML|PsionML																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Psychic Warrior Caster Support	CATEGORY:Internal	TYPE:Special	VISIBLE:NO	DEFINE:PsychicWarriorML|0	BONUS:VAR|PsychicWarriorML|var("BL=Psychic Warrior")	BONUS:VAR|BasePowerPoints|0	BONUS:VAR|BasePowerPoints|1|PREVARGTEQ:PsychicWarriorML,2	BONUS:VAR|BasePowerPoints|2|PREVARGTEQ:PsychicWarriorML,3	BONUS:VAR|BasePowerPoints|2|PREVARGTEQ:PsychicWarriorML,4	BONUS:VAR|BasePowerPoints|2|PREVARGTEQ:PsychicWarriorML,5	BONUS:VAR|BasePowerPoints|4|PREVARGTEQ:PsychicWarriorML,6	BONUS:VAR|BasePowerPoints|4|PREVARGTEQ:PsychicWarriorML,7	BONUS:VAR|BasePowerPoints|4|PREVARGTEQ:PsychicWarriorML,8	BONUS:VAR|BasePowerPoints|4|PREVARGTEQ:PsychicWarriorML,9	BONUS:VAR|BasePowerPoints|4|PREVARGTEQ:PsychicWarriorML,10	BONUS:VAR|BasePowerPoints|8|PREVARGTEQ:PsychicWarriorML,11	BONUS:VAR|BasePowerPoints|8|PREVARGTEQ:PsychicWarriorML,12	BONUS:VAR|BasePowerPoints|8|PREVARGTEQ:PsychicWarriorML,13	BONUS:VAR|BasePowerPoints|8|PREVARGTEQ:PsychicWarriorML,14	BONUS:VAR|BasePowerPoints|8|PREVARGTEQ:PsychicWarriorML,15	BONUS:VAR|BasePowerPoints|12|PREVARGTEQ:PsychicWarriorML,16	BONUS:VAR|BasePowerPoints|12|PREVARGTEQ:PsychicWarriorML,17	BONUS:VAR|BasePowerPoints|12|PREVARGTEQ:PsychicWarriorML,18	BONUS:VAR|BasePowerPoints|12|PREVARGTEQ:PsychicWarriorML,19	BONUS:VAR|BasePowerPoints|12|PREVARGTEQ:PsychicWarriorML,20	BONUS:VAR|BonusPowerPoints|(WIS*PsychicWarriorML)/2|TYPE=PsychicWarriorBonusPP	BONUS:VAR|CharacterML|PsychicWarriorML																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Wilder Caster Support	CATEGORY:Internal	TYPE:Special	VISIBLE:NO	DEFINE:WilderML|0	BONUS:VAR|WilderML|var("BL=Wilder")	BONUS:VAR|BasePowerPoints|2	BONUS:VAR|BasePowerPoints|4|PREVARGTEQ:WilderML,2	BONUS:VAR|BasePowerPoints|5|PREVARGTEQ:WilderML,3	BONUS:VAR|BasePowerPoints|6|PREVARGTEQ:WilderML,4	BONUS:VAR|BasePowerPoints|8|PREVARGTEQ:WilderML,5	BONUS:VAR|BasePowerPoints|10|PREVARGTEQ:WilderML,6	BONUS:VAR|BasePowerPoints|11|PREVARGTEQ:WilderML,7	BONUS:VAR|BasePowerPoints|12|PREVARGTEQ:WilderML,8	BONUS:VAR|BasePowerPoints|14|PREVARGTEQ:WilderML,9	BONUS:VAR|BasePowerPoints|16|PREVARGTEQ:WilderML,10	BONUS:VAR|BasePowerPoints|18|PREVARGTEQ:WilderML,11	BONUS:VAR|BasePowerPoints|20|PREVARGTEQ:WilderML,12	BONUS:VAR|BasePowerPoints|21|PREVARGTEQ:WilderML,13	BONUS:VAR|BasePowerPoints|23|PREVARGTEQ:WilderML,14	BONUS:VAR|BasePowerPoints|25|PREVARGTEQ:WilderML,15	BONUS:VAR|BasePowerPoints|26|PREVARGTEQ:WilderML,16	BONUS:VAR|BasePowerPoints|29|PREVARGTEQ:WilderML,17	BONUS:VAR|BasePowerPoints|30|PREVARGTEQ:WilderML,18	BONUS:VAR|BasePowerPoints|31|PREVARGTEQ:WilderML,19	BONUS:VAR|BasePowerPoints|32|PREVARGTEQ:WilderML,20	BONUS:VAR|BonusPowerPoints|(CHA*WilderML)/2|TYPE=WilderBonusPP	BONUS:VAR|CharacterML|WilderML																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Fist of Zuoken Caster Support	CATEGORY:Internal	TYPE:Special	VISIBLE:NO	DEFINE:FistOfZuokenML|0	BONUS:VAR|FistOfZuokenML|var("BL=Fist of Zuoken")	BONUS:VAR|BasePowerPoints|1	BONUS:VAR|BasePowerPoints|2|PREVARGTEQ:FistOfZuokenML,2	BONUS:VAR|BasePowerPoints|3|PREVARGTEQ:FistOfZuokenML,3	BONUS:VAR|BasePowerPoints|4|PREVARGTEQ:FistOfZuokenML,4	BONUS:VAR|BasePowerPoints|5|PREVARGTEQ:FistOfZuokenML,5	BONUS:VAR|BasePowerPoints|8|PREVARGTEQ:FistOfZuokenML,6	BONUS:VAR|BasePowerPoints|8|PREVARGTEQ:FistOfZuokenML,7	BONUS:VAR|BasePowerPoints|12|PREVARGTEQ:FistOfZuokenML,8	BONUS:VAR|BasePowerPoints|12|PREVARGTEQ:FistOfZuokenML,9	BONUS:VAR|BasePowerPoints|16|PREVARGTEQ:FistOfZuokenML,10	BONUS:VAR|BonusPowerPoints|(WIS*FistOfZuokenML)/2|TYPE=FistOfZuokenMLBonusPP	BONUS:VAR|CharacterML|FistOfZuokenML																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
War Mind Caster Support	CATEGORY:Internal	TYPE:Special	VISIBLE:NO	DEFINE:WarMindML|0	BONUS:VAR|WarMindML|var("BL=War Mind")	BONUS:VAR|BasePowerPoints|2	BONUS:VAR|BasePowerPoints|3|PREVARGTEQ:WarMindML,2	BONUS:VAR|BasePowerPoints|4|PREVARGTEQ:WarMindML,3	BONUS:VAR|BasePowerPoints|5|PREVARGTEQ:WarMindML,4	BONUS:VAR|BasePowerPoints|6|PREVARGTEQ:WarMindML,5	BONUS:VAR|BasePowerPoints|8|PREVARGTEQ:WarMindML,6	BONUS:VAR|BasePowerPoints|9|PREVARGTEQ:WarMindML,7	BONUS:VAR|BasePowerPoints|10|PREVARGTEQ:WarMindML,8	BONUS:VAR|BasePowerPoints|11|PREVARGTEQ:WarMindML,9	BONUS:VAR|BasePowerPoints|12|PREVARGTEQ:WarMindML,10	BONUS:VAR|BonusPowerPoints|(WIS*WarMindML)/2|TYPE=WarMindMLBonusPP	BONUS:VAR|CharacterML|WarMindML																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
