SOURCELONG:Gozzilioni Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04																														
																																	
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:
Psicrystal			STARTFEATS:1	SIZE:D	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Psicrystal:1	MOVE:Walk,30,Climb,20							REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Psicrystal			BONUS:STAT|STR|-9	BONUS:STAT|DEX|5		BONUS:STAT|INT|-4			MONCSKILL:Climb|Move Silently|Spot					LEGS:0		SOURCEPAGE:EPH
Psicrystal (Artiste)			STARTFEATS:1	SIZE:D	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Psicrystal:1	MOVE:Walk,30,Climb,20							REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Psicrystal			BONUS:STAT|STR|-9	BONUS:STAT|DEX|5		BONUS:STAT|INT|-4			MONCSKILL:Climb|Move Silently|Spot					LEGS:0		SOURCEPAGE:EPH
Psicrystal (Bully)			STARTFEATS:1	SIZE:D	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Psicrystal:1	MOVE:Walk,30,Climb,20							REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Psicrystal			BONUS:STAT|STR|-9	BONUS:STAT|DEX|5		BONUS:STAT|INT|-4			MONCSKILL:Climb|Move Silently|Spot					LEGS:0		SOURCEPAGE:EPH
Psicrystal (Coward)			STARTFEATS:1	SIZE:D	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Psicrystal:1	MOVE:Walk,30,Climb,20							REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Psicrystal			BONUS:STAT|STR|-9	BONUS:STAT|DEX|5		BONUS:STAT|INT|-4			MONCSKILL:Climb|Move Silently|Spot					LEGS:0		SOURCEPAGE:EPH
Psicrystal (Friendly)			STARTFEATS:1	SIZE:D	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Psicrystal:1	MOVE:Walk,30,Climb,20							REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Psicrystal			BONUS:STAT|STR|-9	BONUS:STAT|DEX|5		BONUS:STAT|INT|-4			MONCSKILL:Climb|Move Silently|Spot					LEGS:0		SOURCEPAGE:EPH
Psicrystal (Hero)			STARTFEATS:1	SIZE:D	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Psicrystal:1	MOVE:Walk,30,Climb,20							REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Psicrystal			BONUS:STAT|STR|-9	BONUS:STAT|DEX|5		BONUS:STAT|INT|-4			MONCSKILL:Climb|Move Silently|Spot					LEGS:0		SOURCEPAGE:EPH
Psicrystal (Liar)			STARTFEATS:1	SIZE:D	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Psicrystal:1	MOVE:Walk,30,Climb,20							REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Psicrystal			BONUS:STAT|STR|-9	BONUS:STAT|DEX|5		BONUS:STAT|INT|-4			MONCSKILL:Climb|Move Silently|Spot					LEGS:0		SOURCEPAGE:EPH
Psicrystal (Meticulous)			STARTFEATS:1	SIZE:D	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Psicrystal:1	MOVE:Walk,30,Climb,20							REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Psicrystal			BONUS:STAT|STR|-9	BONUS:STAT|DEX|5		BONUS:STAT|INT|-4			MONCSKILL:Climb|Move Silently|Spot					LEGS:0		SOURCEPAGE:EPH
Psicrystal (Nimble)			STARTFEATS:1	SIZE:D	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Psicrystal:1	MOVE:Walk,30,Climb,20							REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Psicrystal			BONUS:STAT|STR|-9	BONUS:STAT|DEX|5		BONUS:STAT|INT|-4			MONCSKILL:Climb|Move Silently|Spot					LEGS:0		SOURCEPAGE:EPH
Psicrystal (Observant)			STARTFEATS:1	SIZE:D	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Psicrystal:1	MOVE:Walk,30,Climb,20							REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Psicrystal			BONUS:STAT|STR|-9	BONUS:STAT|DEX|5		BONUS:STAT|INT|-4			MONCSKILL:Climb|Move Silently|Spot					LEGS:0		SOURCEPAGE:EPH
