SOURCELONG:Gozzilioni Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04																															
																																		
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:	
Dromite			STARTFEATS:1	SIZE:S	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid			MOVE:Walk,20						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dromite										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Dromite Stats
Elan			STARTFEATS:1	SIZE:M	TYPE:Aberration	RACETYPE:Aberration			MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Elan										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Elan Stats
Half-Giant			STARTFEATS:1	SIZE:M	TYPE:Giant	RACETYPE:Giant			MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Half-Giant										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Half-Giant Stats
Maenad			STARTFEATS:1	SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid			MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Maenad										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Maenad Stats
Thri-Kreen			STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid			MOVE:Walk,40						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Thri-Kreen										CR:1/2				LEGS:2	HANDS:4	SOURCEPAGE:EPH	KIT:1|Thri-Kreen Stats
Xeph			STARTFEATS:1	SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid			MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Xeph										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Xeph Stats
																																		
#Abeil (Vassal)			STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid		MONSTERCLASS:Monstrous Humanoid:1	MOVE:Walk,30,Fly,60		NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d6,SPROP=Poison				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abeil (Vassal)				BONUS:STAT|DEX|2			BONUS:STAT|WIS|4	BONUS:STAT|CHA|-2	MONCSKILL:TYPE.Craft|TYPE.Knowledge|Listen|Search|Survival	CR:2			LEVELADJUSTMENT:4	LEGS:6	HANDS:2	SOURCEPAGE:MM2	KIT:1|Abeil (Vassal) Stats
Astral Construct (1st)				SIZE:S	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):1	MOVE:Walk,30	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Astral Construct (1st)			BONUS:STAT|STR|4	BONUS:STAT|DEX|4						CR:1/2	KIT:1|TN			LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Astral Construct Stats
Astral Construct (2nd)				SIZE:M	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):2	MOVE:Walk,40	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Astral Construct (2nd)			BONUS:STAT|STR|6	BONUS:STAT|DEX|4						CR:1	KIT:1|TN			LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Astral Construct Stats
Astral Construct (3rd)				SIZE:M	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):3	MOVE:Walk,40	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Astral Construct (3rd)			BONUS:STAT|STR|10	BONUS:STAT|DEX|4						CR:2	KIT:1|TN			LEGS:2	HANDS:2	SOURCEPAGE:EPH	KIT:1|Astral Construct Stats
