SOURCELONG:Gozzilioni Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04																			
#																						
#	OUTPUTNAME:	KEY:	PROFICIENCY:	TYPE:	COST:	WT:	WIELD:	SLOTS:	SIZE:	DAMAGE:	CRITRANGE:	CRITMULT:	EQMOD:	SOURCEPAGE:	SPROP:	ALTTYPE:	ALTDAMAGE:	ALTCRITRANGE:	ALTCRITMULT:	ALTEQMOD:	RANGE:	REACHMULT:
Planar Cartographic Society's Map	TYPE:Goods	COST:1000	WT:0	SOURCEPAGE:EPH																		
																						
# psionic base items																						
Crawling Tattoo	TYPE:PsionicTattoo.Crawling	COST:0	WT:0	SOURCEPAGE:EPH									MODS:REQUIRED									
Dorje	TYPE:Dorje	COST:0	WT:0	SOURCEPAGE:EPH									MODS:REQUIRED									
Psionic Tattoo	TYPE:PsionicTattoo	COST:0	WT:0	SOURCEPAGE:EPH									MODS:REQUIRED									
Power Stone	TYPE:PowerStone	COST:0	WT:0	SOURCEPAGE:EPH									MODS:REQUIRED									
Psicrown	TYPE:Psicrown.Headgear	COST:0	WT:0	SOURCEPAGE:EPH									MODS:REQUIRED									

Golem (Psion-Killer)		KEY:Golem ~ Psion-Killer	TYPE:Monster.Construct.Container	COST:150000	WT:0	SOURCEPAGE:EPH	CONTAINS:UNLIM|Any	SPROP:ML 16th; Craft Construct, bend reality, dispel psionics, fabricate, mind seed, manifester must be at least 16th level.
