SOURCELONG:Gozzilioni Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-03
																																																																		
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells	SORTKEY:	
Beetle Buckler				SIZE:T	MOVE:Walk,10,Fly,40	FACE:2.5	REACH:0			KIT:1|TN									BONUS:STAT|STR|-10	BONUS:STAT|DEX|12				BONUS:STAT|CHA|-8			MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:6	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d3		ABILITY:Internal|AUTOMATIC|Race Traits ~ Beetle Buckler									MONSTERCLASS:Vermin:1	RACETYPE:Vermin		TYPE:Vermin	TEMPLATE:Mindless						CR:1/2	SOURCEPAGE:AaEG			
Climbdog			STARTFEATS:1	SIZE:S	MOVE:Walk,40,Climb,40	FACE:5	REACH:5		BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Climb|Hide|Listen|Spot|Survival									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Climbdog									MONSTERCLASS:Animal:2	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:2,4,6		CR:1	SOURCEPAGE:AaEG			
Thudhunter			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Burrow,40	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|8		BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Jump|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Thudhunter									MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:4,8,12		CR:2	SOURCEPAGE:AaEG			
#																																																																		
Camel.COPY=Camel (Llama)																																																																		
Camel (Llama).MOD	BONUS:STAT|STR|-4	ABILITY:Special Ability|AUTOMATIC|Lama ~ Training	RACESUBTYPE:Camel|Mount	SOURCEPAGE:AaEG, See Camel	BONUS:SIZEMOD|NUMBER|-1																																																													
#																																																																		
Animal (Lizard/Climbing)	OUTPUTNAME:Riding Lizard, Climbing		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|TN									BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Riding Lizard									MONSTERCLASS:Animal:4	RACETYPE:Animal		TYPE:Animal							CR:2	SOURCEPAGE:AaEG, p. 82			
Axebeak			STARTFEATS:1	SIZE:L	MOVE:Walk,65	FACE:10	REACH:5			KIT:1|TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Jump|Listen|Spot									LEGS:2	HANDS:0				NATURALATTACKS:Beak,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8|Kick,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*2,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Axebeak									MONSTERCLASS:Animal:3	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:6,9		CR:1	SOURCEPAGE:AaEG, p. 83			
Hippocampus			STARTFEATS:1	SIZE:L	MOVE:Swim,60	FACE:5	REACH:5			KIT:1|CN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Hide|Listen|Sense Motive|Spot|Swim|Survival									LEGS:0	HANDS:0				NATURALATTACKS:Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Hippocampus									MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast	RACESUBTYPE:Aquatic	TYPE:Magical Beast					HITDICEADVANCEMENT:8,12		CR:2	SOURCEPAGE:AaEG, p. 84			
