SOURCELONG:Gozzilioni Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-03																																
																																			
# Equipment Name	Output Name	Required Proficiency	Type	Cost	Weight	Wield Category	Slot Needed	Size	Damage	Critical Hit Range	Critical Hit Multiplier	Modifier	Alternative Type	Alternative Damage	Alternative Critical Range	Alternative Critical	Alternative Modifier	SOURCEPAGE:	Range	Reach	Reach Multiplier			BONUS:EQM	Special Property	Weapon prop. bonus									
###Block:Weapons																																			
Whip_STR	KEY:WHIPSTR	NAMEOPT:NONAME	TYPE:Whip.Composite	COST:0	VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:1,Composite							BONUS:EQM|WEIGHTADD|1*%CHOICE												TEMPVALUE:MIN=-5|MAX=100|TITLE=STR mod	ASSIGNTOALL:YES	BONUS:ITEMCOST|TYPE.Whip|100*%CHOICE|PREVARGT:%CHOICE,0	BONUS:WEAPON|TOHIT|-2|PREVARGT:%CHOICE,STR	BONUS:WEAPON|DAMAGE|min(%CHOICE,STR)	SPROP:STR bonus to damage		
Poison Ivy	KEY:MOONIVY_POISON	NAMEOPT:NONAME	TYPE:Armor.MoonIvy	COST:500	VISIBLE:QUALIFY		REPLACES:MOONIVY_EXPLOSIVE,MOONIVY_PHEROM	SOURCEPAGE:AaEG	PRETYPE:2,Armor,MoonIvy																								SPROP:1/day after successful grapple check your foe is poisoned: Fort DC 14. Initial: 1d3 points of CON damage. Secondary: 1d3 points of CON damage.		
Explosive Ivy	KEY:MOONIVY_EXPLOSIVE	NAMEOPT:NONAME	TYPE:Armor.MoonIvy	COST:500	VISIBLE:QUALIFY		REPLACES:MOONIVY_POISON,MOONIVY_PHEROM	SOURCEPAGE:AaEG	PRETYPE:2,Armor,MoonIvy																								SPROP:1d3 explosive spores/day whenever you are stuck by a bludgeoning attack, one of the spores ewxplodes into the space from which the attack came (Fort DC 14 or nauseated for 1d6 rounds)		
Pheromones	KEY:MOONIVY_PHEROM	NAMEOPT:NONAME	TYPE:Armor.MoonIvy	COST:500	VISIBLE:QUALIFY		REPLACES:MOONIVY_POISON,MOONIVY_EXPLOSIVE	SOURCEPAGE:AaEG	PRETYPE:2,Armor,MoonIvy																								SPROP:1/day exudes pheromones that make you seem more attractive. +3 bonus on all CHA-based checks for 3 hours. +6 if you attempt to influence a creature with Scent.		
Planar Attuned	KEY:PLANAR_ATTND		TYPE:PlanarAttuned	COST:0	VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Rod,PlanarAttuned											CHOOSE:STRING|Astral|Shadow|Ethereal|Fire|Air|Earth|Water|Positive|Negative|Celestia|Bytopia|Elysium|Beastland|Arborea|Ysgard|Limbo|Pandemonium|Abyss|Carceri|Hades|Gehenna|Baator|Acheron|Mechanus|Arcadia|TITLE=Attuned Plane															
																																			
###Block:Materials																																			
Shell			KEY:SHELL		NAMEOPT:NORMAL	TYPE:BaseMaterial.Mundane.Armor.Shield.Weapon	COST:0	VISIBLE:QUALIFY	ITYPE:Nonmetal.Shell	SOURCEPAGE:AaEG				PREMULT:1,[PRETYPE:1,EQMOD=SHELL],[!PRETYPE:1,EQMODTYPE=Mundane]	!PRETYPE:1,Wooden,Metal		SPROP:-1 AC/hour after the first eight hours not underwater																		
																																			
# Armor Material																																			
Baatorian Green Steel	KEY:GREEN_STEEL_WEAP		TYPE:BaseMaterial.MasterworkQuality.Ammunition.Weapon	COST:2000	VISIBLE:QUALIFY	ITYPE:Metal.GreenSteel.Masterwork	REPLACES:MWORKW,MWORKI,MWORKT	SOURCEPAGE:AaEG	PRETYPE:1,Metal					BONUS:WEAPON|DAMAGE|1|TYPE=Enhancement|PREMULT:2,[PRETYPE:1,Weapon],[PRETYPE:1,Piercing,Slashing]					SPROP:30hp/inch and 12 hardness					ASSIGNTOALL:NO											
Gehennan Morghuth Iron	KEY:MORGHUT_IRON_WEAP		TYPE:BaseMaterial.MasterworkQuality.Ammunition.Weapon	COST:4000	VISIBLE:QUALIFY	ITYPE:Metal.MorghutIron.Masterwork	REPLACES:MWORKW,MWORKI,MWORKT	SOURCEPAGE:AaEG	PRETYPE:1,Metal					BONUS:WEAPON|DAMAGE|-1|PREMULT:2,[PRETYPE:1,Weapon],[PRETYPE:1,Piercing,Slashing]	BONUS:WEAPON|TOHIT|-1|PREMULT:2,[PRETYPE:1,Weapon],[PRETYPE:1,Piercing,Slashing]				SPROP:Poison: Fort DC 12. Initial: 1 points of DEX damage. Secondary: 1d4 points of DEX damage. 20hp/inch and 9 hardness.					ASSIGNTOALL:NO											
Solanian Truesteel	KEY:TRUESTEEL_WEAP		TYPE:BaseMaterial.MasterworkQuality.Ammunition.Weapon	COST:1000	VISIBLE:QUALIFY	ITYPE:Metal.Truesteel.Masterwork	REPLACES:MWORKW,MWORKI,MWORKT	SOURCEPAGE:AaEG	PRETYPE:1,Metal										SPROP:+1 bonus on the confirmation roll for a critical hit. 25hp/inch and 11 hardness.					ASSIGNTOALL:NO											
																																			
# Weapon Material																																			
Blended Quartz	KEY:BLND_QUARTZ_ARMR_LT		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:2000	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Light.Armor]					BONUS:EQMARMOR|SPELLFAILURE|-20|TYPE=Enhancement			BONUS:EQM|WEIGHTMULT|2|TYPE=Enhancement		SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO											
Blended Quartz	KEY:BLND_QUARTZ_ARMR_MED		TYPE:BaseMaterial.MasterworkQuality.Armor	COST:5000	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz.Masterwork	REPLACES:MWORKA	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Metal],[PRETYPE:2,Medium.Armor]					BONUS:EQMARMOR|SPELLFAILURE|-20|TYPE=Enhancement			BONUS:EQM|WEIGHTMULT|2|TYPE=Enhancement		SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO											
