SOURCELONG:Lords of Darkness 3.0	SOURCESHORT:LoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:10-2001
																							
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE											
# Class Name req	Requirements	FINE																					
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS											
# Class Name spellcast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	SPELLLIST	spell level increases (BONUS:CASTERLEVEL)							#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)
CLASS:Spur Lord	HD:10	TYPE:PC.Prestige	FACT:Abb|Spl	MAXLEVEL:5	SOURCEPAGE:LoD30	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:SpurLordLVL|0	BONUS:VAR|SpurLordLVL|CL		BONUS:VAR|ClassBABGood|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1								
CLASS:Spur Lord	PRETOTALAB:4	PRESKILL:4,Bluff=3,Concentration=3,Knowledge (Religion)=3,Sense Motive=3	PRESKILL:1,Tumble=5	PREDEITY:1,Cyric	PREABILITY:4,CATEGORY=FEAT,Iron Will,Leadership,Lightning Reflexes,Quick Draw	PRETEXT:The character must have either made peaceful contact with an evil outsider that served Cyric or received a prophetic dream from Cyric.																	
CLASS:Spur Lord	STARTSKILLPTS:4	CSKILL:Bluff|Climb|Concentration|TYPE.Craft|Diplomacy|Disguise|Intimidate|Jump|Knowledge (Religion)|Move Silently|TYPE.Profession|Ride|Sense Motive|Swim|Tumble																					
1				ABILITY:Spur Lord Class Feature|AUTOMATIC|Spur Lord ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.SpurLordProficiencies																			
#																							
1				ABILITY:Spur Lord Class Feature|AUTOMATIC|Spur Lord ~ Dark Bond|!PREABILITY:1,CATEGORY=ACF,TYPE.SpurLordDarkBond																			
2				ABILITY:Spur Lord Class Feature|AUTOMATIC|Spur Lord ~ Secret Blade|!PREABILITY:1,CATEGORY=ACF,TYPE.SpurLordSecretBlade																			
