SOURCELONG:Lords of Darkness 3.0	SOURCESHORT:LoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:10-2001																						
																									
###Block: AB																									
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus
Devastate Undead				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Undead creatures, no two of which can be more than 30 ft. apart	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:This spell was created by the lich Larloch to power himself at the expense of his own undead minions. Focus: A disruption weapon of any kind.	SOURCEPAGE:LoD30							TEMPBONUS:ANYPC|SAVE|ALL|-2	TEMPBONUS:ANYPC|COMBAT|TOHIT,DAMAGE|-2
Dread Blast				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray.	DURATION:Instantaneous (See text)	SAVEINFO:Will half; See text	SPELLRES:Yes	DESC:You fire a black ray of negative energy at a single target.	SOURCEPAGE:LoD30								
Handfang				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 round/level	SAVEINFO:Reflex half; See text	SPELLRES:No	DESC:You create a fanged, biting mouth in the palm of your hand.	SOURCEPAGE:LoD30								
Shadow Tentacle (Greater)				TYPE:Spell	SCHOOL:Abjuration	SUBSCHOOL:Shadow		CLASSES:Sorcerer=5|Wizard=5	COMPS:S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One shadow.	DURATION:1 round/level or Concentration	SAVEINFO:None	SPELLRES:No	DESC:As lesser shadow tentacle, except the spell creates a shadow tentacle that extends up to 10 feet per caster level (maximum 100 feet) from its anchoring point.	SOURCEPAGE:LoD30								
Shadow Tentacle (Lesser)				TYPE:Spell	SCHOOL:Abjuration	SUBSCHOOL:Shadow		CLASSES:Sorcerer=3|Wizard=3	COMPS:S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One shadow.	DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You can animate any nearby shadow into a ropelike tentacle.	SOURCEPAGE:LoD30								
Night's Mantle				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Creature touched.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You imbue a creature with an invisible shield that protects it from all effects of sunlight. Material Component: Powdered ruby (value no less than 1,000 gp).	SOURCEPAGE:LoD30								
Phantom Plow				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Earth	CLASSES:Cleric=3|Druid=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:See text	TARGETAREA:See text.	DURATION:Permanent	SAVEINFO:See text	SPELLRES:No	DESC:You turn aside raw earth in a furrow in a straight line, extending from your feet to a distance of 20 feet per caster level.	SOURCEPAGE:LoD30								
Shadow Canopy				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Darkness	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:Dome 25 ft. high, diameter 100 ft. + 50 ft./level	DURATION:1 hour/level	SAVEINFO:Will negates or none (object)	SPELLRES:Yes or No	DESC:You create a dome of shadow. Material Component: A handful of coal dust and the dried eyeball of any diurnal creature.	SOURCEPAGE:LoD30								
Skull Eyes				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:See text	CLASSES:Cleric=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You.	DURATION:1 round/3 levels	SAVEINFO:See text	SPELLRES:Yes	DESC:As eyebite, except that you can only choose one of the following possible gaze attack: Charm or Confusion.	SOURCEPAGE:LoD30								
Stasis Clone				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S, M, F	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:One clone.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:As clone, except that if the original individual is still alive, the cloned body falls immediately into stasis and does not rot.	SOURCEPAGE:LoD30		COST:1500						
Triple Mask				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Shadow		CLASSES:Cleric=7	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Three shadow duplicates.	DURATION:1 round/level	SAVEINFO:Will disbelief (if interacted with)	SPELLRES:No	DESC:You create three shadow duplicates of yourself; they look, sound, and smell like you but are intangible.	SOURCEPAGE:LoD30								
#																									
Mortal Wound				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray.	DURATION:Instantaneous	SAVEINFO:Will half; see text	SPELLRES:Yes	DESC:You fire a black ray of negative energy at a single target. You must succeed at a ranged touch attack to strike your target. A creature struck by this ray takes 3d8 points of damage +1 point per caster level (up to +20). The spell has no effect on constructs or inanimate objects. Since undead are powered negative energy, this spell cures them of a like amount of damage, rather than harming them.	SOURCEPAGE:LoD30We:Malar								
