SOURCELONG:Lords of Darkness 3.0	SOURCESHORT:LoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:10-2001																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	DESC:Beholder mage neither gain nor lose proficiency with any weapons, armor, or shields by gaining levels in this class.					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Spur Lord Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfSpurLord	VISIBLE:NO	AUTO:WEAPONPROF|Longsword	BONUS:ABILITYPOOL|Spur Lord Weapon Proficiency|1																												
Skill Focus Chooser	CATEGORY:Special Ability	TYPE:DarkmaskSkillFocus	VISIBLE:YES		KEY:Darkmask ~ Skill Focus ~ Choose														STACK:YES	MULT:YES	CHOOSE:SKILL|CLASS		ABILITY:FEAT|AUTOMATIC|Skill Focus (%LIST)									SOURCEPAGE:LoD30	
Flyby Attack	CATEGORY:FEAT	TYPE:ZhentarimSkymage	VISIBLE:DISPLAY		KEY:Zhentarim Skymage ~ Flying Feat ~ Flyby Attack				DEFINE:FlyingMountFlyByAttack|0					BONUS:VAR|FlyingMountFlyByAttack|1|TYPE=Base																		SOURCEPAGE:LoD30	
Spell Focus Choose	CATEGORY:Special Ability	TYPE:ZhentarimSkymageSpellFocus	VISIBLE:YES		KEY:Zhentarim Skymage ~ Spell Focus ~ Choose														STACK:YES	MULT:YES	CHOOSE:SCHOOLS|ALL		ABILITY:FEAT|AUTOMATIC|Spell Focus (%LIST)									SOURCEPAGE:LoD30	
																																	
##Block:Companion Support																																	
Flying Mount	CATEGORY:Special Ability	ABILITY:Internal|AUTOMATIC|Flying Mount (Base)|Flying Mount																															
Flying Mount (Base)	CATEGORY:Internal								DEFINE:FlyingMountLVL|0	DEFINE:FlyingMountDetermination|0													FOLLOWERS:Flying Mount|1	ABILITY:Flying Mount Selection|AUTOMATIC|Standard Selection ~ Flying Mount|!PREABILITY:1,CATEGORY=Internal,TYPE.FlyingMountAlternate								SOURCEPAGE:LoD30	
Flying Mount	CATEGORY:Internal	TYPE:FlyingMountSelection	VISIBLE:NO																													SOURCEPAGE:LoD30	
Expanded Selection	CATEGORY:Internal	TYPE:FlyingMountSelection.FlyingMountAlternate		KEY:Expanded Selection ~ Flying Mount																			COST:0	COMPANIONLIST:Flying Mount|ANY								SOURCEPAGE:LoD30	
Flying Mount	CATEGORY:Internal	TYPE:FlyingMountSelection.FlyingMountBase		KEY:Standard Selection ~ Flying Mount	!PREABILITY:1,CATEGORY=Internal,TYPE.FlyingMountAlternate																		COST:0	COMPANIONLIST:Flying Mount|Hippogriff|PREVARGTEQ:FlyingMountLimit,3	COMPANIONLIST:Flying Mount|Dire Animal (Dire Bat),Eagle (Giant),Owl (Giant),Bat (Deep/Sinister),Spider Eater|PREVARGTEQ:FlyingMountLimit,4	COMPANIONLIST:Flying Mount|Peryton|PREVARGTEQ:FlyingMountLimit,5	COMPANIONLIST:Flying Mount|Manticore,Nightmare|PREVARGTEQ:FlyingMountLimit,6	COMPANIONLIST:Flying Mount|Griffon,Wyvern|PREVARGTEQ:FlyingMountLimit,7	COMPANIONLIST:Flying Mount|Chimera,Dragonne,Sphinx (Hieracosphinx)|PREVARGTEQ:FlyingMountLimit,9	COMPANIONLIST:Flying Mount|Sphinx (Criosphinx)|PREVARGTEQ:FlyingMountLimit,10	COMPANIONLIST:Flying Mount|Yrthak|PREVARGTEQ:FlyingMountLimit,12	COMPANIONLIST:Flying Mount|Roc|PREVARGTEQ:FlyingMountLimit,18	SOURCEPAGE:LoD30
																																	
###Block: Special Mount																																	
Share Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.FlyingMountClassFeatures.SpecialQuality		DESC:The skymage can share spells with his flying mount as if the mount were his familiar. This ability only works if the skymage is riding the mount, and a shared spell ends for the mount instantly if the skymage is no longer riding it.	KEY:Flying Mount ~ Share Spells																											SOURCEPAGE:LoD30
