SOURCELONG:Seafarer's Handbook	SOURCESHORT:SHb	SOURCEWEB:http://www.fantasyflightgames.com
#																									
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus
Acid Fog (Aquatic)				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Fog spreads in 30-ft. radius, 20 ft. High.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions identically to acid fog, except that it works underwater.	SOURCEPAGE:Shb								
# Air Breathing				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Druid=3|Sorcerer=3|Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:2 hours/level; see text	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The transmuted creatures can breathe air freely.	SOURCEPAGE:Shb								
Aquatic Form				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, DF, XP	CASTTIME:1 hour	RANGE:Touch	TARGETAREA:One creature.	DURATION:Permanent	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:This spell grants the Aquatic template to the target creature. XP Cost: The caster must expend 500 XP for the transmutation to take effect.	SOURCEPAGE:Shb			XPCOST:500					
Buoyancy				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature/level.	DURATION:1 hour + 10 minutes/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:When this spell is cast, the target creatures gain the ability to add or subtract a number of pounds equal to the caster level times 5, solely for purposes of determining buoyancy.	SOURCEPAGE:Shb								
Clearwater				TYPE:Spell	SCHOOL:Divination			CLASSES:Cleric=0|Druid=0|Ranger=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:When this spell is cast, any debris, silt, or other fine obstructions cluttering the water are made invisible to the eyes of the caster, allowing him to see clearly.	SOURCEPAGE:Shb								
Compass				TYPE:Spell	SCHOOL:Divination			CLASSES:Druid=1|Ranger=2|Sorcerer=1|Wizard=1	COMPS:V, M, F/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:The caster can locate any direction he wishes with unerring accuracy.	SOURCEPAGE:Shb								
Compass Curse				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:The caster places a unique type of curse upon the target, who becomes so confused and disoriented that he is unable to find his way anywhere without assistance.	SOURCEPAGE:Shb								
Improved Water Breathing				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=4|Sorcerer=4|Wizard=4	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creatures touched.	DURATION:3 hours/level; see text	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The transmuted creature(s) can freely breathe water.	SOURCEPAGE:Shb								
Ink Cloud				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ink cloud that spreads in a 30-ft radius, 20-ft high.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:A billowing cloud of thick ink, similar to that produced by an octopus, spreads rapidly from the point the caster designates.	SOURCEPAGE:Shb								
Iron Fists				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:The character can grant a single creature (including himself) the ability to deal normal damage with his hands and feet, instead of subdual damage.	SOURCEPAGE:Shb								
Merfolk's Blessing				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=1|Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:10 minutes/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:The character may confer on a creature the supernatural ability to swim with great ease and speed.	SOURCEPAGE:Shb							TEMPBONUS:ANYPC|SKILL|Swim|10|TYPE=Circumstance	
Message in a Bottle				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Language-Dependent	CLASSES:Bard=3|Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Unlimited	TARGETAREA:One creature.	DURATION:Until discharged (destination is reached).	SAVEINFO:None	SPELLRES:No	DESC:The character can place a written message in a bottle and drop it into a body of water.	SOURCEPAGE:Shb								
Nautomancy				TYPE:Spell	SCHOOL:Evocation			CLASSES:Cleric=6|Sorcerer=6|Wizard=6	COMPS:V, S	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:See text.	DURATION:See text	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:By means of this enchantment, the caster can transfer some of his currently prepared spells to a seagoing vessel he touches.	SOURCEPAGE:Shb								
Resist Nature				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature/level.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:This spell renders the subjects virtually immune to damage from normal extremes of heat and cold.	SOURCEPAGE:Shb								
Sailor's Call				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Druid=4|Ranger=4	COMPS:V, S, DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:One summoned creature.	DURATION:1 round/level.	SAVEINFO:None	SPELLRES:No	DESC:This spell summons a single large (6 HD) porpoise that attacks any aquatic creatures within the range of the spell.	SOURCEPAGE:Shb								
