SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																							
																										
#																										
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus	
Algid Enhancement				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Cleric=6	COMPS:V, S, Coldfire	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One cold creature/level.	DURATION:4 hours	SAVEINFO:None	SPELLRES:No	DESC:Grant bonuses to creatures of the cold subtype.	SOURCEPAGE:Fro						DESC:Coldfire Component: One ounce of coldfire.			
Animate Snow				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Druid=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Up to a 20-ft. cube of snow.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Turns snow into creatures to fight for you.	SOURCEPAGE:Fro						DESC:Material Component: Meltwater from a glacier.			
Anticold Sphere				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:10-ft.-radius emanation, centered on you	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:Mobile energy field provides immunity to cold.	SOURCEPAGE:Fro									
Arctic Haze				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Druid=3|Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Fog spreads in a 30-ft. Radius, 20 ft. high	DURATION:10 minutes/level	SAVEINFO:Fortitude half	SPELLRES:No	DESC:Fog obscures vision and deals 4 cold damage/round.	SOURCEPAGE:Fro									
Aura of Cold (Greater)				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Cleric=7|Druid=7	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:10-ft.-radius spherical emanation, centered on you	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Intense cold deals 2d6 damage to creatures within 10-ft.	SOURCEPAGE:Fro									
Aura of Cold (Lesser)				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Cleric=3|Druid=3|Paladin=4|Ranger=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:5 ft.	TARGETAREA:5-ft.-radius spherical emanation, centered on you	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Intense cold deals 1d6 damage to creatures within 5-ft.	SOURCEPAGE:Fro									
Binding Snow				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Cleric=3|Druid=3|Paladin=3|Ranger=3	COMPS:V, S, DF, Frostfell	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 10-ft. square/level	DURATION:1 hour/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Snow freezes, impeding movement.	SOURCEPAGE:Fro									
Blizzard				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Druid=5	COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:100 ft.-radius/level spread	DURATION:1 round/level	SAVEINFO:Fortitude partial	SPELLRES:No	DESC:Temperature drops and powerful blizzard reduces visibility to zero.	SOURCEPAGE:Fro									
Blood Snow				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Cleric=2|Druid=2|Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft. square of snow/level	DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Area of fallen  snow drains 1d2 points of Con/round and causes nausea.	SOURCEPAGE:Fro									
Bone Chill				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.	DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:No	DESC:Corporeal undead are held by thick layer of frost.	SOURCEPAGE:Fro						DESC:Material Component: A small piece of bone and a 1-inch cube of ice.			
