SOURCELONG:Monsters of Faerun 3.0	SOURCESHORT:MCMoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:02-2001
																																
# # Subrace Traits																																
																																
###Block: Traits																																
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
#Beast of Xvim Template																																
Frightful Presence	CATEGORY:Special Ability	TYPE:BeastOfXvimRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Activated when the beast of Xvim makes a loud sound (a roar, growl, or other sound appropriate to its form), this extraordinary ability forces creatures within %2 feet with fewer Hit Dice than the beast to make a Will save (DC %1) or become frightened (see Chapter 3 of the DUNGEON MASTER's Guide). The effect lasts for 5d6 rounds. When the beast activates this power, its eyes glow bright emerald green.The save DC is Charisma-based.|FrightfulPresenceDC|FrightfulPresenceRange	KEY:Beast of Xvim ~ Frightful Presence				DEFINE:FrightfulPresenceRange|0	DEFINE:FrightfulPresenceDC|0				BONUS:VAR|FrightfulPresenceDC|DefaultDCCha	BONUS:VAR|FrightfulPresenceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frightful Presence)	BONUS:VAR|FrightfulPresenceRange|30							ABILITY:Ability Focus|AUTOMATIC|Frightful Presence									SOURCEPAGE:MCMoF
Feed	CATEGORY:Special Ability	TYPE:BeastOfXvimRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:When a beast of Xvim slays a humanoid opponent, it can feed on the corpse, devouring both flesh and life force. For every 8 HD or levels the beast consumes, it gains one Hit Die. The beast can delay this feeding for up to one day per Hit Die it has; after that time, the victim's life force is beyond its reach. Feeding destroys the victim's body and prevents any form of raising or resurrection that requires part of the corpse. A wish, miracle, or true resurrection spell can restore a devoured victim to life, but there is a 50%% chance that even such powerful magic will fail.	KEY:Beast of Xvim ~ Feed																											SOURCEPAGE:MCMoF
Smite Good	CATEGORY:Special Ability	TYPE:BeastOfXvimRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day the creature can make a normal melee attack to deal extra damage equal to its HD total (maximum of +20) against a good foe.	KEY:Beast of Xvim ~ Smite Good									BONUS:VAR|SmiteGoodDamage|min(HD,20)	BONUS:VAR|SmiteGood|1								ABILITY:Special Ability|AUTOMATIC|Smite Good									SOURCEPAGE:MCMoF
																																
#Curst Template																																
Regenerate	CATEGORY:Special Ability	TYPE:CurstRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Cursts regenerate 1 hit point per level every hour. If reduced to 0 hp, cursts are not slain. They fall to the ground, paralyzed, and lie there until they are whole again. Cursts can regrow lost limbs and organs; if decapitated, the curst's body disintegrates into dust, and the new body regenerates from the head. This process takes as many days as the curst has hit points, during which time the head remains paralyzed. Cursts can be healed by healing magics.	KEY:Curst ~ Regeneration									BONUS:VAR|RegenerationRate|1|TYPE=Racial																		SOURCEPAGE:MCMoF
																																
#Ghost Template																																
Chill Ray	CATEGORY:Special Ability	TYPE:GhostRaceTrait.GhostSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Up to twelve times per day, the ghost can attack with a ray of cold light. The ray affects a single creature within 90 feet; the ghost must make a ranged touch attack for the ray. The ray deals 2d6 points of temporary Constitution damage. In addition, the target must make a Will save (DC %1) or be affected as if by a slow spell for 1 round per each of the ghost's Hit Dice.|ChillRayDC	KEY:Ghost ~ Chill Ray				DEFINE:ChillrayDC|0					BONUS:VAR|ChillrayDC|GhostAbilityDC	BONUS:VAR|ChillrayDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Chill Ray)								ABILITY:Ability Focus|AUTOMATIC|Chill Ray									SOURCEPAGE:MCMoF
