SOURCELONG:Monsters of Faerun 3.0	SOURCESHORT:MCMoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-02
																																			
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:		
Aarakokra			STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid		MONSTERCLASS:Monstrous Humanoid:1	MOVE:Walk,20,Fly,90		NATURALATTACKS:Talon,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Aarakokra			BONUS:STAT|STR|-2	BONUS:STAT|DEX|4					MONCSKILL:TYPE.Craft|TYPE.Knowledge|Listen|Spot|Survival	CR:1/2			LEVELADJUSTMENT:2	LEGS:2	HANDS:0	SOURCEPAGE:MCMoF	KIT:1|Aarakokra Stats	
Aballin				SIZE:L	TYPE:Ooze	RACETYPE:Ooze		MONSTERCLASS:Ooze:3	MOVE:Walk,20,Swim,40		NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Aballin	DR:10/Magic and Bludgeoning		BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|4		BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-4		CR:4	KIT:1|TN	HITDICEADVANCEMENT:5,9		LEGS:0	HANDS:0	SOURCEPAGE:MCMoF	KIT:1|Aballin Stats	
Abishai (White)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Evil|Extraplanar|Lawful	MONSTERCLASS:Outsider:4	MOVE:Walk,30,Fly,40	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Tail,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abishai (White)	DR:5/Good	SR:11	BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|4		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Intimidate|Listen|Search|Spot	CR:5	KIT:1|LE	HITDICEADVANCEMENT:6	LEVELADJUSTMENT:8	LEGS:2	HANDS:2	SOURCEPAGE:MCMoF	KIT:1|Abishai (White) Stats	
Abishai (Black)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Evil|Extraplanar|Lawful	MONSTERCLASS:Outsider:5	MOVE:Walk,30,Fly,40	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Tail,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abishai (Black)	DR:5/Good	SR:12	BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|4		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Intimidate|Listen|Search|Spot	CR:5	KIT:1|LE	HITDICEADVANCEMENT:7	LEVELADJUSTMENT:6	LEGS:2	HANDS:2	SOURCEPAGE:MCMoF	KIT:1|Abishai (Black) Stats	
Abishai (Green)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Evil|Extraplanar|Lawful	MONSTERCLASS:Outsider:6	MOVE:Walk,30,Fly,40	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Tail,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abishai (Green)	DR:10/Good	SR:13	BONUS:STAT|STR|4	BONUS:STAT|DEX|6	BONUS:STAT|CON|6		BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Intimidate|Listen|Search|Spot	CR:6	KIT:1|LE	HITDICEADVANCEMENT:8	LEVELADJUSTMENT:7	LEGS:2	HANDS:2	SOURCEPAGE:MCMoF	KIT:1|Abishai (Green) Stats	
Abishai (Blue)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Evil|Extraplanar|Lawful	MONSTERCLASS:Outsider:7	MOVE:Walk,30,Fly,50	BONUS:COMBAT|AC|7|TYPE=NaturalArmor	NATURALATTACKS:Tail,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abishai (Blue)	DR:10/Good	SR:14	BONUS:STAT|STR|6	BONUS:STAT|DEX|6	BONUS:STAT|CON|6		BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Intimidate|Listen|Search|Spot	CR:7	KIT:1|LE	HITDICEADVANCEMENT:9	LEVELADJUSTMENT:8	LEGS:2	HANDS:2	SOURCEPAGE:MCMoF	KIT:1|Abishai (Blue) Stats	
Abishai (Red)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Evil|Extraplanar|Lawful	MONSTERCLASS:Outsider:8	MOVE:Walk,30,Fly,50	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Tail,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abishai (Red)	DR:10/Good	SR:17	BONUS:STAT|STR|6	BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6	MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Escape Artist|Intimidate|Listen|Search|Spot	CR:8	KIT:1|LE	HITDICEADVANCEMENT:10	LEVELADJUSTMENT:9	LEGS:2	HANDS:2	SOURCEPAGE:MCMoF	KIT:1|Abishai (Red) Stats	
Alaghi			STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid		MONSTERCLASS:Monstrous Humanoid:9	MOVE:Walk,30	BONUS:COMBAT|AC|5|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Alaghi			BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|-4			MONCSKILL:Hide|Listen|Move Silently|Spot	CR:4			LEVELADJUSTMENT:2	LEGS:2	HANDS:2	SOURCEPAGE:MCMoF	KIT:1|Alaghi Stats	
Asabi			STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Reptilian	MONSTERCLASS:Humanoid:3	MOVE:Walk,50,Burrow,20	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Asabi				BONUS:STAT|DEX|2		BONUS:STAT|INT|2	BONUS:STAT|WIS|2		MONCSKILL:Hide|Jump|Move Silently	CR:1		HITDICEADVANCEMENT:3,6	LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:MCMoF	KIT:1|Asabi Stats	
Asabi (Stingtail)			STARTFEATS:1	SIZE:L	TYPE:Monstrous Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Reptilian	MONSTERCLASS:Humanoid:7	MOVE:Walk,40,Burrow,30	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6|Tail,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d4,SPROP=Poison				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Asabi (Stingtail)			BONUS:STAT|STR|4		BONUS:STAT|CON|4	BONUS:STAT|INT|-4	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-2	MONCSKILL:Hide|Jump|Move Silently	CR:3		HITDICEADVANCEMENT:12,21	LEVELADJUSTMENT:5	LEGS:2	HANDS:2	SOURCEPAGE:MCMoF	KIT:1|Asabi (Stingtail) Stats	
