SOURCELONG:Underdark	SOURCESHORT:Und	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Race Traits ~ Deep Imaskari	CATEGORY:Internal																						ABILITY:Special Ability|AUTOMATIC|Deep Imaskari Racial Traits	ABILITY:Deep Imaskari Subrace|AUTOMATIC|Deep Imaskari ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Deep Imaskari Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Deep Imaskari Racial Traits																											SOURCEPAGE:Und	
Low-Light Vision	CATEGORY:Special Ability	TYPE:DeepImaskariRaceTrait.SpecialQuality.DeepImaskariLowLightVision	VISIBLE:YES	DESC:A deep Imaskari can see twice as far as a human in starlight, moonlight, torchlight, or similar conditions of poor illumination. She retains the ability to distinguish color and detail under these conditions.	KEY:Deep Imaskari ~ Low-Light Vision									BONUS:VAR|HasLowLightVision|1|TYPE=Base																		SOURCEPAGE:Und	
Spell Clutch	CATEGORY:Special Ability	TYPE:DeepImaskariRaceTrait.SpecialQuality.DeepImaskariSpellClutch	VISIBLE:YES	DESC:Because the deep Imaskari have studied magic for ages on end, a certain facility with magic has seeped into their blood. Once per day, a deep Imaskari can recall any 1st-level spell that she has already prepared and then cast. The spell is then prepared again, just as if it hadn't been cast.	KEY:Deep Imaskari ~ Spell CLutch																											SOURCEPAGE:Und	
Skills	CATEGORY:Special Ability	TYPE:DeepImaskariRaceTrait.SpecialQuality.DeepImaskariSkills	VISIBLE:YES	DESC:+4 bonus on Hide checks when underground: A deep Imaskari's marblelike skin helps her hide in underground terrain.	KEY:Deep Imaskari ~ Skills									BONUS:SITUATION|Hide=Underground|4|TYPE=Racial																		SOURCEPAGE:Und	
Languages	CATEGORY:Special Ability	TYPE:DeepImaskariRaceTrait.SpecialQuality.DeepImaskariLanguages	VISIBLE:YES	DESC:Common and Roushoum. Bonus Languages: Aquan, Dwarven, Elven, Terran, and Undercommon (or by character region).	KEY:Deep Imaskari ~ Languages																		TEMPLATE:Deep Imaskari ~ Common ~ Languages									SOURCEPAGE:Und	
Favored Class	CATEGORY:Special Ability	TYPE:DeepImaskariRaceTrait.SpecialQuality.DeepImaskariFavoredClass	VISIBLE:YES	DESC:Favored Class: Wizard.	KEY:Deep Imaskari ~ Favored Class																		TEMPLATE:Deep Imaskari ~ Common ~ Favored Class									SOURCEPAGE:Und	
																																	
Race Traits ~ Gloaming	CATEGORY:Internal																						ABILITY:Special Ability|AUTOMATIC|Gloaming Racial Traits	ABILITY:Gloaming Subrace|AUTOMATIC|Gloaming ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Gloaming Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Gloaming Racial Traits																											SOURCEPAGE:Und	
Light Blindness	CATEGORY:Special Ability	TYPE:GloamingRaceTrait.SpecialQuality.GloamingLightBlindness	VISIBLE:YES	DESC:Abrupt exposure to bright light (such as sunlight or a daylight spell) blinds a gloaming for 1 round. In addition, she takes a -1 circumstance penalty on all attack rolls, saves, and checks while operating in bright light. Gloamings are eligible to take the Daylight Adaptation feat from the FORGOTTEN REALMS Campaign Setting.	KEY:Gloaming ~ Light Blindness																											SOURCEPAGE:Und	
Shadow Spells	CATEGORY:Special Ability	TYPE:GloamingRaceTrait.SpecialQuality.GloamingShadowSpells	VISIBLE:YES	DESC:Gloamings have a racial predilection for shadow-based spells. They cast illusion (shadow) spells at +1 caster level.	KEY:Gloaming ~ Shadow Spells									BONUS:CASTERLEVEL|DESCRIPTOR.Shadow|1																		SOURCEPAGE:Und	
Low-Light Vision	CATEGORY:Special Ability	TYPE:GloamingRaceTrait.SpecialQuality.GloamingLowLightVision	VISIBLE:YES	DESC:A gloaming can see twice as far as a human in starlight, moonlight, torchlight, or similar conditions of poor illumination. She retains the ability to distinguish color and detail under these conditions.	KEY:Gloaming ~ Low-Light Vision									BONUS:VAR|HasLowLightVision|1|TYPE=Base																		SOURCEPAGE:Und	
Luminescence	CATEGORY:Special Ability	TYPE:GloamingRaceTrait.SpecialQuality.GloamingLuminescence	VISIBLE:YES	DESC:As a standard action, a gloaming can make her skin provide illumination equal to that produced by any light source up to and including a torch, or she can mute the glow altogether. A gloaming's luminescence lasts until she chooses to change it. When a gloaming dies, her luminescence fades to nothing over the course of 10 minutes.	KEY:Gloaming ~ Luminescence																											SOURCEPAGE:Und	
Bonus Feat	CATEGORY:Special Ability	TYPE:GloamingRaceTrait.SpecialQuality.GloamingBonusFeat	VISIBLE:YES	DESC:A gloaming has Portal Sensitive as a bonus feat.	KEY:Gloaming ~ Bonus Feat																		ABILITY:FEAT|AUTOMATIC|Portal Sensitive									SOURCEPAGE:Und	
Skills	CATEGORY:Special Ability	TYPE:GloamingRaceTrait.SpecialQuality.GloamingSkills	VISIBLE:YES	DESC:Gloaming have a +4 racial bonus on Move Silently checks.	KEY:Gloaming ~ Skills									BONUS:SKILL|Move Silently|4|TYPE=Racial																		SOURCEPAGE:Und	
Saving Throw	CATEGORY:Special Ability	TYPE:GloamingRaceTrait.SpecialQuality.GloamingSaveBonus	VISIBLE:YES	DESC:A gloaming has a +2 racial bonus on saves against illusion (shadow) spells or effects.	KEY:Gloaming ~ Saving Throw				DEFINE:GloamingSaveBonus|0					BONUS:VAR|GloamingSaveBonus|2																		SOURCEPAGE:Und	ASPECT:SaveBonus|+%1 racial bonus on saves against illusion (shadow) spells or effects.|GloamingSaveBonus
Psionic Saving Throw	CATEGORY:Special Ability	TYPE:GloamingRaceTrait.SpecialQuality.GloamingPsionicSaveBonus	VISIBLE:YES	DESC:A gloaming has a +4 racial bonus on saves against psionic abilities, such as those possessed by mind flayers or yuan-ti.	KEY:Gloaming ~ Psionic Saving Throw				DEFINE:GloamingPsionicSaveBonus|0					BONUS:VAR|GloamingPsionicSaveBonus|4																		SOURCEPAGE:Und	ASPECT:SaveBonus|+%1 racial bonus on saves against psionic abilities.|GloamingPsionicSaveBonus
Languages	CATEGORY:Special Ability	TYPE:GloamingRaceTrait.SpecialQuality.GloamingLanguages	VISIBLE:YES	DESC:Undercommon. Bonus Languages: By character region.	KEY:Gloaming ~ Languages																		TEMPLATE:Gloaming ~ Common ~ Languages									SOURCEPAGE:Und	
Favored Class	CATEGORY:Special Ability	TYPE:GloamingRaceTrait.SpecialQuality.GloamingFavoredClass	VISIBLE:YES	DESC:Favored Class: Sorcerer.	KEY:Gloaming ~ Favored Class																		TEMPLATE:Gloaming ~ Common ~ Favored Class									SOURCEPAGE:Und	
																																	
