SOURCELONG:Underdark	SOURCESHORT:Und	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ArachnomancerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Arachnomancers gain no proficiency with any weapon or armor.	KEY:Arachnomancer ~ Weapon and Armor Proficiency																										SORTKEY:Class_Arachnomancer	SOURCEPAGE:Und	
Spells per Day	CATEGORY:Special Ability	TYPE:ArachnomancerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st, 3rd, 4th, 6th, 7th, 9th, and 10th level, an arachnomancer gains new spells per day (and spells known, if applicable) as if he had also gained a level in a spellcasting class to which he belonged before adding the prestige class. He does not, however, gain any other benefit a character of that class would have gained (improved chance of turning or rebuking undead, metamagic or item creation feats, or the like). If the character had more than one spellcasting class before becoming an arachnomancer, the player must decide to which class to add each arachnomancer level for the purpose of determining spells per day, spells known, and overall caster level.	KEY:Arachnomancer ~ Spells per Day																										SORTKEY:Class_Arachnomancer	SOURCEPAGE:Und	
Poison Save Bonus	CATEGORY:Special Ability	TYPE:ArachnomancerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An arachnomancer adds his class level to all saves against poison.	KEY:Arachnomancer ~ Poison Save Bonus									BONUS:VAR|PoisonResistanceBonus|ArachnomancerLVL									ABILITY:Special Ability|AUTOMATIC|Resistance to Poison								SORTKEY:Class_Arachnomancer	SOURCEPAGE:Und	
Speak with Spiders	CATEGORY:Special Ability	TYPE:ArachnomancerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The arachnomancer can communicate with any spiderkind creature (see sidebar Und p.30) as a free action. Mindless creatures can communicate and understand only extremely simple concepts (one word at best), but they generally don't try to eat someone who communicates with them.	KEY:Arachnomancer ~ Speak with Spiders																										SORTKEY:Class_Arachnomancer	SOURCEPAGE:Und	
Spider Magic	CATEGORY:Special Ability	TYPE:ArachnomancerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Add the following spells to the character's spell list (or to each spell list, if he has more than one): 0-stick4; 1st-summon Small monstrous spider1; 2nd-spiderskin4, summon Medium monstrous spider1; 3rd-neutralize poison, poison, summon Large monstrous spider1; 4th-giant vermin (spiders only), repel vermin, summon Huge monstrous spider1; 5th- spider plague2; 6th-summon Gargantuan monstrous spider1; 7th-spider shapes3; 8th-summon Colossal monstrous spider1; 9th-shapechange (into spider or spiderkind creature only; see sidebar on page 30). Spider magic spells are added to the character's class lists of available spells, so that he may choose them whenever he has the opportunity to acquire new spells of the appropriate level. He does not automatically learn them (in the case of a spellcaster who keeps spellbooks) or know them (in the case of a spellcaster who does not keep spellbooks).	KEY:Arachnomancer ~ Spider Magic																		SPELLLEVEL:CLASS|SPELLCASTER.Arcane=0|Stick|SPELLCASTER.Arcane=1|Summon Monstrous Spiders ~ Small|SPELLCASTER.Arcane=2|Spiderskin,Summon Monstrous Spiders ~ Medium|SPELLCASTER.Arcane=3|Neutralize Poison,Poison,Summon Monstrous Spiders ~ Large|SPELLCASTER.Arcane=4|Giant Vermin ~ Spiders only,Repel Vermin,Summon Monstrous Spiders ~ Huge|SPELLCASTER.Arcane=5|Spider Plague|SPELLCASTER.Arcane=6|Summon Monstrous Spiders ~ Gargantuan|SPELLCASTER.Arcane=7|Spider Shapes|SPELLCASTER.Arcane=8|Summon Monstrous Spiders ~ Colossal|SPELLCASTER.Arcane=9|Shapechange ~ Spiders and spiderkin only	SPELLLEVEL:CLASS|SPELLCASTER.Divine=0|Stick|SPELLCASTER.Divine=1|Summon Monstrous Spiders ~ Small|SPELLCASTER.Divine=2|Spiderskin,Summon Monstrous Spiders ~ Medium|SPELLCASTER.Divine=3|Neutralize Poison,Poison,Summon Monstrous Spiders ~ Large|SPELLCASTER.Divine=4|Giant Vermin ~ Spiders only,Repel Vermin,Summon Monstrous Spiders ~ Huge|SPELLCASTER.Divine=5|Spider Plague|SPELLCASTER.Divine=6|Summon Monstrous Spiders ~ Gargantuan|SPELLCASTER.Divine=7|Spider Shapes|SPELLCASTER.Divine=8|Summon Monstrous Spiders ~ Colossal|SPELLCASTER.Divine=9|Shapechange ~ Spiders and spiderkin only							SORTKEY:Class_Arachnomancer	SOURCEPAGE:Und	
Spiderform	CATEGORY:Special Ability	TYPE:ArachnomancerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 2nd level, an arachnomancer may transform himself into a Small, Medium, or Large monstrous spider three times per day. At 5th level, he can also take the form of a Tiny or Huge monstrous spider, and at 8th level, he can take the form of a Gargantuan monstrous spider. This ability functions like polymorph, except that the indicated forms are the only ones available and the duration of the change is up to 10 minutes per arachnomancer level. Resuming normal form requires a standard action but does not provoke an attack of opportunity.	KEY:Arachnomancer ~ Spiderform																										SORTKEY:Class_Arachnomancer	SOURCEPAGE:Und	
Poison Touch	CATEGORY:Special Ability	TYPE:ArachnomancerClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The arachnomancer can secrete poison as a free action. When he first gains this ability at 3rd level, his touch deals 1d4 points of Strength damage. The damage increases to 1d6 points at 6th level and to 1d8 points at 9th level. In each case, a successful Fortitude save (DC 10 + arachnomancer level + arachnomancer's Con modifier) halves the damage, to a minimum of 1 point. The arachnomancer's poison cannot be harvested or saved for any purpose.	KEY:Arachnomancer ~ Poison Touch																										SORTKEY:Class_Arachnomancer	SOURCEPAGE:Und	
Command Spiders	CATEGORY:Special Ability	TYPE:ArachnomancerClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 4th level, an arachnomancer gains the ability to compel any spider or spiderkind creature (see sidebar) in the same way that an evil cleric can rebuke or command undead. The arachnomancer can attempt to command spiders a number of times per day equal to 3 + his Charisma modifier. He is treated as a cleric of a level equal to his character level (not arachnomancer level) for the purpose of turning checks and turning damage.	KEY:Arachnomancer ~ Command Spiders									BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|TL|TYPE=Level.REPLACE									ABILITY:Special Ability|AUTOMATIC|Basic Turning|Rebuke Spider								SORTKEY:Class_Arachnomancer	SOURCEPAGE:Und	
Webwalking	CATEGORY:Special Ability	TYPE:ArachnomancerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 5th level, an arachnomancer can ignore webs (magical or nonmagical) as if affected by a freedom of movement spell. He can climb webs at his normal land speed without needing to make a Climb check and walk along webs without needing to make a Balance check.	KEY:Arachnomancer ~ Webwalking																										SORTKEY:Class_Arachnomancer	SOURCEPAGE:Und	
Wall of Webs	CATEGORY:Special Ability	TYPE:ArachnomancerClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:At 7th level, an arachnomancer gains the ability to create a wall-like barrier of webs once per day. Unlike the webs produced by the web spell, those in the wall of webs are resistant to fire and as tough as steel. A wall of webs functions like the wall of iron spell (caster level equals arachnomancer level), except that an arachnomancer can use his webwalking ability to move through the wall unhindered, and any other creature can use freedom of movement to do the same.	KEY:Arachnomancer ~ Wall of Webs																		SPELLS:Innate|TIMES=1|CASTERLEVEL=ArachnomancerLVL|Wall of Webs								SORTKEY:Class_Arachnomancer	SOURCEPAGE:Und	
Spider Blast	CATEGORY:Special Ability	TYPE:ArachnomancerClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a 10th-level arachnomancer can produce a 50-footlong, cone-shaped blast of extremely poisonous, normalsized spiders. Every creature within the area of the blast takes 5d4 points of damage and must make 1d4 Fortitude saves against poison (DC %1 ,10 + arachnomancer level + arachnomancer's Con modifier; 1d6 points of Strength damage for both initial and secondary damage). Each creature is also allowed a Reflex save at the same DC for partial effect: Success means the victim takes half damage and need make only one Fortitude savin|SpiderBlastDCg throw against poison (though the second saving throw normally required against a poison's secondary effect still applies). The spiders fade away at the end of the arachnomancer's turn.|SpiderBlastDC	KEY:Arachnomancer ~ Spider Blast				DEFINE:SpiderBlastDC|0					BONUS:VAR|SpiderBlastDC|DefaultDCCon	BONUS:VAR|SpiderBlastDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Spider Blast)								ABILITY:Ability Focus|AUTOMATIC|Spider Blast								SORTKEY:Class_Arachnomancer	SOURCEPAGE:Und	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:CavelordClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Cavelords are proficient with all simple and martial weapons, with all types of armor, and with all types of shields except tower shields.	KEY:Cavelord ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Cavelord	SOURCEPAGE:Und	
Tunnelrunner	CATEGORY:Special Ability	TYPE:CavelordClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, a cavelord gains Tunnelrunner (see Chapter 2: Regions and Feats) as a bonus feat.	KEY:Cavelord ~ Tunnelrunner																		ABILITY:FEAT|AUTOMATIC|Tunnelrunner								SORTKEY:Class_Cavelord	SOURCEPAGE:Und	
Cave Tracker	CATEGORY:Special Ability	TYPE:CavelordClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 2nd level, a cavelord can move at normal speed while following tracks without taking the normal -5 penalty on the Survival check, as long as those tracks are confined to a cave or tunnel environment.	KEY:Cavelord ~ Cave Tracker																										SORTKEY:Class_Cavelord	SOURCEPAGE:Und	
Lesser Cavesense	CATEGORY:Special Ability	TYPE:CavelordClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Gifted with a mystical connection to the Underdark, the cavelord gains a superior form of darkvision with a 120-foot range when he reaches 2nd level. He also gains a +4 competence bonus on any Listen checks made in a subterranean setting.	KEY:Cavelord ~ Lesser Cavesense									BONUS:VAR|DarkvisionRange|120|TYPE=Base																	SORTKEY:Class_Cavelord	SOURCEPAGE:Und	
