SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2024-08																																																																																																																																																																																																																
																																																																																																																																																																																																																			
###Block:																																																																																																																																																																																																																			
# Ability Name			Define							Ability															Bonus Ability Pool									Modify VAR																																																																																																																																																																																	
CATEGORY=Internal|Default.MOD	DEFINE:Proficiency_Bonus|0																																																																																																																																																																																																																		
																																																																																																																																																																																																																			
CATEGORY=Internal|Default.MOD	ABILITY:Internal|AUTOMATIC|First Level Proficiencies|PREPCLEVEL:MIN=1																																																																																																																																																																																																																		
CATEGORY=Internal|Default.MOD	ABILITY:Internal|AUTOMATIC|AC Tracker	DEFINE:DisableDexForAC|0	DEFINE:AC_ArmorDisabled|0	DEFINE:AC_ShieldDisabled|0	DEFINE:Use_AC_Output|0	DEFINE:POOL_Expertise|0																																																																																																																																																																																																													
																																																																																																																																																																																																																			
CATEGORY=Internal|Default.MOD	ABILITY:Special Ability|AUTOMATIC|Spellcaster Spell Slots|PREVARGTEQ:SpellCasterClassCount,1																																																																																																																																																																																																																		
CATEGORY=Internal|Default.MOD	ABILITY:Special Ability|AUTOMATIC|Passive Perception																																																																																																																																																																																																																		
CATEGORY=Internal|Default.MOD	ABILITY:SkillExport|AUTOMATIC|TYPE=SkillExport																																																																																																																																																																																																																		
																																																																																																																																																																																																																			
CATEGORY=Internal|Default.MOD	BONUS:VAR|Proficiency_Bonus|(TL+7)/4|TYPE=Base|!PRECLASS:1,Hit Die=1|!PREFACT:1,ABILITIES,NoProfBonus=True																																																																																																																																																																																																																		
																																																																																																																																																																																																																			
CATEGORY=Internal|Default.MOD	ABILITY:Internal|AUTOMATIC|Background|!PRECLASS:1,Hit Die=1																																																																																																																																																																																																																		
Background		CATEGORY:Internal	DEFINE:POOL_Background|0	BONUS:VAR|POOL_Background|1																																																																																																																																																																																																															
																																																																																																																																																																																																																			
###Block																																																																																																																																																																																																																			
Blindsight	CATEGORY:Special Ability	DESC:A creature with blindsight can perceive its surroundings without relying on sight, within a specific radius. Creatures without eyes, such as oozes, and creatures with echolocation or heightened senses, such as bats and true dragons, have this sense.	VISION:Blindsight (BlindsightRange)																																																																																																																																																																																																																
Darkvision	CATEGORY:Special Ability	DESC:Many creatures in the worlds of D&D, especially those that dwell underground, have darkvision. Within a specified range, a creature with darkvision can see in darkness as if the darkness were dim light, so areas of darkness are only lightly obscured as far as that creature is concerned. However, the creature can't discern color in darkness, only shades of gray.	VISION:Darkvision (DarkvisionRange)																																																																																																																																																																																																																
Truesight	CATEGORY:Special Ability	DESC:A creature with truesight can, out to a specific range, see in normal and magical darkness, see invisible creatures and objects, automatically detect visual illusions and succeed on saving throws against them, and perceive the original form of a shapechanger or a creature that is transformed by magic. Furthermore, the creature can see into the Ethereal Plane.	VISION:Truesight (TruesightRange)																																																																																																																																																																																																																
Passive Perception	CATEGORY:Special Ability	DEFINE:Passive_Perception|0	BONUS:VAR|Passive_Perception|10+WIS+SkillProf_Perception	ASPECT:SkillBonus|Passive Perception is %1|Passive_Perception																																																																																																																																																																																																															
																																																																																																																																																																																																																			
###Block: Spell																																																																																																																																																																																																																			
Spellcaster Spell Slots	CATEGORY:Special Ability	TYPE:SpecialQuality		DESC:1st = %1, 2nd = %2, 3rd = %3, 4th = %4, 5th = %5, 6th = %6, 7th = %7, 8th = %8, 9th = %9|SpellSlotsLVL1|SpellSlotsLVL2|SpellSlotsLVL3|SpellSlotsLVL4|SpellSlotsLVL5|SpellSlotsLVL6|SpellSlotsLVL7|SpellSlotsLVL8|SpellSlotsLVL9	KEY:Spellcaster Spell Slots	DEFINE:SpellSlotsLVL1|0	DEFINE:SpellSlotsLVL2|0	DEFINE:SpellSlotsLVL3|0	DEFINE:SpellSlotsLVL4|0	DEFINE:SpellSlotsLVL5|0	DEFINE:SpellSlotsLVL6|0	DEFINE:SpellSlotsLVL7|0	DEFINE:SpellSlotsLVL8|0	DEFINE:SpellSlotsLVL9|0	ABILITY:Internal|AUTOMATIC|Caster Spell Slots ~ Full|PREMULT:1,[PRECLASS:1,Wizard=1,Sorcerer=1,Druid=1,Cleric=1,Bard=1],[PREVARGTEQ:SpellCasterClassCount,2],[PREVARGTEQ:SpellCasterFull,1]	ABILITY:Internal|AUTOMATIC|Caster Spell Slots ~ Moderate|PREMULT:2,[PRECLASS:1,Paladin,Ranger],[PREVAREQ:SpellCasterClassCount,1],[PREVARGTEQ:SpellCasterModerate,1]	ABILITY:Internal|AUTOMATIC|Caster Spell Slots ~ Limited|PREMULT:2,[PREABILITY:1,CATEGORY=Special Ability,Eldritch Knight ~ Spellcasting,Arcane Trickster ~ Spellcasting],[PREVAREQ:SpellCasterClassCount,1]	ASPECT:NAME|Spellcaster Spell Slots|PREVAREQ:SpellCasterClassCount,1	ASPECT:NAME|Multiclass Spellcaster Spell Slots|PREVARGTEQ:SpellCasterClassCount,2	SORTKEY:0_1																																																																																																																																																																																															
																																																																																																																																																																																																																			
