SOURCELONG:Forgotten Realms Campaign Setting 3.0	SOURCESHORT:FRCS30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:06-2001
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
###Block: Race Traits																																	
# Race Traits (assigned by race)																																	
Race Traits ~ Air Genasi	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Air Genasi Racial Traits	ABILITY:Air Genasi Subrace|AUTOMATIC|Air Genasi ~ Air Genasi|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Earth Genasi	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Earth Genasi Racial Traits	ABILITY:Earth Genasi Subrace|AUTOMATIC|Earth Genasi ~ Earth Genasi|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Fire Genasi	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Fire Genasi Racial Traits	ABILITY:Fire Genasi Subrace|AUTOMATIC|Fire Genasi ~ Fire Genasi|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Water Genasi	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Water Genasi Racial Traits	ABILITY:Water Genasi Subrace|AUTOMATIC|Water Genasi ~ Water Genasi|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
																																	
###Block: Racial Assigned (assigned by race trait)																																	
Air Genasi Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Air Genasi Racial Traits																												
Earth Genasi Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Earth Genasi Racial Traits																												
Fire Genasi Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Fire Genasi Racial Traits																												
Water Genasi Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Water Genasi Racial Traits																												
																																	
# # Subrace Traits																																	
																																	
###Block: Traits																																	
Languages	CATEGORY:Special Ability	TYPE:HumanRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Common, home region. Bonus Languages: Any (other than secret languages, such as Druidic).	KEY:Faerunian Human ~ Languages																		TEMPLATE:Human ~ Faerunian ~ Languages									SOURCEPAGE:FRCS30	
Combat Bonus	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus to attack rolls against aberrations: Gold dwwarves are trained in special combat techniques against the many bizarre creatures that live in the Underdark.|DwarfCombatBonus	KEY:Gold (FR) Dwarf ~ Combat Bonus				DEFINE:DwarfCombatBonus|0					BONUS:VAR|DwarfCombatBonus|1																		SOURCEPAGE:FRCS30	ASPECT:CombatBonus|+%1 racial bonus on attack rolls against aberrations|DwarfCombatBonus
Languages	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Dwarven,Common, home region. Bonus Languages: Giant, Gnome, Goblin, Shaaran, Terran, Untheric.	KEY:Gold (FR) Dwarf ~ Languages																		TEMPLATE:Dwarf ~ Gold (FR) ~ Languages									SOURCEPAGE:FRCS30	
Darkvision	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Darkvision up to 120 feet.	KEY:Gray Dwarf ~ Darkvision									BONUS:VAR|DarkvisionRange|120|TYPE=Racial																		SOURCEPAGE:FRCS30	
Immunities	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Immune to paralysis, phantas, and magic or alchemical poisons (but not notmal poisons). Duergar acquired immunity to some illusions and many toxic substances during thei servitude to mind flayers.	KEY:Gray Dwarf ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity to Paralysis|Immunity to Phantasm|Immunity to Poison									SOURCEPAGE:FRCS30	
Move Silently Skill Bonus	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Move Silently checks. Gray dwarves excel in stealty movement|DwarfMoveSilentlySkillBonus	KEY:Gray Dwarf ~ Move Silently Skill Bonus				DEFINE:DwarfMoveSilentlySkillBonus|0					BONUS:VAR|DwarfMoveSilentlySkillBonus|4|TYPE=Racial	BONUS:SKILL|Move Silently|DwarfMoveSilentlySkillBonus|TYPE=Racial																	SOURCEPAGE:FRCS30	ASPECT:SkillBonus|+%1 racial bonus on Move Silently checks.|DwarfMoveSilentlySkillBonus
Listen Skill Bonus	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Listen checks.|DwarfListenSkillBonus	KEY:Gray Dwarf ~ Listen Skill Bonus				DEFINE:DwarfListenSkillBonus|0					BONUS:VAR|DwarfListenSkillBonus|1|TYPE=Racial	BONUS:SKILL|Listen|DwarfListenSkillBonus|TYPE=Racial																	SOURCEPAGE:FRCS30	ASPECT:SkillBonus|+%1 racial bonus on Listen checks.|DwarfListenSkillBonus
Spot Skill Bonus	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Spot checks.|DwarfSpotSkillBonus	KEY:Gray Dwarf ~ Spot Skill Bonus				DEFINE:DwarfSpotSkillBonus|0					BONUS:VAR|DwarfSpotSkillBonus|1|TYPE=Racial	BONUS:SKILL|Spot|DwarfSpotSkillBonus|TYPE=Racial																	SOURCEPAGE:FRCS30	ASPECT:SkillBonus|+%1 racial bonus on Spot checks.|DwarfSpotSkillBonus
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:1/day-enlarge and invisibility as a wizard twice the duergar's level (minimum 3rd). These effects nly the duergar and whatever it carries.	KEY:Gray Dwarf ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=max(3,TL*2)|Enlarge|Invisibility									SOURCEPAGE:FRCS30	
Light Sensitivity	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Duergar suffer a -2 circumstance penalty to attack rolls, saves and checks in bright sunlight or within the radius od a daylight spell.	KEY:Gray Dwarf ~ Light Sensitivity																											SOURCEPAGE:FRCS30	
Languages	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Dwarven,Undercommon, home region. Bonus Languages: Common, Draconic, Giant, Goblin, Orc, Terran	KEY:Gray Dwarf ~ Languages																		TEMPLATE:Dwarf ~ Gray ~ Languages									SOURCEPAGE:FRCS30	
Languages	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Dwarven,Common, home region. Bonus Languages: Chondathan, Draconic, Giant, Goblin, Illuskan, Orc	KEY:Shield Dwarf ~ Languages																		TEMPLATE:Dwarf ~ Shield ~ Languages									SOURCEPAGE:FRCS30	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:ElfRaceTrait.RaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:1/day-dancing light, darkess and faerie fire.these abilities are as the spells cast by a sorcerer of the drow's character level.	KEY:Drow (FR) Elf ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Dancing Light|Darkness|Faerie Fire									SOURCEPAGE:FRCS30	
Darkvision	CATEGORY:Special Ability	TYPE:ElfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Darkvision up to 120 feet.	KEY:Drow (FR) Elf ~ Darkvision									BONUS:VAR|DarkvisionRange|120|TYPE=Racial																		SOURCEPAGE:FRCS30	
Favored Class	CATEGORY:Special Ability	TYPE:ElfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Wizard (male) or cleric (female).	KEY:Drow (FR) Elf ~ Favored Class																		TEMPLATE:Elf ~ Drow (FR) ~ Favored Class									SOURCEPAGE:FRCS30	
Light Blindness	CATEGORY:Special Ability	TYPE:ElfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Abrupt exposure to bright light (such as sunlight or a daylight spell) blinds drow for 1 round. In addition, drow suffer a -1 circumstance penalty to all attack rolls, saves and checks while operating in bright light.	KEY:Drow (FR) Elf ~ Light Blindness																											SOURCEPAGE:FRCS30	
Spell Resistance	CATEGORY:Special Ability	TYPE:ElfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Spell resistance equal to 11 + character level.	KEY:Drow (FR) Elf ~ Spell Resistance				DEFINE:DrowElfSR|0					BONUS:VAR|DrowElfSR|11+(TL-HD)									SR:DrowElfSR									SOURCEPAGE:FRCS30	
Spell Saving Throw	CATEGORY:Special Ability	TYPE:ElfRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Will saves against spells and spell-like abilities.|ElfDrowSpellSaveBonus	KEY:Drow (SR) Elf ~ Spell Saving Throw				DEFINE:ElfDrowSpellSaveBonus|0					BONUS:VAR|ElfDrowSpellSaveBonus|2|TYPE=Racial																		SOURCEPAGE:FRCS30	ASPECT:SaveBonus|+%1 racial bonus on saving Will save against spells and spell-like abilities|ElfDrowSpellSaveBonus
Languages	CATEGORY:Special Ability	TYPE:ElfRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Elven, Undercommon. Bonus Languages: Abyssal, Common, Draconic, Drow Sign, Goblin, Illuskan	KEY:Drow (FR) Elf ~ Languages																		TEMPLATE:Elf ~ Drow (FR) ~ Languages									SOURCEPAGE:FRCS30	
