SOURCELONG:Seas of Blood	SOURCESHORT:SoB	SOURCEWEB:http://www.mongoosepublishing.com/																														
#																																
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Sea Druid	CATEGORY:ACF	TYPE:AlternateClass	VISIBLE:YES	DESC:Druid that lives near the seas.		PRECLASS:1,Druid=1																	ABILITY:Alternate Class Feature|AUTOMATIC|Sea Druid ~ Bonus Languages|Sea Druid ~ Nature Sense|PREVARGTEQ:DruidLVL,1	ABILITY:Alternate Class Feature|AUTOMATIC|Sea Druid ~ Speed of the Fish|PREVARGTEQ:DruidLVL,2	ABILITY:Alternate Class Feature|AUTOMATIC|Sea Druid ~ Salt Synthesis|PREVARGTEQ:DruidLVL,3					COST:0		SOURCEPAGE:SoB
Bonus Languages	CATEGORY:ACF	TYPE:ACF.DruidBonusLanguages.SpecialQuality	VISIBLE:YES	DESC:Instead of Sylvan a Sea Druid take Aquan, the tongue of the deep sea.	KEY:Sea Druid ~ Bonus Languages	PREABILITY:1,CATEGORY=ACF,TYPE.AlternateClass,Sea Druid																	TEMPLATE:Sea Druid ~ Bonus Languages								SORTKEY:Class_Sea_Druid	SOURCEPAGE:SoB
Nature Sense	CATEGORY:ACF	TYPE:ACF.DruidNatureSense.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A druid gains a +2 bonus on Knowledge (nature) and Survival checks but only aquatic. However, he also gains the ability to predict the weather for a number of days in advance equal to his class level divided by two, rounding down (%1). The DM may simply relate, in broad descriptions, for the next few days (eg. 'overcast, strong winds','raging storms', etc).	KEY:Sea Druid ~ Nature Sense	PREABILITY:1,CATEGORY=ACF,TYPE.AlternateClass,Sea Druid								BONUS:SKILL|Knowledge (Nature),Survival|2																	SORTKEY:Class_Sea_Druid	SOURCEPAGE:SoB
Speed of the Fish	CATEGORY:ACF	TYPE:ACF.DruidWoodlandStride.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 2nd level, the sea druid receives Speed of the Fish. He may now swim through the water at twice his normal swimming rate. This is adjusted as normal if the sea druid is encumbered.	KEY:Sea Druid ~ Speed of the Fish	PREABILITY:1,CATEGORY=ACF,TYPE.AlternateClass,Sea Druid																									SORTKEY:Class_Sea_Druid	SOURCEPAGE:SoB
Salt Synthesis	CATEGORY:ACF	TYPE:ACF.DruidTracklessStep.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 3rd level, a druid leaves no trail in natural surroundings and cannot be tracked. She may choose to leave a trail if so desired.	KEY:Sea Druid ~ Salt Synthesis	PREABILITY:1,CATEGORY=ACF,TYPE.AlternateClass,Sea Druid																									SORTKEY:Class_Sea_Druid	SOURCEPAGE:SoB
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SailorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The sailor is proficient in the use of all simple and martial weapons, and in light and medium armor. He is not proficient in the use of shiedlds. Note that the armor check penalties for armor heavier than leather apply to the skills Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Sleight of Hand and Tumble and that carrying heavy gear imposes a penalty on Swim checks.	KEY:Sailor ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium							SORTKEY:Class_Sailor	SOURCEPAGE:SoB
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The buccaneer is proficient in all simple and martial weapons, and light and medium armor, but not the shields. Note that the armor check penalties for armor heavier than leather apply to the skills Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Sleight of Hand and Tumble.	KEY:Buccaneer ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium							SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Shipboard Climbing	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:at 1st level, a buccaneer may add a +2 competence bonus to all Climb checks when on board ship. This includes climbing up the outside hull of a boat, as well as msats and rigging.	KEY:Buccaneer ~ Shipboard Climbing									BONUS:SITUATION|Climb=On board ship|2|TYPE=Competence																	SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Up Close and Personal	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Buccaneers are skilled at the close quarter fighting involved in all boarding actions. When fighting with two small size weapons, the penalties for fighting with two weapons is reduces by a further -2 as soon as the buccaneer achieves 2nd level.	KEY:Buccaneer ~ Up Close and Personal									BONUS:COMBAT|TOHIT-PRIMARY|2|PREMULT:2,[PREEQUIPPRIMARY:1,WIELDCATEGORY=Light],[PREEQUIPSECONDARY:1,WIELDCATEGORY=Light]	BONUS:COMBAT|TOHIT-SECONDARY|2|PREMULT:2,[PREEQUIPPRIMARY:1,WIELDCATEGORY=Light],[PREEQUIPSECONDARY:1,WIELDCATEGORY=Light]																SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Witty Repartee	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:When engaged in melee combat, the buccaneer keeps up a steady stream of banter that can soon infuriate an unbalanced opponent. From 3rd level onwards, the buccaneer may use his witty repartee class feature in conjunction with a full attack combat option. Both he and one opponent make opposed Will checks, with the buccaneer using his class level as a bonus modifier. If the buccaneer is successful, his opponent suffers a -2 morale penalty to all attacks rolls until the start of the buccaneer's next round.	KEY:Buccaneer ~ Witty Repartee																										SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
