SOURCELONG:Seas of Blood	SOURCESHORT:SoB	SOURCEWEB:http://www.mongoosepublishing.com/																							
#																									
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus
Control Currents				TYPE:Spell	SCHOOL:Conjuration			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:One ship touched.	DURATION:1 day	SAVEINFO:None	SPELLRES:No	DESC:Drawing magical forces around the vessel you touch, you are able to guide sea currents to literally draw the ship alonf at far greater speeds than normal.	SOURCEPAGE:SoB								
Curse Ship				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=7	COMPS:V, S, DF	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:One ship touched.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Calling upon the mighty power of your deity, you curse the ship of an enemy, dooming both it and its crew to a lifetime of misery and death.	SOURCEPAGE:SoB								
Delay Sinking				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One ship touched.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:Yes	DESC:By calling upon powerful arcane forces, you are able to call up invisible barriers of magical force that effectively plug holes in the hulls of sinking ships for a short period of time. Material Component: A small amount of tar.	SOURCEPAGE:SoB								
Distil Water				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=2|Cleric=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:20-ft radius spread.	DURATION:Instantaneous	SAVEINFO:Fortitude halves	SPELLRES:No	DESC:You are able to remove the slt from seawater, transforming it into fresh drinking water.	SOURCEPAGE:SoB								
Enchant Ram				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=6|Sorcerer=6|Wizard=6	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One ship touched.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Enchant Ram gives a ship's ram a +1 enhancement bonus to attack and damage rolls. Focus: the ship's ram.	SOURCEPAGE:SoB								
Fastroke				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Druid=2|Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature touched.	DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Fastroke permits a subject to slip through the water at great speed, at almost unbelievable rates. Material Component: a pinch of fish scales.	SOURCEPAGE:SoB								
Hold Ship				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:One ship.	DURATION:Concentration	SAVEINFO:None	SPELLRES:Yes	DESC:A spell much valued by captains who may employ you, hold ship allows you to halt another vessel in its trackjs, holding it immobile irrespective of winds, currents and the efforts of its crew. Material Component: a small metal anchor.	SOURCEPAGE:SoB								
Murk & Gloom				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=1|Druid=1|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft/level readius sphere.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You are able to call forth sand and sediment, and cause an area of water to ecome dark and gloomy, greatly effecting visibility in the area. Material Component: a handful of dirt.	SOURCEPAGE:SoB								
Pacify Storm				TYPE:Spell	SCHOOL:Conjuration			CLASSES:Cleric=4|Druid=3|Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 minute	RANGE:1 mile	TARGETAREA:1 mile centered on the ship touched.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:You are able to harness the magical energies required to calm the most powerful of storms, enabling the ships you sail in to speed sagely through raging tempests. Material Component: one pint of rain water.	SOURCEPAGE:SoB								
Predict Weather				TYPE:Spell	SCHOOL:Divination			CLASSES:Cleric=1|Druid=0|Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 minute	RANGE:Personal	TARGETAREA:1 mile/level sround you.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:By casting this spell, you are able to predict the future weather within its radius of effect.	SOURCEPAGE:SoB								
Protection from Water				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Object touched.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Highly prized amongs the wizards, this spell allows you to completely protect any inanimate object of up to two cubic feet from water. Focus: object to be protected.	SOURCEPAGE:SoB								
Raise Death Hulk				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, M, F, XP	CASTTIME:1 hour	RANGE:Long	TARGETAREA:One sunken ship.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:One of the most awesome feats any necromancer can hope to perform is the raising of a sunken ship from sea floor, complete with undead crew, to be brought to the surface under the total control of the practitioner. Focus: One sunken ship. Material Component: The corpse of a sea captain. The corpse is consumed in the casting. XP Cost: 1,000 XP.	SOURCEPAGE:SoB			XPCOST:1000					
Repair Ship				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2|Druid=2|Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:One ship touched.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Through the use of this spell, you are able to knit together smashed timbers and ripped sails, restoring a ship a small way to its original seaworthiness. Material Component: a small piece of timber.	SOURCEPAGE:SoB								
Repel Water				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=1|Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creatures touched.	DURATION:2 hours/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You are able to keep a number of subject completely dry when immersed in water.	SOURCEPAGE:SoB								
Resist Pressure				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Druid=1|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:By calling upon protective magics and sorcerous barriers, any subject you touch will be resistant to the huge pressure water can exert at great depths. Material Component: a small live shellfish.	SOURCEPAGE:SoB								
Seavision				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2|Druid=1|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature touched.	DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Any subject you touch will have thei vision completely unaffected by being underwater. Material Component: a pair of fish eyes.	SOURCEPAGE:SoB								
Shellskin				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature touched.	DURATION:10 minutes/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Invoking the powerful druidic magicks, you cause the skin of the subject to become hard and extremely durable, giving it a thick texture reminiscent of sea shells.	SOURCEPAGE:SoB								
Skyship				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, F	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:One ship touched.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:Yes	DESC:Through the use of this spell, you are able to draw upon incredible magical energies to raise a vessel clear above the water to become one of the legendary skyships for a short period of time. Focus: ship of small size or larger.	SOURCEPAGE:SoB								
Teleport Ship				TYPE:Spell	SCHOOL:Transmutation	SUBSCHOOL:Teleportation		CLASSES:Sorcerer=9|Wizard=9	COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One ship touched.	DURATION:Instantaneous	SAVEINFO:none and Will negates (object)	SPELLRES:No and Yes	DESC:This spell instantly teleports a ship and all its crew and cargo to a designated destination.	SOURCEPAGE:SoB								
Tsunami				TYPE:Spell	SCHOOL:Evocation			CLASSES:Cleric=8|Druid=7|Sorcerer=8|Wizard=8	COMPS:V, S	CASTTIME:1 minute	RANGE:Long	TARGETAREA:Tsunami 10-ft/level high, 50-ft/level wide.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Harnessing the awesome power of the oceas, you cause a great tsunami, a massive and destructive wave, to rise up and destroy all in its path.	SOURCEPAGE:SoB								
Whirlpool				TYPE:Spell	SCHOOL:Evocation			CLASSES:Druid=9	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Whirlpool 60-ft wide, 300-ft deep.	DURATION:1 round/level	SAVEINFO:Reflex negates (see text)	SPELLRES:Yes	DESC:You are able to create a powerful whirlpool in any large body of water with thisp spell, moving it at will at a speed of 60-ft/round.	SOURCEPAGE:SoB								
Water Crush				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Druid=2|Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature or object.	DURATION:1 round/level	SAVEINFO:Fortitude halves	SPELLRES:Yes	DESC:You are able to compress the water around a subject greatly increasing its effective pressure and potentially crushing the subject to death. Material Component: tentacle of a deep sea squid.	SOURCEPAGE:SoB								
																									
