SOURCELONG:Seas of Blood	SOURCESHORT:SoB	SOURCEWEB:http://www.mongoosepublishing.com/
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
# CATEGORY=Internal|Default.MOD									DEFINE:NoTypeTraits|0	DEFINE:AdvancementByClass|0																						
# CATEGORY=Internal|Creature Type.MOD									DEFINE:RaceNaturalWeaponAlign|0					BONUS:VAR|RaceNaturalWeaponAlign|1|PREABILITY:1,CATEGORY=Special Ability,TYPE.Natural Weapons																		
																																
###Block: Race Traits																																
																																
###Block: Subtype Traits																																
# Elements																																
																																
# Alignments																																
																																
# Racial																																
																																
# Race Groups Subtype																																
																																
# Race Groups																																
																																
###Block: Specific Race Traits																																
Race Traits ~ Fideal	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=FidealRaceTrait																													
Damage Reduction	CATEGORY:Special Ability	TYPE:FidealRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Whilst they remain in the water, the fideal have Damage Resistance 5/Magic. This ability is lost when they leave the water.	KEY:Fideal ~ Damage Reduction																											SOURCEPAGE:SoB
Enthralling Gaze	CATEGORY:Special Ability	TYPE:FidealRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any creature that meets the gaze of the fideal must make a Will save (DC %1) or be paralysed for 1d4 rounds. Whether or not the save is successful, the subject may not be affected any further enthralling gaze for one day.|EnthrallingGazeDC	KEY:Fideal ~ Enthralling Gaze				DEFINE:EnthrallingGazeDC|0					BONUS:VAR|EnthrallingGazeDC|DefaultDCCha	BONUS:VAR|EnthrallingGazeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Enthralling Gaze)								ABILITY:Ability Focus|AUTOMATIC|Enthralling Gaze									SOURCEPAGE:SoB
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:FidealRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Fideal ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=HD|Dominate Person,10+CHA									SOURCEPAGE:SoB
Tendrils	CATEGORY:Special Ability	TYPE:FidealRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If the fideal make a successful grappling attack, their tendrils inflict 1d6+2 points of crushing damage. In addition, fideal may work together to halt the movement of boats and ships. The amount of fideal required to halt a vessel of any given size is Tiny:1, Small:5, Medium:10, Large:25, Huge:50, Gargantuan:100, Colossal:200. The only way to free a vessel from the fideal is to slay them.	KEY:Fideal ~ Tendrils																											SOURCEPAGE:SoB
Skills	CATEGORY:Special Ability	TYPE:FidealRaceTrait.SpecialQuality	VISIBLE:YES	DESC:The fideal receive a +8 racial bonus to Swim checks.	KEY:Fideal ~ Skills									BONUS:SKILL|Swim|8|TYPE=Racial																		SOURCEPAGE:SoB
																																
Race Traits ~ Fisherman	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=FishermanRaceTrait	AUTO:LANG|Infernal	AUTO:WEAPONPROF|Boat Hook																											
Deathwatch	CATEGORY:Special Ability	TYPE:FishermanRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A fisherman may make constant use of the spell Deathwatch, as if cast by a 15th level cleric. The range of a fisherman's Deathwatch is one mile per Hit Dice, rahter that that given for the actual spell, allowing it to sense the life state f any creature within its territory. This ability can be negated as normal, but the fisherman can reactivate it at any time as a free action.	KEY:Fisherman ~ Deathwatch																											SOURCEPAGE:SoB
Sea Sense	CATEGORY:Special Ability	TYPE:FishermanRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A fisherman automatically knows the weather above the sea with a radius equal to its Wisdom modifier x 10 (%1-ft.)|SeaSenseRadius	KEY:Fisherman ~ Sea Sense				DEFINE:SeaSenseRadius|0					BONUS:VAR|SeaSenseRadius|WIS*10																		SOURCEPAGE:SoB
Fear Aura	CATEGORY:Special Ability	TYPE:FishermanRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any living creatures within 60-ft of a firsherman will be affected by a fear spell as if cast by a 15th level sorcerer (Will DC %1). The save DC is Charisma-based.|FearAuraDC	KEY:Fisherman ~ Fear Aura				DEFINE:FearAuraDC|0					BONUS:VAR|FearAuraDC|DefaultDCCha	BONUS:VAR|FearAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Fear Aura)								ABILITY:Ability Focus|AUTOMATIC|Fear Aura									SOURCEPAGE:SoB
Create Soul Cage	CATEGORY:Special Ability	TYPE:FishermanRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:By simply constructing a lobster cage out of the debris that floats to the bottom of the ocean, a fisherman may craft a soutl cage. The soul cage is a magical construction that, through its crafting, has been enchanted with a Trap the Soul spell. The magic og a soul cage will onyl function for the fisherman and the souls remain trapped for as long as the firsherman wishes and remains in the material world. Only upon death of the fisherman may the trapped souls be released.	KEY:Fisherman ~ Create Soul Cage																											SOURCEPAGE:SoB
																																
Race Traits ~ Giant (Sea)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Giant Subtraits|TYPE=GiantSeaRaceTrait											BONUS:VAR|AdvancementByClass|1																		
Rock Throwing	CATEGORY:Special Ability	TYPE:GiantSeaRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The range increment is 140 feet for a sea giant's thrown rocks.	KEY:Giant (Sea) ~ Rock Throwing																											SOURCEPAGE:SoB
Freedom of Movement	CATEGORY:Special Ability	TYPE:GiantSeaRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Sea giants continuousy have Freedom of Movement as spell.	KEY:Giant (Sea) ~ Freedom of Movement																											SOURCEPAGE:SoB
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:GiantSeaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Giant (Sea) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=2|CASTERLEVEL=17|Control Weather	SPELLS:Innate|TIMES=1|CASTERLEVEL=17|Control Winds								SOURCEPAGE:SoB
Shape Water	CATEGORY:Special Ability	TYPE:GiantSeaRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:%1/day, a sea giant can form a volume of water into the shape of a 20-ft long arm ending in a clenched fist (AC 20, hp 80). The fist attacks using the sea giant's attack roll and deals 1d8+13 points of slam damage. Any creature struck must succeed at a Fortitude save (DC %1) or be stunned for 1 round. A stunned creature cannot act and loses any Dexterity bonus to AC. Attackers gain +2 bonuses to attack a stunned creature. The arm remains for 17 rounds and the sea giuant does not need to concentrate to maintain the arm. The fist loses shape if it reaches 9 hit points, the duration expires or the sea giant dies.|ShapeWaterDC	KEY:Giant (Sea) ~ Shape Water				DEFINE:ShapeWaterDC|0					BONUS:VAR|ShapeWaterDC|DefaultDCCha	BONUS:VAR|ShapeWaterDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Shape Water)								ABILITY:Ability Focus|AUTOMATIC|Shape Water									SOURCEPAGE:SoB
Water Breathing	CATEGORY:Special Ability	TYPE:GiantSeaRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Sea giants can breathe underwater indefinitely and can freely use their spell-like abilities while submerged.	KEY:Giant (Sea) ~ Water Breathing																											SOURCEPAGE:SoB
																																
Race Traits ~ Gnarled Eel	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=GnarledEelRaceTrait																													
Bunching	CATEGORY:Special Ability	TYPE:GnarledEelRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Gnarled eels are very slender and flexible and, when on the attack, they swarm over one another with ease. Two gnarled eels may occupy the same 5-ft space.	KEY:Gnarled Eel ~ Bunching																											SOURCEPAGE:SoB
Frenzied Bite	CATEGORY:Special Ability	TYPE:GnarledEelRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Once gnarled eel has wounded a victim, all gnarled eels involved in the combat will enter a feeding frenzy. Each may now bite twice in a combat round, taking a -2 circumstance penalty to their attack rolls for both bites.	KEY:Gnarled Eel ~ Frenzied Bite									TEMPBONUS:PC|COMBAT|ATTACKS|1	TEMPBONUS:PC|COMBAT|TOHIT|-2																	SOURCEPAGE:SoB
Prey Sense	CATEGORY:Special Ability	TYPE:GnarledEelRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A gnarled eel is very sensitive to sound, vibrations and scent, and is able to detect blood or struggling prey in the water at a distance of up to one mile. Swimming may also attrack a gnarled eel school's attention.	KEY:Gnarled Eel ~ Prey Sense																											SOURCEPAGE:SoB
Locate Prey	CATEGORY:Special Ability	TYPE:GnarledEelRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Gnarled eels receive a +4 racial bonus to Spot checks when searching for prey.	KEY:Gnarled Eel ~ Locate Prey																											SOURCEPAGE:SoB
																																
Race Traits ~ Grey Lady	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=GreyLadyRaceTrait											BONUS:VAR|TurnResistanceBonus|2																		
Fear Aura	CATEGORY:Special Ability	TYPE:GreyLadyRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An opponent with 5HD or less that attepts to approach to wihtin 30 feer of the grey lady must make a Will save (DC %1) or be unable to continue due to an overwhelming sense of dread. The save DC is Charismabased.|FearAuraDC	KEY:Grey Lady ~ Fear Aura				DEFINE:FearAuraDC|0					BONUS:VAR|FearAuraDC|DefaultDCCha	BONUS:VAR|FearAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Fear Aura)								ABILITY:Ability Focus|AUTOMATIC|Fear Aura									SOURCEPAGE:SoB
Chill Touch	CATEGORY:Special Ability	TYPE:GreyLadyRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The touch of a grey lady is supernaturally cold, acting as a Chill Touch spell as if cast by a 4th level sorcerer. A grey lady may use this ability at will and does so with every melee attack she makes.	KEY:Grey Lady ~ Chill Touch																											SOURCEPAGE:SoB
Ravages of Death	CATEGORY:Special Ability	TYPE:GreyLadyRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any living creature that sees the fave of a grey lady suddenly knows her pain, frustation and rage and has a glimpse of the anguish of what it is like to die broken hearted. Any opponent experiencing this tragic emotion must make a Will save (DC %1) or be wrought with despair. They will fall into a stupor, unable to take any action other than weeping and screaming for 1d6 hours. A Calm Emotions spell will end this effects.|RavagesOfDeathDC	KEY:Grey Lady ~ Ravages of Death				DEFINE:RavagesOfDeathDC|0					BONUS:VAR|RavagesOfDeathDC|DefaultDCCha	BONUS:VAR|RavagesOfDeathDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Ravages of Death)								ABILITY:Ability Focus|AUTOMATIC|Ravages of Death									SOURCEPAGE:SoB
Harbringer	CATEGORY:Special Ability	TYPE:GreyLadyRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The appearance of a grey lady is usually a harbringer of some future catastrophe, such as a great storm or a shipwreack. Such event will occur within 1d6 days of the sighting of the grey lady.	KEY:Grey Lady ~ Harbringer																											SOURCEPAGE:SoB
																																
Race Traits ~ Jastra Root	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=JastraRootRaceTrait											BONUS:VAR|FireResistanceBonus|20|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance To Fire									SOURCEPAGE:SoB
Improved Grab	CATEGORY:Special Ability	TYPE:JastraRootRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, the jastra root must hit an opponent of up to Large size with two fronds. If it gets a hold, it will drag its opponent in the water and attempt to drown it.	KEY:Jastra Root ~ Improved Grab																											SOURCEPAGE:SoB
Immunities	CATEGORY:Special Ability	TYPE:JastraRootRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Jastra roots are immune to all electrical effects.	KEY:Jastra Root ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity to Electricity									SOURCEPAGE:SoB
Weapon Immunity	CATEGORY:Special Ability	TYPE:JastraRootRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Jastra roots take no damage from bludgeoning weapons.	KEY:Jastra Root ~ Weapon Immunity																											SOURCEPAGE:SoB
Blindsight	CATEGORY:Special Ability	TYPE:JastraRootRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Jastra roots have no visual organs but can ascertain all foes within 30-ft using sound, scent and vibration.	KEY:Jastra Root ~ Blindsight									BONUS:VAR|BlindsightRange|30|TYPE=Base																		SOURCEPAGE:SoB
Skills	CATEGORY:Special Ability	TYPE:JastraRootRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Jastra roots receive a +12 bonus to Hide checks when amidst natural seaweed.	KEY:Jastra Root ~ Skills									BONUS:SKILL|Swim|12|TYPE=Racial																		SOURCEPAGE:SoB
																																
Race Traits ~ Killer Wave	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Ooze Subtraits|TYPE=KillerWaveRaceTrait																													
Spit	CATEGORY:Special Ability	TYPE:KillerWaveRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When in water, a stationary killer wave can use its propulsion tube to spit a jet of acid and water at any single targer within 20-ft. A successful hit will deal 1 point of acid damage for 1d6 rounds.	KEY:Killer Wave ~ Spit																											SOURCEPAGE:SoB
Improved Grab	CATEGORY:Special Ability	TYPE:KillerWaveRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, the killer wave must hit with its slam attack. If it gets a hold, it may then constrict its victim.	KEY:Killer Wave ~ Improved Grab																											SOURCEPAGE:SoB
Acid	CATEGORY:Special Ability	TYPE:KillerWaveRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A killer wave secretes acid traht quickly dissolbes any otganic matter. Any Melee hit deals acid damage. The save DCs are Constitution-based.|AcidDC	KEY:Killer Wave ~ Acid				DEFINE:AcidDC|0					BONUS:VAR|AcidDC|DefaultDCCon	BONUS:VAR|AcidDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Acid)								ABILITY:Ability Focus|AUTOMATIC|Acid									SOURCEPAGE:SoB
Constrict	CATEGORY:Special Ability	TYPE:KillerWaveRaceTrait.SpecialAttack.Extraordinary.Constrict	VISIBLE:YES	DESC:A killer wave deals automatic slam and acid damage with a successful grapple check.	KEY:Killer Wave ~ Constrict									BONUS:VAR|ConstrictDice|1	BONUS:VAR|ConstrictDieSize|8|TYPE=Base																	SOURCEPAGE:SoB
																																
Race Traits ~ Leviathan 2	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=Leviathan2RaceTrait											BONUS:VAR|DarkvisionRange|500|TYPE=Base																		
Swallow Whole	CATEGORY:Special Ability	TYPE:Leviathan2RaceTrait.SpecialAttack.Extraordinary.Swallow Whole	VISIBLE:YES	DESC:Simply by opening its enormous, cavernous mouth, the leviathan may swallow anty creature of large size or smaller, and ships of small size or smaller, that are in the water within 50-ft. Creatures made the target of this attack must make a Swim check at DC 30 to avoid being swallowed. Ships made the target of this attack must make a Seamanship check at DC 30 to avoid being swallowed. Swallowed creature take 6d8+17 points of crushing damage, plus 16 points of acid damage per round. Swallowed ships take 2d6 points of structural damage per round. A swallowed creature can cut its way out using claws or a slashing weapon by dealing 75 points of damage to thge leviathan's gut (AC 20). Once the creature exits, muscular action closes the hole and another creswallowed creature must cut its own way out. Swallowed ships may not escape from the stomach of a leviathan, though their crew may.	KEY:Leviathan 2 ~ Swallow Whole																											SOURCEPAGE:SoB
Tail Slap	CATEGORY:Special Ability	TYPE:Leviathan2RaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A leviathan thal slaps the water with its hige tail will cause a massive wave to arise than can ewven thteaten ships. Any ship actually struck by the tail of a leviathan receive 3d6 points of structural damage, whilst creatures take 4d12+17 points of damage. A Reflex save (DC %1) will halve this damage for creatures. Any ship has a chance of capsizing and sinking if struck by the wave that rises from the leviathan's tail slap. The change to capsize is wqual to 100%%, minus 10%% for every 50-ft between the tail and the ship. Ships of large size or greater also reduce this chance by 40%%.	KEY:Leviathan 2 ~ Tail Slap																											SOURCEPAGE:SoB
Control Weather	CATEGORY:Special Ability	TYPE:Leviathan2RaceTrait.SpecialAttack.Supernatural	VISIBLE:YES		KEY:Leviathan 2 ~ Control Weather																		SPELLS:Innate|TIMES=1|CASTERLEVEL=20|Control Weather									SOURCEPAGE:SoB
Whalesong	CATEGORY:Special Ability	TYPE:Leviathan2RaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The song of a leviathan is so deep and of such low frequency that the vibrations alone can have advberse effects on nearby living creatures. Any linving creature within 100-ft of a leviathan must make a Fortitude save (DC %1) or be stunned for 1d6 rounds. This song is more felt than heard and can be detected by creatures up to ten miles away.|WhalesongDC	KEY:Leviathan 2 ~ Whalesong				DEFINE:WhalesongDC|0					BONUS:VAR|WhalesongDC|DefaultDCCon	BONUS:VAR|WhalesongDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Whalesong)								ABILITY:Ability Focus|AUTOMATIC|Whalesong									SOURCEPAGE:SoB
Summon Nature's Ally	CATEGORY:Special Ability	TYPE:Leviathan2RaceTrait.SpecialAttack.Supernatural	VISIBLE:YES		KEY:Leviathan 2 ~ Summon Nature's Ally IX																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Summon Nature's Ally IX ~ Aquatic only									SOURCEPAGE:SoB
Skills	CATEGORY:Special Ability	TYPE:Leviathan2RaceTrait.SpecialQuality	VISIBLE:YES	DESC:A leviathan receives a +8 racial bonus to swim checks.	KEY:Leviathan 2 ~ Skills									BONUS:SKILL|Swim|8|TYPE=Racial																		SOURCEPAGE:SoB
																																
Race Traits ~ Sea Drake 2	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SeaDrake2RaceTrait																													
