SOURCELONG:Gozzilioni Seas of Blood	SOURCESHORT:SoB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																																										
# Feat Name		Type	visible	outputname	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page
CATEGORY=FEAT|Two-Weapon Fighting.MOD		TYPE:Reaver																																								
CATEGORY=FEAT|Combat Reflexes.MOD		TYPE:Reaver																																								
CATEGORY=FEAT|Dodge.MOD		TYPE:Reaver																																								
CATEGORY=FEAT|Exotic Weapon Proficiency.MOD		TYPE:Reaver																																								
CATEGORY=FEAT|Improved Critical.MOD		TYPE:Reaver																																								
CATEGORY=FEAT|Improved Initiative.MOD		TYPE:Reaver																																								
CATEGORY=FEAT|Quick Draw.MOD		TYPE:Reaver																																								
CATEGORY=FEAT|Weapon Finesse.MOD		TYPE:Reaver																																								
CATEGORY=FEAT|Weapon Focus.MOD		TYPE:Reaver																																								
																																										
Amazing Agilities	CATEGORY:FEAT	TYPE:General											PRESKILL:1,Balance=12							PRETEXT:Must spend a great deal of time at sea					DESC:You may always take 20 on nay balance check, even for checks that would not notrmally allow it. Use of this feat is a free action.																	SOURCEPAGE:SoB
Bargain	CATEGORY:FEAT	TYPE:General														PRESTAT:1,CHA=13				PRETEXT:Must spend a great deal of time at sea					DESC:You gains a +4 competence bonus to all Profession (Merchant) checks when buying or selling goods as described on p.88.																	SOURCEPAGE:SoB
Duck and Wave	CATEGORY:FEAT	TYPE:General														PRESTAT:1,DEX=15				PRETEXT:Must spend a great deal of time at sea					DESC:So long as you are not flat-footed or surprised, you always count as being in three quarter cover agains ranged attacks whilst on board ship. 																	SOURCEPAGE:SoB
Eagles Eyes	CATEGORY:FEAT	TYPE:General																		PRETEXT:Must spend a great deal of time at sea					DESC:Your eyesight is excellent. You may add 50%% to all the visibility ranges listed on p.24.																	SOURCEPAGE:SoB
Improved Underwater Combat	CATEGORY:FEAT	TYPE:General			PREATT:6		PREABILITY:1,CATEGORY=FEAT,Underwater Combat													PRETEXT:Must spend a great deal of time at sea					DESC:Whilst using piercing weapons, you suffer no penalty to initiative and attack rolls in underwater melee combat. This feat has no effect when used in conjunction with slashing or bludgeoning weapons.																	SOURCEPAGE:SoB
Inspire Loyalty	CATEGORY:FEAT	TYPE:General					PREABILITY:1,CATEGORY=FEAT,Leadership													PRETEXT:Must spend a great deal of time at sea					DESC:So long as you are alive and seen to be fighting, your crew will automatically pass any Morale check they are required to make during a boarding action. Additionally you gain a +4 bonus to avoid Mutiny checks.																	SOURCEPAGE:SoB
Master Helmsman	CATEGORY:FEAT	TYPE:General											PRESKILL:1,Knowledge (Seamanship)=8							PRETEXT:Must spend a great deal of time at sea					DESC:When at the wheel or rudder of a ship you are able to take advantage of every current your vessel comes into contact with. Both the vase and daily movements rates of the ships are increased by 10%% due to your expert handling.																	SOURCEPAGE:SoB
Rapid Loader	CATEGORY:FEAT	TYPE:General											PRESKILL:1,Profession (Siege Engineer)=4							PRETEXT:Must spend a great deal of time at sea					DESC:When part of a crew for a shipboard weapon, you may halve the time taken to reload the weapon after firing, rounding down. No matter what other factor apply (magic, for example), a shipboard weapon will always take at least one round to reload.																	SOURCEPAGE:SoB
Sea Legs	CATEGORY:FEAT	TYPE:General		KEY:Sea Leg ~ SoB																PRETEXT:Must spend a great deal of time at sea. Must have spent at least 3 months at sea.					DESC:Whilst on board a ship, you gain a +2 competence bonus to all Climb, Concentration, Jump and Use Rope checks.																	SOURCEPAGE:SoB
Steady Captain	CATEGORY:FEAT	TYPE:General					PREABILITY:1,CATEGORY=FEAT,Leadership						PRESKILL:1,Knowledge (Seamanship)=6							PRETEXT:Must spend a great deal of time at sea. Must be captain of a ship.					DESC:The crew of your ship gain a +2 competence bonus o all Seamanship checks whilst you remain in command of the ship.																	SOURCEPAGE:SoB
Superior Helmsmann	CATEGORY:FEAT	TYPE:General											PRESKILL:1,Knowledge (Seamanship)=6							PRETEXT:Must spend a great deal of time at sea					DESC:When either at the wheel or rudder of a ship, you are able to make very fast turns that can throw an enemy completely off guard. Any ship you are in control of gains a è1 competence bonus to its maneuverability.																	SOURCEPAGE:SoB
Strong Swimmer	CATEGORY:FEAT	TYPE:General											PRESKILL:1,Swim=8			PRESTAT:1,STR=13				PRETEXT:Must spend a great deal of time at sea					DESC:Upon a successful Swim check, you may now swim at one-half your speed as a move-equivalent action, or your full speel ad a full-round action.																	SOURCEPAGE:SoB
Underwater Combat	CATEGORY:FEAT	TYPE:General														PRESTAT:1,DEX=13				PRETEXT:Must spend a great deal of time at sea					DESC:When fighting in underwater melee combat (see the rules on p.96), you only face a -2 penalty to Initiative and attack rolls. In addition, you also receive only a -2 penalty to damage when using slashing or bludgeoning weapons.																	SOURCEPAGE:SoB
