SOURCELONG:Arms and Equipment Guide 3.0	SOURCESHORT:AaEG30	SOURCEWEB:http://www.gozzilioni.net
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
###Block: Specific Race Traits																																
Training	CATEGORY:Special Ability	TYPE:BlinkDogRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Blink dog packs try to prevent it, but opportunists sometimes steal their pups and train them as guard creatures. DC Young/Adult: 22/29; Young Price: 10,000 gp; Training Cost: 1,000 gp.	KEY:Blink Dog ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:AaEG30
Training	CATEGORY:Special Ability	TYPE:EtherealMarauderRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Only a very few ethereal marauders have been caught, fewer trained, and none domesticated. DC Young/Adult: 20/27; Young Price: 50,000 gp; Training Cost: 5,000 gp.	KEY:Ethereal Marauder ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:AaEG30
Training	CATEGORY:Special Ability	TYPE:GargoyleRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Gargoyles are excellent guardians, but only for as long as they choose to be. DC Young/Adult: -/-; Young Price: -; Training Cost: -.	KEY:Gargoyle ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:AaEG30
Training	CATEGORY:Special Ability	TYPE:HellHoundRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Hell hounds are aggressive hunters that get restless if enclosed and left alone to protect some place or object. DC Pup/Adult: 22/29; Young Price: 15,000 gp; Training Cost: 3,000 gp.	KEY:Hell Hound ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:AaEG30
Training	CATEGORY:Special Ability	TYPE:KrensharRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Though krenshars adapt well to civilized habitats, they still play hunting games with each other and their masters when off duty. DC Young/Adult: 20/27; Young Price: 500 gp; Training Cost: 500 gp.	KEY:Krenshar ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:AaEG30
Training	CATEGORY:Special Ability	TYPE:ManticoreRaceTrait.SpecialQuality	VISIBLE:YES	DESC:With their flight and spike volley abilities, manticores are best employed as guards in wide-open spaces. DC Young/Adult: 24/31; Young Price: 4,000 gp; Training Cost: 3,500 gp.	KEY:Manticore ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:AaEG30
Training	CATEGORY:Special Ability	TYPE:MimicRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Mimics are near-perfect property guards. They're intelligent, they speak Common, and they are willing to sit still for years at a time as long as they are paid in treasure and food for their trouble. DC Young/Adult: -/opposed Diplomacy check; Young Price: -; Training Cost: -.	KEY:Mimic ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:AaEG30
Training	CATEGORY:Special Ability	TYPE:OtyughRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A favorite entrance for thieves into an otherwise well-guarded fortification is through the garbage chute or sewers. DC Young/Adult: 24/31; Young Price: 2,000 gp; Training Cost: 1,500 gp.	KEY:Otyugh ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:AaEG30
# Training	CATEGORY:Special Ability	TYPE:OwlbearRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Owlbears are theoretically trainable. However, it is not necessary to train them to attack, and not very productive to teach them anything else. DC Young/Adult: 23/30; Young Price: 3,000 gp; Training Cost: 2,000 gp.	KEY:Owlbear ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:AaEG30
