SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Race Traits ~ Aasimar	CATEGORY:Internal													BONUS:VAR|AdvancementByClass|1	BONUS:VAR|RaceSubtypePlanetouched|1|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Planetouched (Aasimar) Racial Traits	ABILITY:Aasimar Subrace|AUTOMATIC|Aasimar ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Planetouched (Aasimar) Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Planetouched (Aasimar) Racial Traits																												
Darkvision	CATEGORY:Special Ability	TYPE:AasimarRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Aasimars have darkvision out to 60 feet.	KEY:Aasimar ~ Darkvision									BONUS:VAR|DarkvisionRange|60|TYPE=Base																		SOURCEPAGE:PH	
Spot Skill Bonus	CATEGORY:Special Ability	TYPE:AasimarRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+2 racial bonus on Spot checks.	KEY:Aasimar ~ Spot Skill Bonus				DEFINE:AasimarSpotSkillBonus|0					BONUS:VAR|AasimarSpotSkillBonus|2	BONUS:SKILL|Spot|AasimarSpotSkillBonus|TYPE=Racial																	SOURCEPAGE:PH	
Listen Skill Bonus	CATEGORY:Special Ability	TYPE:AasimarRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+2 racial bonus on Listen checks.	KEY:Aasimar ~ Listen Skill Bonus				DEFINE:AasimarListenSkillBonus|0					BONUS:VAR|AasimarListenSkillBonus|2	BONUS:SKILL|Listen|AasimarListenSkillBonus|TYPE=Racial																	SOURCEPAGE:PH	
Daylight	CATEGORY:Special Ability	TYPE:AasimarRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Aasimar ~ Daylight																		SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Daylight									SOURCEPAGE:PH	
Resistances	CATEGORY:Special Ability	TYPE:AasimarRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Aasimar ~ Resistances									BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,ElectricityResistanceBonus|5|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Resistance To Cold|Resistance To Electricity									SOURCEPAGE:PH	
Languages	CATEGORY:Special Ability	TYPE:AasimarRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Common, Celestial. Bonus Languages: Draconic, Dwarven, Elven, Gnome, Halfling, Sylvan.	KEY:Aasimar ~ Languages																		TEMPLATE:Aasimar ~ Common ~ Languages									SOURCEPAGE:PH	
Favored Class	CATEGORY:Special Ability	TYPE:AasimarRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Paladin.	KEY:Aasimar ~ Favored Class																		TEMPLATE:Aasimar ~ Common ~ Favored Class									SOURCEPAGE:PH	
																																	
Race Traits ~ Bariaur	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Bariaur Racial Traits	ABILITY:Bariaur Subrace|AUTOMATIC|Bariaur ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Bariaur Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Bariaur Racial Traits																												
Powerful Charge	CATEGORY:Special Ability	TYPE:BariaurRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A charging bariaur can make a single ram attack that deals bludgeoning damage equal to 2d6 + 1-1/2 times the bariaur's Str modifier.	KEY:Bariaur ~ Powerful Charge																											SOURCEPAGE:PH	
Spell Resistance	CATEGORY:Special Ability	TYPE:BariaurRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Spell resistance 11 + class level.	KEY:Bariaur ~ Spell Resistance				DEFINE:BariaurSR|0					BONUS:VAR|BariaurSR|11+(TL-HD)									SR:BariaurSR									SOURCEPAGE:PH	
Spell Saving Throw	CATEGORY:Special Ability	TYPE:BariaurRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Will saves against spells and spell-like abilities.|BariaurSpellSaveBonus	KEY:Bariaur ~ Spell Saving Throw				DEFINE:BariaurSpellSaveBonus|0					BONUS:VAR|BariaurSpellSaveBonus|2|TYPE=Racial																		SOURCEPAGE:PH	ASPECT:SaveBonus|+%1 racial bonus on saving Will save against spells and spell-like abilities|BariaurSpellSaveBonus
Spot Skill Bonus	CATEGORY:Special Ability	TYPE:BariaurRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A bariaur's keen senses grant it a +%1 racial bonus on Spot checks.|BariaurSpotSkillBonus	KEY:Bariaur ~ Spot Skill Bonus				DEFINE:BariaurSpotSkillBonus|0					BONUS:VAR|BariaurSpotSkillBonus|2	BONUS:SKILL|Spot|BariaurSpotSkillBonus|TYPE=Racial																	SOURCEPAGE:PH	
Listen Skill Bonus	CATEGORY:Special Ability	TYPE:BariaurRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A bariaur's keen senses grant it a +%1 racial bonus on Listen checks.|BariaurListenSkillBonus	KEY:Bariaur ~ Listen Skill Bonus				DEFINE:BariaurListenSkillBonus|0					BONUS:VAR|BariaurListenSkillBonus|2	BONUS:SKILL|Listen|BariaurListenSkillBonus|TYPE=Racial																	SOURCEPAGE:PH	
Languages	CATEGORY:Special Ability	TYPE:BariaurRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Celestial, Common. Bonus Languages: Abyssal, Infernal. Bariaurs commonly learn the languages of fiendish creatures to better prepare themselves against such threats.	KEY:Bariaur ~ Languages																		TEMPLATE:Bariaur ~ Common ~ Languages									SOURCEPAGE:PH	
