SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07							
										
#Domain	SOURCEPAGE:SpellListI.rtf			SPELLLEVEL:DOMAIN|Domain=0|Domain=1||Domain=2||Domain=3||Domain=4||Domain=5||Domain=6||Domain=7||Domain=8||Domain=9|	DESC:					
Abyss	SOURCEPAGE:PH	KEY:Planar ~ Abyss	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainPlanarAbyss,1]	SPELLLEVEL:DOMAIN|Planar ~ Abyss=1|Align Weapon,Cause Fear|Planar ~ Abyss=2|Bull's Strength,Death Knell|Planar ~ Abyss=3|Babau Slime,Summon Monster III ~ Chaotic Evil only|Planar ~ Abyss=4|Balor Nimbus,Poison|Planar ~ Abyss=5|Slay Living,Summon Monster V ~ Chaotic Evil only|Planar ~ Abyss=6|Bull's Strength (Mass),Harm|Planar ~ Abyss=7|Destruction,Summon Monster VII ~ Chaotic Evil only|Planar ~ Abyss=8|Finger of Death,Bodak's Gaze|Planar ~ Abyss=9|Implosion,Summon Monster IX ~ Chaotic Evil only	DESC:Once per day as a free action, you may channel the furious power of the demons. This power grants you a +4 bonus to Strength but also gives you a -2 penalty to Armor Class. The effect lasts for 5 rounds and cannot be ended prematurely. This is a supernatural ability. Add Intimidate to your list of cleric class skills.	PREALIGN:CE	BONUS:VAR|AllowDomainPlanarAbyss,DomainNotAllowed|1	CSKILL:Intimidate	TEMPBONUS:PC|STAT|STR|4	TEMPBONUS:PC|COMBAT|AC|-2
Arborea	SOURCEPAGE:PH	KEY:Planar ~ Arborea	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainPlanarArborea,1]	SPELLLEVEL:DOMAIN|Planar ~ Arborea=1|Endure Elements,Longstrider|Planar ~ Arborea=2|Aid,Eagle's Splendor|Planar ~ Arborea=3|Heroism,Summon Monster III ~ Chaotic Good only|Planar ~ Arborea=4|Neutralize Poison,Opalescent Glare|Planar ~ Arborea=5|Break Enchantment,Summon Monster V ~ Chaotic Good only|Planar ~ Arborea=6|Heroes' Feast,Eagle's Splendor (Mass)|Planar ~ Arborea=7|Spell Turning,Summon Monster VII ~ Chaotic Good only|Planar ~ Arborea=8|Heroism (Greater),Mind Blank|Planar ~ Arborea=9|Freedom,Summon Monster IX ~ Chaotic Good only	DESC:Once per day as a free action, you can channel the glory of the eladrin to grant yourself a morale bonus on weapon damage rolls and saves against charm and fear effects. This bonus is equal to your Charisma bonus (if any) and lasts for 1 minute. This is a supernatural ability. Add Survival to your list of cleric class skills.	PREALIGN:CG	BONUS:VAR|AllowDomainPlanarArborea,DomainNotAllowed|1	CSKILL:Survival	TEMPBONUS:PC|COMBAT|DAMAGE.Melee|max(CHA,0)	
Baator	SOURCEPAGE:PH	KEY:Planar ~ Baator	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainPlanarBaator,1]	SPELLLEVEL:DOMAIN|Planar ~ Baator=1|Bane,Disguise Self|Planar ~ Baator=2|Darkness,Fox's Cunning|Planar ~ Baator=3|Detect Thoughts,Summon Monster III ~ Lawful Evil only|Planar ~ Baator=4|Deeper Darkness,Suggestion|Planar ~ Baator=5|Spell Resistance,Summon Monster V ~ Lawful Evil only|Planar ~ Baator=6|Dominate Person,Fox's Cunning (Mass)|Planar ~ Baator=7|Repulsion,Summon Monster VII ~ Lawful Evil only|Planar ~ Baator=8|Demand,Spell Turning|Planar ~ Baator=9|Imprisonment,Summon Monster IX ~ Lawful Evil only	DESC:You have the supernatural ability to see perfectly in darkness of any kind, even that created by a deeper darkness spell. Add Bluff to your list of cleric class skills.	PREALIGN:LE	BONUS:VAR|AllowDomainPlanarBaator,DomainNotAllowed|1	CSKILL:Bluff		
Celestia	SOURCEPAGE:PH	KEY:Planar ~ Celestia	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainPlanarCelestia,1]	SPELLLEVEL:DOMAIN|Planar ~ Celestia=1|Light of Lunia,Shield of Faith|Planar ~ Celestia=2|Bear's Endurance,Shield Other|Planar ~ Celestia=3|Magic Vestment,Summon Monster III ~ Lawful Good only|Planar ~ Celestia=4|Divine Power,Magic Weapon (Greater)|Planar ~ Celestia=5|Righteous Might,Summon Monster V ~ Lawful Good only|Planar ~ Celestia=6|Blade Barrier,Bear's Endurance (Mass)|Planar ~ Celestia=7|Regenerate,Summon Monster VII ~ Lawful Good only|Planar ~ Celestia=8|Power Word Stun,Shield of Law|Planar ~ Celestia=9|Foresight,Summon Monster IX ~ Lawful Good only	DESC:Once per day, as a free action, you can generate an aura of menace similar to that of the archons. The aura lasts for 1 minute. Any hostile enemy within a 20- foot radius of you must succeed on a Will save (DC 10 + 1/2 your cleric level + your Cha modifi er) to resist its effects. Those who fail take a -2 penalty on attack rolls, Armor Class, and saves for 24 hours or until they successfully hit you. A creature that has resisted or broken the effect cannot be affected again by your aura for 24 hours. This is a supernatural Ability. Add Sense Motive to your list of cleric class skills.	PREALIGN:LG	BONUS:VAR|AllowDomainPlanarCelestia,DomainNotAllowed|1	CSKILL:Sense Motive		
Elysium	SOURCEPAGE:PH	KEY:Planar ~ Elysium	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainPlanarElysium,1]	SPELLLEVEL:DOMAIN|Planar ~ Elysium=1|Charm Person,Protection from Evil|Planar ~ Elysium=2|Enthrall,Planar tolerance|Planar ~ Elysium=3|Magic Circle against Evil,Mantle of Good|Planar ~ Elysium=4|Charm Monster,Holy Smite|Planar ~ Elysium=5|Dispel Evil,Cure Light Wounds (Mass)|Planar ~ Elysium=6|Find the Path,Mind Fog|Planar ~ Elysium=7|Control Weather,Holy Word|Planar ~ Elysium=8|Holy Aura,Sunburst|Planar ~ Elysium=9|Heal (Mass),Moment of Prescience	DESC:You gain the supernatural ability to smite evil with a single melee attack once per day. You add your Charisma bonus (if any) to your attack roll and deal an extra 1 point of damage per class level. This smite attack is treated as good-aligned for the purpose of overcoming damage reduction. At 5th level, and every five levels thereafter, you can use this smite attack one additional time per day.	PREALIGN:NG	BONUS:VAR|AllowDomainPlanarElysium,DomainNotAllowed|1			
Hades	SOURCEPAGE:PH	KEY:Planar ~ Hades	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainPlanarHades,1]	SPELLLEVEL:DOMAIN|Planar ~ Hades=1|Doom,Protection from Good|Planar ~ Hades=2|Resist Planar Alignment|Planar ~ Hades=3|Magic Circle against Good,Mantle of Evil|Planar ~ Hades=4|Contagion,Unholy Blight|Planar ~ Hades=5|Crushing Despair,Dispel Good|Planar ~ Hades=6|Mind Fog,Waves of Fatigue|Planar ~ Hades=7|Blasphemy,Plane Shift|Planar ~ Hades=8|Unholy Aura,Waves of Exhaustion|Planar ~ Hades=9|Energy Drain,Gate	DESC:You gain the supernatural ability to smite good with a single melee attack once per day. You add your Charisma bonus (if any) to your attack roll and deal an extra 1 point of damage per class level. This smite attack is treated as evil-aligned for the purpose of overcoming damage reduction. At 5th level, and every five levels thereafter, you can use this smite attack one additional time per day.	PREALIGN:NE	BONUS:VAR|AllowDomainPlanarHades,DomainNotAllowed|1			
Limbo	SOURCEPAGE:PH	KEY:Planar ~ Limbo	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainPlanarLimbo,1]	SPELLLEVEL:DOMAIN|Planar ~ Limbo=1|Confusion (Lesser),Protection from Law|Planar ~ Limbo=2|Entropic Shield,Resist Planar Alignment|Planar ~ Limbo=3|Magic Circle against Law,Mantle of Chaos|Planar ~ Limbo=4|Chaos Hammer,Perinarch|Planar ~ Limbo=5|Baleful Polymorph,Dispel Law|Planar ~ Limbo=6|Animate Objects,Insanity|Planar ~ Limbo=7|Song of Discord,Word of Chaos|Planar ~ Limbo=8|Cloak of Chaos,Otto's Irresistible Dance|Planar ~ Limbo=9|Perinarch (Planar),Shapechange	DESC:You gain the supernatural ability to smite law with a single melee attack once per day. You add your Charisma bonus (if any) to your attack roll and deal an extra 1 point of damage per class level. This smite attack is treated as chaotic-aligned for the purpose of overcoming damage reduction. At 5th level, and every five levels thereafter, you can use this smite attack one additional time per day.	PREALIGN:CN	BONUS:VAR|AllowDomainPlanarLimbo,DomainNotAllowed|1			
Mechanus	SOURCEPAGE:PH	KEY:Planar ~ Mechanus	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainPlanarMechanus,1]	SPELLLEVEL:DOMAIN|Planar ~ Mechanus=1|Command,Protection from Chaos|Planar ~ Mechanus=2|Calm Emotions,Mechanus Mind|Planar ~ Mechanus=3|Magic Circle against Chaos,Mantle of Law|Planar ~ Mechanus=4|Discern Lies,Order's Wrath|Planar ~ Mechanus=5|Dispel Chaos,Mark of Justice|Planar ~ Mechanus=6|Hold Monster,Wall of Gears|Planar ~ Mechanus=7|Dictum,Hold Person (Mass)|Planar ~ Mechanus=8|Iron Body,Shield of Law|Planar ~ Mechanus=9|Call Marut,Mordenkainen's Disjunction	DESC:You gain the supernatural ability to smite chaos with a single melee attack once per day. You add your Charisma bonus (if any) to your attack roll and deal an extra 1 point of damage per class level. This smite attack is treated as lawful-aligned for the purpose of overcoming damage reduction. At 5th level, and every five levels thereafter, you can use this smite attack one additional time per day.	PREALIGN:LN	BONUS:VAR|AllowDomainPlanarMechanus,DomainNotAllowed|1			
