SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																							
#																										
#Block:Spells	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus	
Abyssal Army				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Chaos|Evil	CLASSES:Cleric=9|Sorcerer=9|Wizard=9	COMPS:V, S	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:Two or more summoned creatures, no two of which can be more than 30 ft. apart.	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Summons demons to fight for you.	SOURCEPAGE:PH									
Analyze Portal				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=3|Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 minute	RANGE:60 ft.	TARGETAREA:Cone-shaped emanation from you to the extreme of the range.	DURATION:Concentration, up to 1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:Find a nearby portal and discover its properties. Material Component: A crystal lens and a small mirror.	SOURCEPAGE:PH									
Analyze Touchstone				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=3|Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 minute	RANGE:60 ft.	TARGETAREA:A quarter circle emanating from you to the extreme of the range.	DURATION:Concentration, up to 1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:Find a nearby planar touchstone and discover its properties. Material Components: A crystal lens, a drop of ink, and a piece of paper or parchment.	SOURCEPAGE:PH									
Anarchic Storm				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Chaos|Water	CLASSES:Cleric=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:20-ft. radius, centered on you.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Chaotic-aligned rain falls in 20-ft. Radius. Material Component: A flask of anarchic water (see page 75).	SOURCEPAGE:PH									
Anarchic Water				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Chaos	CLASSES:Cleric=1	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Flask of water touched.	DURATION:Instantaneous	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Makes chaotic-aligned anarchic water. Material Component: 5 pounds of powdered iron and silver (worth 25 gp).	SOURCEPAGE:PH		COST:25							
Astral Hospice				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Teleportation		CLASSES:Cleric=4|Druid=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:See text.	DURATION:1 day/level	SAVEINFO:None	SPELLRES:No	DESC:While on the Astral Plane, open a portal to a demiplane so natural healing can occur. Material Component: A single flawless gemstone of at least 250 gp value.	SOURCEPAGE:PH		COST:250							
Attune Form				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Druid=3|Sorcerer=4|Wizard=4	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One or more living creatures touched.	DURATION:2 hours/level	SAVEINFO:None	SPELLRES:No	DESC:Grant target creature temporary protection against overtly damaging planar traits. Material Component: A bit of stone or earth from your home plane.	SOURCEPAGE:PH									
Avoid Planar Effect				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=2|Druid=2|Sorcerer=3|Wizard=3	COMPS:V	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:One creature/level in a 20-ft.-radius burst centered on you.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Provides temporary protection against overtly damaging planar traits.	SOURCEPAGE:PH									
Axiomatic Storm				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Law|Water	CLASSES:Cleric=3|Paladin=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:20-ft. radius, centered on you.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Lawful-aligned rain falls in 20-ft. Radius. Material Component: A flask of axiomatic water (see page 76).	SOURCEPAGE:PH									
Axiomatic Water				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Law	CLASSES:Cleric=1|Paladin=1	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Flask of water touched.	DURATION:Instantaneous	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Makes lawful-aligned anarchic water. Material Component: 5 pounds of powdered iron and silver (worth 25 gp).	SOURCEPAGE:PH		COST:25							
Babau Slime				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=3|Sorcerer=3|Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 minute/level	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Fortitude negates (harmless) and Reflex negates;See text.	SPELLRES:Yes	DESC:Secrete a body-covering acid that damages foes' weapons. Material Component: A drop of babau slime.	SOURCEPAGE:PH									
Balor Nimbus				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Subject's flaming body damages foes in grapple. Material Component: A pinch of soot.	SOURCEPAGE:PH									
Barghest's Feast				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=6|Sorcerer=7|Wizard=7	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Corpse touched.	DURATION:Instantaneous	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Destroy target corpse, potentially preventing its return to life. Material Component: A diamond worth 5,000 gp.	SOURCEPAGE:PH		COST:5000							
Beastland Ferocity				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Bard=1|Druid=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Subject fi ghts without penalty while disabled or dying.	SOURCEPAGE:PH									
Belker Claws				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Air	CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature or creatures touched (up to one/level).	DURATION:1 round/3 level	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:One touch/level deals 3d4 damage and lingers +1 round/3 levels. Material Component: A small vial of smoke.	SOURCEPAGE:PH									
Bodak's Gaze				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Death|Evil	CLASSES:Cleric=8	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:30 ft.	TARGETAREA:One living creature.	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You slay a creature, which turns into a bodak 24 hours later.	SOURCEPAGE:PH									
Call Kolyarut				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Law	CLASSES:Cleric=7|Sorcerer=7|Wizard=7	COMPS:V, S, DF, XP	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One called kolyarut.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:A kolyarut aids you in punishing an oathbreaker. XP Cost: 250 XP.	SOURCEPAGE:PH			XPCOST:250						
Call Marut				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Law	CLASSES:Cleric=9|Sorcerer=9|Wizard=9	COMPS:V, S, DF, XP	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One called marut.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:A marut aids you in pursuing one seeking to cheat time. XP Cost: 500 XP.	SOURCEPAGE:PH			XPCOST:500						
Call Zelekhut				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Law	CLASSES:Cleric=5|Sorcerer=5|Wizard=5	COMPS:V, S, DF, XP	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One called zelekhut.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:A zelekhut aids you in hunting a fugitive. XP Cost: 100 XP.	SOURCEPAGE:PH			XPCOST:100						
Cloak Pool				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Bard=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One color pool.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless,object)	SPELLRES:No	DESC:Hide a color pool on the Astral Plane from view.	SOURCEPAGE:PH									
Corporeal Instability				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Transform a target creature into an amorphous mass.	SOURCEPAGE:PH									
Death Throes				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Force	CLASSES:Cleric=5|Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level or until you are killed	SAVEINFO:None	SPELLRES:No	DESC:Your body explodes when you die.	SOURCEPAGE:PH									
Demon Dirge				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Living creature.	DURATION:Instantaneous or 1d4 rounds; see text.	SAVEINFO:Fortitude negates or Fortitude partial; see text.	SPELLRES:Yes and no; see text	DESC:Demons are stunned and take 3d6 damage/round for 1d4 rounds.	SOURCEPAGE:PH									
Devil Blight				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Living creature.	DURATION:Instantaneous or 1d6 rounds; see text.	SAVEINFO:None or Will partial; see text.	SPELLRES:Yes and no; see text	DESC:Damage and confuse baatezu; damage other lawful and evil creatures.	SOURCEPAGE:PH									
Discolor Pool				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Bard=2|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One color pool.	DURATION:1 hour/level	SAVEINFO:Will disbelief (if interacted with)	SPELLRES:No (harmless)	DESC:Change the color of a color pool on the Astral Plane. Material Component: Four drops of colored ink.	SOURCEPAGE:PH									
Evil Glare				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil|Fear|Mind-Affecting	CLASSES:Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:Living creature.	DURATION:1 round/level and 1d8 rounds; see text.	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Paralyze creature with your glare.	SOURCEPAGE:PH									
False Gravity				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Travel on a solid surface as if that surface had its own gravity. Material Component: A pair of magnets.	SOURCEPAGE:PH									
Fierce Pride of the Beastlands				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Chaos|Good	CLASSES:Cleric=8|Sorcerer=8|Wizard=8	COMPS:V, S	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:Two or more summoned creatures, no two of which can be more than 30 ft. apart.	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Summon celestial lions and celestial dire lions to follow your commands.	SOURCEPAGE:PH									
Focus Touchstone Energy				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=4|Druid=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Convert unused touchstone abilities into temporary hit points.	SOURCEPAGE:PH									
