SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																														
																																	
# PC Specific Weapon Prof.																																	
Fatemaker Weapon Proficiencies	CATEGORY:Internal	TYPE:WeaponProfFatemaker	VISIBLE:NO	AUTO:WEAPONPROF|Longsword|Rapier|Sap|Sword (Short)|Shortbow|Whip	PREVAREQ:UA_VAR_USEWEAPONGROUP,0																												
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Abyss	CATEGORY:Special Ability	TYPE:SpecialQuality.PlanarDomain	VISIBLE:YES	DESC:Access to Abyss domain.	KEY:Planar Domain ~ Abyss	PREALIGN:CE						BONUS:VAR|AllowDomainPlanarAbyss|1|TYPE=Base																				SOURCEPAGE:PH	
Arborea	CATEGORY:Special Ability	TYPE:SpecialQuality.PlanarDomain	VISIBLE:YES	DESC:Access to Arborea domain.	KEY:Planar Domain ~ Arborea							BONUS:VAR|AllowDomainPlanarArborea|1|TYPE=Base																				SOURCEPAGE:PH	
Baator	CATEGORY:Special Ability	TYPE:SpecialQuality.PlanarDomain	VISIBLE:YES	DESC:Access to Baator domain.	KEY:Planar Domain ~ Baator							BONUS:VAR|AllowDomainPlanarBaator|1|TYPE=Base																				SOURCEPAGE:PH	
Celestia	CATEGORY:Special Ability	TYPE:SpecialQuality.PlanarDomain	VISIBLE:YES	DESC:Access to Celestia domain.	KEY:Planar Domain ~ Celestia							BONUS:VAR|AllowDomainPlanarCelestia|1|TYPE=Base																				SOURCEPAGE:PH	
Elysium	CATEGORY:Special Ability	TYPE:SpecialQuality.PlanarDomain	VISIBLE:YES	DESC:Access to Elysium domain.	KEY:Planar Domain ~ Elysium							BONUS:VAR|AllowDomainPlanarElysium|1|TYPE=Base																				SOURCEPAGE:PH	
Hades	CATEGORY:Special Ability	TYPE:SpecialQuality.PlanarDomain	VISIBLE:YES	DESC:Access to Hades domain.	KEY:Planar Domain ~ Hades							BONUS:VAR|AllowDomainPlanarHades|1|TYPE=Base																				SOURCEPAGE:PH	
Limbo	CATEGORY:Special Ability	TYPE:SpecialQuality.PlanarDomain	VISIBLE:YES	DESC:Access to Limbo domain.	KEY:Planar Domain ~ Limbo							BONUS:VAR|AllowDomainPlanarLimbo|1|TYPE=Base																				SOURCEPAGE:PH	
Mechanus	CATEGORY:Special Ability	TYPE:SpecialQuality.PlanarDomain	VISIBLE:YES	DESC:Access to Mechanus domain.	KEY:Planar Domain ~ Mechanus							BONUS:VAR|AllowDomainPlanarMechanus|1|TYPE=Base																				SOURCEPAGE:PH	
																																	
Animal Companion (Celestial/Ranger)	CATEGORY:Internal	TYPE:AnimalCompanionSelection.AnimalCompanionBase		KEY:Celestial Selection ~ Animal Companion (Ranger)	!PREABILITY:1,CATEGORY=Internal,TYPE.AnimalCompanionAlternate																		COST:0	COMPANIONLIST:Animal Companion|Animal (Badger),Animal (Camel),Dire Animal (Dire Rat),Animal (Dog),Animal (Dog (Riding)),Animal (Eagle),Animal (Hawk),Animal (Horse (Heavy)),Animal (Horse (Light)),Animal (Owl),Animal (Pony),Animal (Porpoise),Animal (Shark),Companion ~ Animal (Snake (Viper/Medium)),Animal (Snake (Viper)),Animal (Squid),RACESUBTYPE=AnimalCompanion	COMPANIONLIST:Animal Companion|Animal (Ape),Animal (Bear/Black),Animal (Bison),Animal (Boar),Animal (Cheetah),Animal (Crocodile),Dire Animal (Dire Badger),Dire Animal (Dire Bat),Animal (Leopard),Animal (Lizard (Monitor)),Companion ~ Animal (Shark (Large)),Animal (Snake (Constrictor)),Companion ~ Animal (Snake (Viper/Large)),Animal (Wolverine)|FOLLOWERADJUSTMENT:-4	COMPANIONLIST:Animal Companion|Animal (Bear/Brown),Animal (Crocodile (Giant)),Animal (Lion),Animal (Rhinoceros),Companion ~ Animal (Snake (Viper/Huge)),Animal (Tiger),Dire Animal (Dire Ape),Dire Animal (Dire Boar),Dire Animal (Dire Wolf),Dire Animal (Dire Wolverine),Dinosaur (Elasmosaurus)|FOLLOWERADJUSTMENT:-7	COMPANIONLIST:Animal Companion|Animal (Bear/Polar),Companion ~ Animal (Shark (Huge)),Companion ~ Animal (Snake (Constrictor/Giant)),Animal (Whale (Orca)),Dire Animal (Dire Lion),Dinosaur (Megaraptor)|FOLLOWERADJUSTMENT:-10	COMPANIONLIST:Animal Companion|Dire Animal (Dire Bear),Animal (Elephant),Animal (Octopus (Giant))|FOLLOWERADJUSTMENT:-13	COMPANIONLIST:Animal Companion|Dire Animal (Dire Shark),Dire Animal (Dire Tiger),Companion ~ Animal (Squid (Giant)),Dinosaur (Triceratops),Dinosaur (Tyrannosaurus)|FOLLOWERADJUSTMENT:-16			SOURCEPAGE:PH	
																																	
Anarchic	CATEGORY:Special Ability	TYPE:WizardClassFeatures.AlignedSpellcasting	VISIBLE:YES	DESC:Chaotic.	KEY:Planar Spellcasting ~ Aligned Spellcasting ~ Anarchic																										SORTKEY:Class_Wizard	SOURCEPAGE:PH	
Axiomatic	CATEGORY:Special Ability	TYPE:WizardClassFeatures.AlignedSpellcasting	VISIBLE:YES	DESC:Lawful.	KEY:Planar Spellcasting ~ Aligned Spellcasting ~ Axiomatic																										SORTKEY:Class_Wizard	SOURCEPAGE:PH	
Celestial	CATEGORY:Special Ability	TYPE:WizardClassFeatures.AlignedSpellcasting	VISIBLE:YES	DESC:Good.	KEY:Planar Spellcasting ~ Alignes Spellcasting ~ Celestial																										SORTKEY:Class_Wizard	SOURCEPAGE:PH	
Fiendish	CATEGORY:Special Ability	TYPE:WizardClassFeatures.AlignedSpellcasting	VISIBLE:YES	DESC:Evil.	KEY:Planar Spellcasting ~ Aligned Spellcasting ~ Fiendish																										SORTKEY:Class_Wizard	SOURCEPAGE:PH	
																																	
Air	CATEGORY:Special Ability	TYPE:ElementalSpellcasting	VISIBLE:YES	DESC:Air.	KEY:Elemental Spellcasting ~ Air								BONUS:CASTERLEVEL|DESCRIPTOR.Air|1																			SOURCEPAGE:PH	
Earth	CATEGORY:Special Ability	TYPE:ElementalSpellcasting	VISIBLE:YES	DESC:Earth.	KEY:Planar Spellcasting ~ Earth								BONUS:CASTERLEVEL|DESCRIPTOR.Earth|1																			SOURCEPAGE:PH	
Fire	CATEGORY:Special Ability	TYPE:ElementalSpellcasting	VISIBLE:YES	DESC:Fire.	KEY:Planar Spellcasting ~ Fire								BONUS:CASTERLEVEL|DESCRIPTOR.Fire|1																			SOURCEPAGE:PH	
