SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																
																																			
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:		
Aasimar			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Native		MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Aasimar										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:PH	KIT:1|Aasimar Stats	
Bariaur			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider			MOVE:Walk,40						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Bariaur										CR:1/2				LEGS:4	HANDS:2	SOURCEPAGE:PH	KIT:1|Bariaur Stats	
Buomman			STARTFEATS:1	SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Extraplanar		MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Buomman										CR:1/2				LEGS:4	HANDS:2	SOURCEPAGE:PH	KIT:1|Buomman Stats	
Mephling (Air)			STARTFEATS:1	SIZE:S	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Extraplanar		MOVE:Walk,30,fly,10	BONUS:COMBAT|AC|1|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Mephling (Air Mephling)				BONUS:STAT|DEX|2		BONUS:STAT|INT|-2		BONUS:STAT|CHA|2		CR:1/2				LEGS:4	HANDS:2	SOURCEPAGE:PH	KIT:1|Mephling (Air Mephling) Stats	
Mephling (Earth)			STARTFEATS:1	SIZE:S	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Extraplanar		MOVE:Walk,30,Burrow,10	BONUS:COMBAT|AC|1|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Mephling (Earth Mephling)			BONUS:STAT|STR|2	BONUS:STAT|DEX|-2		BONUS:STAT|INT|-2		BONUS:STAT|CHA|2		CR:1/2				LEGS:4	HANDS:2	SOURCEPAGE:PH	KIT:1|Mephling (Earth Mephling) Stats	
Mephling (Air)			STARTFEATS:1	SIZE:S	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Extraplanar		MOVE:Walk,30	BONUS:COMBAT|AC|1|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Mephling (Fire Mephling)				BONUS:STAT|DEX|2		BONUS:STAT|INT|-2		BONUS:STAT|CHA|2		CR:1/2				LEGS:4	HANDS:2	SOURCEPAGE:PH	KIT:1|Mephling (Fire Mephling) Stats	
Mephling (Air)			STARTFEATS:1	SIZE:S	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Extraplanar		MOVE:Walk,30	BONUS:COMBAT|AC|1|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Mephling (Water Mephling)					BONUS:STAT|CON|2	BONUS:STAT|INT|-2		BONUS:STAT|CHA|2		CR:1/2				LEGS:4	HANDS:2	SOURCEPAGE:PH	KIT:1|Mephling (Water Mephling) Stats	
Neraph			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider			MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Neraph										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:PH	KIT:1|Neraph Stats	
Shadowswyft			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Extraplanar		MOVE:Walk,40						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Shadowswyft										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:PH	KIT:1|Shadowswyft Stats	
Spiker			STARTFEATS:1	SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Extraplanar		MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Spiker										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:PH	KIT:1|Spiker Stats	
