SOURCELONG:Gozzilioni Core Ruleset	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																	
																																			
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page			
###Block: Epic Feat Great Smiting																																			
Smite	CATEGORY:Special Ability	TYPE:GreatSmite	VISIBLE:YES		KEY:Great Smite ~ Smite	PREABILITY:1,CATEGORY=Special Ability,Smite	BONUS:VAR|SmiteDamage|SmiteLVL	SOURCEPAGE:DMG																											
Smite Evil	CATEGORY:Special Ability	TYPE:GreatSmite	VISIBLE:YES		KEY:Great Smite ~ Smite Evil	PREABILITY:1,CATEGORY=Special Ability,Smite Evil	BONUS:VAR|SmiteEvilDamage|SmiteEvilLVL	SOURCEPAGE:DMG																											
Smite Good	CATEGORY:Special Ability	TYPE:GreatSmite	VISIBLE:YES		KEY:Great Smite ~ Smite Good	PREABILITY:1,CATEGORY=Special Ability,Smite Good	BONUS:VAR|SmiteGoodDamage|SmiteGoodLVL	SOURCEPAGE:DMG																											
																																			
###Block: Abilityes DC linked to ability focus																																			
# Epic DC: base class progress normally																																			
# Epic DC: prestige class progress halved after 10 level	BONUS:VAR|{ability}LVL|min({class}LVL,10)+max(({class}-10)/2,0)|TYPE=Level																																		
Death Attack	CATEGORY:Special Ability	TYPE:SharedAbility	VISIBLE:DISPLAY			DEFINE:DeathAttackDC|0	DEFINE:DeathAttackLVL|0	BONUS:VAR|DeathAttackDC|10+INT|TYPE=Base	BONUS:VAR|DeathAttackDC|min(DeatAttackLVL,10)+max((DeatAttackLVL-10)/2,0)|TYPE=Level	BONUS:VAR|DeathAttackDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Death Attack)																									SOURCEPAGE:DMG
Aura of Chaos	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary.Aura	VISIBLE:YES	DEFINE:AuraChaosLVL|0	DESC:Faint|PREVAREQ:AuraChaosLVL,1	DESC:Moderate|PREVARGTEQ:AuraChaosLVL,2|PREVARLTEQ:AuraChaosLVL,4	DESC:Strong|PREVARGTEQ:AuraChaosLVL,5|PREVARLTEQ:AuraChaosLVL,10	DESC:Overwhelming|PREVARGTEQ:AuraChaosLVL,11	BONUS:VAR|AuraChaosLVL|AlignmentAura|!PREDOMAIN:1,Chaos																										
Aura of Evil	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary.Aura	VISIBLE:YES	DEFINE:AuraEvilLVL|0	DESC:Faint|PREVAREQ:AuraEvilLVL,1	DESC:Moderate|PREVARGTEQ:AuraEvilLVL,2|PREVARLTEQ:AuraEvilLVL,4	DESC:Strong|PREVARGTEQ:AuraEvilLVL,5|PREVARLTEQ:AuraEvilLVL,10	DESC:Overwhelming|PREVARGTEQ:AuraEvilLVL,11	BONUS:VAR|AuraEvilLVL|AlignmentAura|!PREDOMAIN:1,Evil																										
Aura of Good	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary.Aura	VISIBLE:YES	DEFINE:AuraGoodLVL|0	DESC:Faint|PREVAREQ:AuraGoodLVL,1	DESC:Moderate|PREVARGTEQ:AuraGoodLVL,2|PREVARLTEQ:AuraGoodLVL,4	DESC:Strong|PREVARGTEQ:AuraGoodLVL,5|PREVARLTEQ:AuraGoodLVL,10	DESC:Overwhelming|PREVARGTEQ:AuraGoodLVL,11	BONUS:VAR|AuraGoodLVL|AlignmentAura|!PREDOMAIN:1,Good																										
Aura of Law	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary.Aura	VISIBLE:YES	DEFINE:AuraLawLVL|0	DESC:Faint|PREVAREQ:AuraLawLVL,1	DESC:Moderate|PREVARGTEQ:AuraLawLVL,2|PREVARLTEQ:AuraLawLVL,4	DESC:Strong|PREVARGTEQ:AuraLawLVL,5|PREVARLTEQ:AuraLawLVL,10	DESC:Overwhelming|PREVARGTEQ:AuraLawLVL,11	BONUS:VAR|AuraLawLVL|AlignmentAura|!PREDOMAIN:1,Law																										
Bardic Knowledge	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:BardicKnowledge|0	ASPECT:NAME|Bardic Knowledge +%1|BardicKnowledge																														
Death Touch	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack.Supernatural	VISIBLE:YES	DESC:%1/day, melee touch attack, %2d6 points of damage. If the total at least equals creature's current hit points, it dies|DeathTouchTimes|DeathTouch				DEFINE:DeathTouchTimes|0	DEFINE:DeathTouch|0																										
Defensive Stance	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:DefensiveStanceTimes|0	DEFINE:DefensiveStanceLVL|0	DEFINE:DefensiveStanceDuration|0	DEFINE:DefensiveStanceConBonus|0	DEFINE:DefensiveStanceStrBonus|0	DEFINE:DefensiveStanceACBonus|0	DEFINE:DefensiveStanceMorale|0	DEFINE:DefensiveStance|0	DEFINE:DefensiveStanceBonus|0	DESC:%1 times/day (%2 rounds)|DefensiveStanceTimes|DefensiveStanceDuration|PREVARGT:DefensiveStanceTimes,0	DESC:Bonuses when in defensive stance (STR +%1, CON +%2, saves +%3, AC %4, HP %5)|DefensiveStanceStrBonus|DefensiveStanceConBonus|DefensiveStanceMorale|DefensiveStanceACBonus|(DefensiveStanceConBonus/2)*TL	BONUS:VAR|DefensiveStanceBonus|4	BONUS:VAR|DefensiveStanceDuration|CON+3+(DefensiveStanceConBonus/2)	BONUS:VAR|DefensiveStanceConBonus|DefensiveStanceBonus	BONUS:VAR|DefensiveStanceStrBonus|DefensiveStanceBonus/2	BONUS:VAR|DefensiveStanceACBonus|DefensiveStanceBonus	BONUS:VAR|DefensiveStanceMorale|DefensiveStanceBonus/2	TEMPDESC:Defensive Stance (STR +%1, CON +%2, saves +%3, AC +%4, HP %5)|DefensiveStanceStrBonus|DefensiveStanceConBonus|DefensiveStanceMorale|DefensiveStanceACBonus|(DefensiveStanceConBonus/2)*TL	TEMPBONUS:PC|SAVE|ALL|DefensiveStanceMorale	TEMPBONUS:PC|COMBAT|AC|DefensiveStanceACPenalty	TEMPBONUS:PC|STAT|CON|DefensiveStanceConBonus	TEMPBONUS:PC|STAT|STR|DefensiveStanceStrBonus	TEMPBONUS:PC|VAR|DefensiveStanceDuration|-(DefensiveStanceConBonus/2)	TEMPBONUS:PC|VAR|DefensiveStance|1								
