SOURCELONG:Core Ruleset	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																							
Default	CATEGORY:Internal																																																																																																																																																																																																																																																																																																																						
CATEGORY=Internal|Default.MOD	DEFINE:UseFractionalBAB|0	DEFINE:ClassBABPoor|0	DEFINE:ClassBABAverage|0	DEFINE:ClassBABGood|0
CATEGORY=Internal|Default.MOD	DEFINE:DefaultSpellDCCha|0	BONUS:VAR|DefaultSpellDCCha|10+CHA|TYPE=Base																																																																																																																																																																																																																																																																																																																					
CATEGORY=Internal|Default.MOD	DEFINE:DefaultSpellDCWis|0	BONUS:VAR|DefaultSpellDCWis|10+WIS|TYPE=Base																																																																																																																																																																																																																																																																																																																					
CATEGORY=Internal|Default.MOD	DEFINE:DefaultSpellDCInt|0	BONUS:VAR|DefaultSpellDCInt|10+INT|TYPE=Base																																																																																																																																																																																																																																																																																																																					
CATEGORY=Internal|Default.MOD	DEFINE:DefaultDCStr|0	BONUS:VAR|DefaultDCStr|10+(HD/2)+STR|TYPE=Base																																																																																																																																																																																																																																																																																																																					
CATEGORY=Internal|Default.MOD	DEFINE:DefaultDCCon|0	BONUS:VAR|DefaultDCCon|10+(HD/2)+CON|TYPE=Base																																																																																																																																																																																																																																																																																																																					
CATEGORY=Internal|Default.MOD	DEFINE:DefaultDCInt|0	BONUS:VAR|DefaultDCInt|10+(HD/2)+INT|TYPE=Base																																																																																																																																																																																																																																																																																																																					
CATEGORY=Internal|Default.MOD	DEFINE:DefaultDCWis|0	BONUS:VAR|DefaultDCWis|10+(HD/2)+WIS|TYPE=Base																																																																																																																																																																																																																																																																																																																					
CATEGORY=Internal|Default.MOD	DEFINE:DefaultDCCha|0	BONUS:VAR|DefaultDCCha|10+(HD/2)+CHA|TYPE=Base																																																																																																																																																																																																																																																																																																																					
CATEGORY=Internal|Default.MOD	DEFINE:EpicCharacter|0	BONUS:VAR|EpicCharacter|1|TYPE=Base|PRELEVEL:MIN=21
#																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:HasElvenBlood|0																																																																																																																																																																																																																																																																																																																						
CATEGORY=Internal|Default.MOD	DEFINE:HasOrcBlood|0																																																																																																																																																																																																																																																																																																																						
CATEGORY=Internal|Default.MOD	DEFINE:HasGiantBlood|0																																																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:BypassMultiattackRequisite|0																																																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	DEFINE:FightingDefensivelyAC|0	DEFINE:FightingDefensivelyACBonus|0	DEFINE:FightingDefensivelyPenalty|0	BONUS:VAR|FightingDefensivelyPenalty|4|TYPE=Base																																																																																																																																																																																																																																																																																																																			
CATEGORY=Internal|Default.MOD	DEFINE:TotalDefenseAC|0	DEFINE:TotalDefenseACBonus|0	DEFINE:TwoWeaponShield|0																																																																																																																																																																																																																																																																																																																				
CATEGORY=Internal|Default.MOD	DEFINE:BardingAllowed|0	BONUS:VAR|BardingAllowed|1|TYPE=Base|PRERACE:1,RACESUBTYPE=Mount																																																																																																																																																																																																																																																																																																																					

CATEGORY=Internal|Default.MOD	DEFINE:ExtraRageTimes|0	DEFINE:ExtraRageDuration|0	DEFINE:ExtraRageBonus|0	DEFINE:AllTirelessRage|0
CATEGORY=Internal|Default.MOD	DEFINE:ExtraSmiteTimes|0

CATEGORY=Internal|Default.MOD	DEFINE:AC_Natural_Armor|0	BONUS:COMBAT|AC|max(AC_Natural_Armor,0)|TYPE=NaturalArmor

# All Hidden Abilities ~ Granted Abilities:																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	ABILITY:Internal|AUTOMATIC|Defines Required																																																																																																																																																																																																																																																																																																																						
Defines Required	CATEGORY:Internal																																																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																																							
CATEGORY=Internal|Default.MOD	ABILITY:Internal|AUTOMATIC|Creature Type|PRERACE:1,%																																																																																																																																																																																																																																																																																																																						
Creature Type	CATEGORY:Internal	TYPE:Internal	VISIBLE:NO	TEMPLATE:Base Race Type																																																																																																																																																																																																																																																																																																																			
###Block: Augmented Subtypes																																																																																																																																																																																																																																																																																																																							
#Augmented Subtype: A creature receives this subtype whenever something happens to change its original type.																																																																																																																																																																																																																																																																																																																							
#The augmented subtype is always paired with the creature's original type.																																																																																																																																																																																																																																																																																																																							
#For example, a wizard's raven familiar is a magical beast (augmented animal).																																																																																																																																																																																																																																																																																																																							
#A creature with the augmented subtype usually has the _traits_ of its current type, but the _features_ of its original type.																																																																																																																																																																																																																																																																																																																							
#For example, a wizard's raven familiar has an animal's features and the traits of a magical beast.																																																																																																																																																																																																																																																																																																																							
# Ability Name			Category of Ability	Type										Template																																																																																																																																																																																																																																																																																																									
Augmented Aberration		CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeAberration		TEMPLATE:RaceSubtype ~ Augmented Aberration																																																																																																																																																																																																																																																																																																																	
Augmented Abomination		CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeAbomination		TEMPLATE:RaceSubtype ~ Augmented Abomination																																																																																																																																																																																																																																																																																																																	
Augmented Animal			CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeAnimal			TEMPLATE:RaceSubtype ~ Augmented Animal																																																																																																																																																																																																																																																																																																															
Augmented Construct		CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeConstruct			TEMPLATE:RaceSubtype ~ Augmented Construct																																																																																																																																																																																																																																																																																																																
Augmented Deathless			CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeDeathless			TEMPLATE:RaceSubtype ~ Augmented Deathless																																																																																																																																																																																																																																																																																																															
Augmented Dragon			CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeDragon			TEMPLATE:RaceSubtype ~ Augmented Dragon																																																																																																																																																																																																																																																																																																															
Augmented Elemental		CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeElemental			TEMPLATE:RaceSubtype ~ Augmented Elemental																																																																																																																																																																																																																																																																																																																
Augmented Fey			CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeFey				TEMPLATE:RaceSubtype ~ Augmented Fey																																																																																																																																																																																																																																																																																																														
Augmented Giant			CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeGiant			TEMPLATE:RaceSubtype ~ Augmented Giant																																																																																																																																																																																																																																																																																																															
Augmented Humanoid		CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeHumanoid			TEMPLATE:RaceSubtype ~ Augmented Humanoid																																																																																																																																																																																																																																																																																																																
Augmented Magical Beast		CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeMagicalBeast		TEMPLATE:RaceSubtype ~ Augmented Magical Beast																																																																																																																																																																																																																																																																																																																	
Augmented Monstrous Humanoid	CATEGORY:Internal		TYPE:AugmentedSubType.AugmentedSubTypeMonstrousHumanoid	TEMPLATE:RaceSubtype ~ Augmented Monstrous Humanoid																																																																																																																																																																																																																																																																																																																			
