SOURCELONG:Manual of the Planes 3.0	SOURCESHORT:MotP30	SOURCEWEB:http://www.gozzilioni.net																															
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:HalfElementalAirRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Half-Elemental Air ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Obscuring Mist|PRELEVEL:MIN=1|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Wind Wall|PRELEVEL:MIN=3|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Gaseous Form|PRELEVEL:MIN=5|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Air Walk|PRELEVEL:MIN=7|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Control Winds|PRELEVEL:MIN=9|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Chain Lightning,16+CHA|PRELEVEL:MIN=11|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Control Weather|PRELEVEL:MIN=13|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Whirlwind|PRELEVEL:MIN=15|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Elemental Swarm ~ Air only|PRELEVEL:MIN=17|PRESTAT:1,INT=8,WIS=8	SOURCEPAGE:MotP30	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Plane Shift|PRELEVEL:MIN=19|PRESTAT:1,INT=8,WIS=8
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:HalfElementalFireRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Half-Elemental Fire ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Magic Stone|PRELEVEL:MIN=1|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Soften Earth and Stone|PRELEVEL:MIN=3|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Stone Shape|PRELEVEL:MIN=5|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Spike Stones|PRELEVEL:MIN=7|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Wall of Stone|PRELEVEL:MIN=9|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Stoneskin|PRELEVEL:MIN=11|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Earthquake|PRELEVEL:MIN=13|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Iron Body|PRELEVEL:MIN=15|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Elemental Swarm ~ Earth only|PRELEVEL:MIN=17|PRESTAT:1,INT=8,WIS=8	SOURCEPAGE:MotP30	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Plane Shift|PRELEVEL:MIN=19|PRESTAT:1,INT=8,WIS=8
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:HalfElementalEarthRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Half-Elemental Earth ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Burning Hands,11+CHA|PRELEVEL:MIN=1|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Produce Flame|PRELEVEL:MIN=3|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Flaming Sphere|PRELEVEL:MIN=5|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Wall of Fire|PRELEVEL:MIN=7|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Fire Shield|PRELEVEL:MIN=9|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Fire Seeds|PRELEVEL:MIN=11|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Fire Storm|PRELEVEL:MIN=13|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Incendiary Cloud|PRELEVEL:MIN=15|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Elemental Swarm ~ Fire only|PRELEVEL:MIN=17|PRESTAT:1,INT=8,WIS=8	SOURCEPAGE:MotP30	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Plane Shift|PRELEVEL:MIN=19|PRESTAT:1,INT=8,WIS=8
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:HalfElementalWaterRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Half-Elemental Water ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Obscuring Mist|PRELEVEL:MIN=1|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Fog Cloud|PRELEVEL:MIN=3|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Water Breathing|PRELEVEL:MIN=5|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Control Water|PRELEVEL:MIN=7|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Ice Storm,14+CHA|PRELEVEL:MIN=9|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Cone of Cold,15+CHA|PRELEVEL:MIN=11|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Acid Fog|PRELEVEL:MIN=13|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Horrid Wilting|PRELEVEL:MIN=15|PRESTAT:1,INT=8,WIS=8	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Elemental Swarm ~ Water only|PRELEVEL:MIN=17|PRESTAT:1,INT=8,WIS=8	SOURCEPAGE:MotP30	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Plane Shift|PRELEVEL:MIN=19|PRESTAT:1,INT=8,WIS=8
Shadow Blend	CATEGORY:Special Ability	TYPE:ShadowCreatureRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:In any conditions other than full daylight, a shadow creature can disappear into the shadows, giving it total concealment. Artificial illumination, even a light or continual flame spell, does not negate this ability. A daylight spell, however, will.	KEY:Shadow Creature ~ Shadow Blend																											SOURCEPAGE:MotP30	
+2 Luck Bonus	CATEGORY:Special Ability	TYPE:ShadowCreatureQuality.SpecialQuality.Supernatural	VISIBLE:YES	DESC:+2 luck bonus on all saving throws	KEY:Shadow Creature ~ Luck Bonus									BONUS:SAVE|ALL|2|TYPE=Luck																		SOURCEPAGE:MotP30	
Cause Fear	CATEGORY:Special Ability	TYPE:ShadowCreatureQuality.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Shadow Creature ~ Cause Fear																		SPELLS:Innate|TIMES=1|CASTERLEVEL=5|Cause Fear,11+CHA									SOURCEPAGE:MotP30	
Damage Reduction	CATEGORY:Special Ability	TYPE:ShadowCreatureQuality.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Shadow Creature ~ Damage Reduction				DEFINE:ShadowDR|0					BONUS:VAR|ShadowDR|5									DR:ShadowDR/Magic									SOURCEPAGE:MotP30	
Evasion	CATEGORY:Special Ability	TYPE:ShadowCreatureQuality.SpecialQuality.Supernatural.Evasion	VISIBLE:YES	DESC:as the rogue class feature.	KEY:Shadow Creature ~ Evasion																											SOURCEPAGE:MotP30	
Mirror Image	CATEGORY:Special Ability	TYPE:ShadowCreatureQuality.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Shadow Creature ~ Mirror Image																		SPELLS:Innate|TIMES=1|CASTERLEVEL=5|Mirror Image									SOURCEPAGE:MotP30	
