SOURCELONG:Manual of the Planes 3.0	SOURCESHORT:MotP30	SOURCEWEB:http://www.gozzilioni.net																																
																																		
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
																																		
#																																		
Deity's Simple Weapon Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialQuality	VISIBLE:YES	DESC:You understand how to use %1|%LIST															STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|DEITYWEAPON	SELECT:1	AUTO:WEAPONPROF|%LIST									SOURCEPAGE:MotP30		
###Block: Favored Planes																																		
Favored Plane - Ethereal	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusEthereal	KEY:Favored Plane ~ Ethereal	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusEthereal|0					BONUS:VAR|FavoredPlaneBonusEthereal|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusEthereal|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusEthereal
Favored Plane - Astral	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusAstral	KEY:Favored Plane ~ Astral	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusAstral|0					BONUS:VAR|FavoredPlaneBonusAstral|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusAstral|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusAstral
Favored Plane - Shadow	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusShadow	KEY:Favored Plane ~ Shadow	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusShadow|0					BONUS:VAR|FavoredPlaneBonusShadow|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusShadow|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusShadow
Favored Plane - Air	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusAir	KEY:Favored Plane ~ Air	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusAir|0					BONUS:VAR|FavoredPlaneBonusAir|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusAir|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusAir
Favored Plane - Earth	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusEarth	KEY:Favored Plane ~ Earth	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusEarth|0					BONUS:VAR|FavoredPlaneBonusEarth|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusEarth|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusEarth
Favored Plane - Fire	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusFire	KEY:Favored Plane ~ Fire	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusFire|0					BONUS:VAR|FavoredPlaneBonusFire|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusFire|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusFire
