SOURCELONG:Manual of the Planes 3.0	SOURCESHORT:MotP30	SOURCEWEB:http://www.gozzilioni.net
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Divine agents are proficient with all simple weapons, and with all types of armor. Furthermore, a divine agent gains proficiency with her deity's favored weapon, if she does not already have it.	KEY:Divine Agent ~ Weapon and Armor Proficiency									BONUS:ABILITYPOOL|Deity's Weapon Proficiency Choice|1									ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy							SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP30
Spells per day	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A divine agent continues training in magic as well as gaining power from her deity. At 2nd, 4th, 6th, 8th, and 10th level, the divine agent gains new spells per day as if she had also gained a level in whatever spellcasting class she belonged to before she added the prestige class. She does not, however, gain any other benefit a character of that class would have gained. This essentially means that she adds the level of divine agent to the level of whatever other spellcasting class the character has, then determines spells per day accordingly. If a character had more than one spellcasting class before she became a divine agent, she must decide to which class she adds each level of divine agent for the purposes of determining spells per day when she adds the new level.	KEY:Divine Agent ~ Spells per day																										SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP30
Granted Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A divine agent gains access to one domain chosen from among those her deity offers, and with it the granted power of that domain. Divine agents who were once clerics essentially gain a third domain this way and can prepare their domain spells at each level from the new domain's list if they wish. No matter what their prior class was, divine agents gain the granted power of the domain they choose. In cases where the granted ability relies on cleric levels or allows turning or rebuking, use the sum of a character's cleric and divine  agent levels to determine the ability's effect.	KEY:Divine Agent ~ Granted Domain									BONUS:DOMAIN|NUMBER|1																	SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP30
Contact	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A divine agent of 2nd level or higher may be contacted mentally by her deity or its agents, usually to impart particular knowledge and orders to the divine agent. This contact only functions one way; the divine agent cannot initiate the contact, question the orders, or ask for clarifications. The nature of the contact depends on the deity: Dreams, ghostly visions, and illuminations from above are all possibilities. Contact from the deity rarely interrupts the divine agent's normal actions.	KEY:Divine Agent ~ Contact																										SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP30
Menacing Aura	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a divine agent gains the ability to generate an intangible, invisible aura of menace that weakens hostile creatures within a 20-foot radius. Anyone about to attack the divine agent must attempt a Will save (DC = the divine agent's character level). Those who fail the saving throw suffer a -2 morale penalty on attacks, checks, and saves for one full day or until they successfully damage the divine agent generating the aura. A creature that made its initial save or damaged the divine agent is immune to that divine agent's aura for one day.	KEY:Divine Agent ~ Menacing Aura																										SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP30
Godly Gift	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 3rd, 6th, and 9th levels, the deity bestows on the divine agent a gift. Each deity's gift varies, but it is usually the ability to use a spell from one of the divine agent's domains as a spell-like ability. The deity offers a spell of the divine agent's level or lower. In other words, a 3rd- evel divine agent would gain one of her 1st-level, 2nd-level, or 3rd-level domain spells as a spell-like ability. The divine agent may use this ability once per day. The spell-like ability functions as a spell cast by a cleric of a level equal to the divine agent's character level.	KEY:Divine Agent ~ Godly Gift																										SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP30
Altered Appearance	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level, a divine agent begins to show prominent physical modification to match the desires of her deity. For good-aligned deities, this often takes the form of golden skin, hair, or eyes. Divine agents of evil-aligned deities might gain horns, antlers, or a pointed tail. Neutral deities may provide a copper or silver tone to the skin, while nature deities may cause a greenish pallor and barklike hair. Elemental powers may alter their divine agents' appearance by giving a texture to the skin reflecting the element involved. All such alterations are permanent, though disguise or spells may hide them.	KEY:Divine Agent ~ Altered Appearance																										SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP30
Commune	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Divine Agent ~ Commune																		SPELLS:Innate|TIMES=1|TIMEUNIT=Week|CASTERLEVEL=DivineAgentLVL|Commune								SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP30
Plane Shift to Deity's Plane	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Divine Agent ~ Plane Shift to Deity's Plane																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DivineAgentLVL|Plane Shift ~ Deity's plane								SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP30
Plane Shift to Any Plane	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Divine Agent ~ Plane Shift to Any Plane																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DivineAgentLVL|Plane Shift								SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP30
