SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-10											
														
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE			
# Class Name	Requirements	FINE												
# Class Name	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE					
# Class Name	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)									
#(level number)	ADD:SPELLCASTER o CAST	AUTO:WEAPONPROF	(FEATAUTO)	ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|	(DOMAIN)	(BONUS)			(DEFINE)				
CLASS:Cancer Mage	HD:6	TYPE:Prestige	FACT:Abb|CaM	MAXLEVEL:NOLIMIT	SOURCEPAGE:BoVD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:CancerMageLVL|0	BONUS:VAR|CancerMageLVL|CL	BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Cancer Mage	PREALIGN:LE,NE,CE	PRECHECKBASE:1,Fortitude=5	PRESKILL:1,Heal=3	PRESKILL:2,Hide=6,Move Silently=6	PRESKILL:1,Knowledge (Nature)=2	PREABILITY:3,CATEGORY=FEAT,Great Fortitude,Poison Immunity,Toughness	PRETEXT:The cancer mage must have fallen victim to the ravages of a disease and must have taken damage from a poison.							
CLASS:Cancer Mage	STARTSKILLPTS:6	CSKILL:Craft (Alchemy)|Balance|Bluff|Climb|TYPE.Craft|Disable Device|Disguise|Escape Artist|Gather Information|Heal|Hide|Intimidate|Survival|Jump|Knowledge (Nature)|Listen|Move Silently|Sleight of Hand|TYPE.Profession|Ride|Search|Sense motive|Spot|Swim|Tumble|Use Rope												
1				ABILITY:Cancer Mage Class Feature|AUTOMATIC|Cancer Mage ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.CancerMageProficiencies										
#														
1				ABILITY:Cancer Mage Class Feature|AUTOMATIC|Cancer Mage ~ Sneak Attack|!PREABILITY:1,CATEGORY=ACF,TYPE.CancerMageSneakAttack										
1				ABILITY:Cancer Mage Class Feature|AUTOMATIC|Cancer Mage ~ Disease Host|!PREABILITY:1,CATEGORY=ACF,TYPE.CancerMageDiseaseHost										
2				ABILITY:Cancer Mage Class Feature|AUTOMATIC|Cancer Mage ~ Contagion|!PREABILITY:1,CATEGORY=ACF,TYPE.CancerMageContagion										
2				ABILITY:Cancer Mage Class Feature|AUTOMATIC|Cancer Mage ~ Cancerous Companion|!PREABILITY:1,CATEGORY=ACF,TYPE.CancerMageCancerousCompanion										
3				ABILITY:Cancer Mage Class Feature|AUTOMATIC|Cancer Mage ~ Tatterdemalion|!PREABILITY:1,CATEGORY=ACF,TYPE.CancerMageTatterdemalion										
4				ABILITY:Cancer Mage Class Feature|AUTOMATIC|Cancer Mage ~ Children of the Night|!PREABILITY:1,CATEGORY=ACF,TYPE.CancerMageChildrenOfTheNight										
5				ABILITY:Cancer Mage Class Feature|AUTOMATIC|Cancer Mage ~ Viral Agent|!PREABILITY:1,CATEGORY=ACF,TYPE.CancerMageViralAgent										
6				ABILITY:Cancer Mage Class Feature|AUTOMATIC|Cancer Mage ~ Infected Wound|!PREABILITY:1,CATEGORY=ACF,TYPE.CancerMageInfectedWound										
8				ABILITY:Cancer Mage Class Feature|AUTOMATIC|Cancer Mage ~ Viral Ally|!PREABILITY:1,CATEGORY=ACF,TYPE.CancerMageViralAlly										
10				ABILITY:Cancer Mage Class Feature|AUTOMATIC|Cancer Mage ~ Disease Form|!PREABILITY:1,CATEGORY=ACF,TYPE.CancerMageDiseaseForm										
#														
11	PREPCLEVEL:MIN=20													
														
CLASS:Demonologist	HD:4	TYPE:Prestige	FACT:Abb|Dem	MAXLEVEL:NOLIMIT	SOURCEPAGE:BoVD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:DemonologistLVL|0	BONUS:VAR|DemonologistLVL|CL	BONUS:VAR|ClassBABPoor|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Demonologist	PREALIGN:CE	PRESKILL:1,Knowledge (Arcana)=4	PRESKILL:1,Knowledge (The Planes)=8	PREABILITY:3,CATEGORY=FEAT,Evil Brand,Sacrifical Mastery,Malign Spell Focus	 PRESPELLSCHOOL:1,Conjuration=3	PRESPELLSCHOOL:6,Conjuration=1								
CLASS:Demonologist	STARTSKILLPTS:4	CSKILL:Craft (Alchemy)|Bluff|Concentration|Decipher Script|Forgery|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Knowledge (Religion)|Ride|Sense Motive|Spellcraft												
CLASS:Demonologist	SPELLSTAT:CHA	FACT:SpellType|Arcane	MEMORIZE:NO											
1	CAST:0,1													
2	CAST:0,1,1													
3	CAST:0,2,1,1													
4	CAST:0,2,2,1,1													
5	CAST:0,3,2,2,1													
6	CAST:0,3,3,2,2													
7	CAST:0,3,3,3,2													
8	CAST:0,4,3,3,3													
9	CAST:0,4,4,3,3													
10	CAST:0,4,4,4,3													
#														
1				ABILITY:Demonologist Class Feature|AUTOMATIC|Demonologist ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.DemonologistProficiencies										
1				ABILITY:Demonologist Class Feature|AUTOMATIC|Demonologist ~ Spells										
#														
1				ABILITY:Demonologist Class Feature|AUTOMATIC|Demonologist ~ Charm Demon|!PREABILITY:1,CATEGORY=ACF,TYPE.DemonologistCharmDemon										
2				ABILITY:Demonologist Class Feature|AUTOMATIC|Demonologist ~ Quasit Familiar|!PREABILITY:1,CATEGORY=ACF,TYPE.DemonologistQuasitFamiliar										
3				ABILITY:Demonologist Class Feature|AUTOMATIC|Demonologist ~ Summoning Mastery|!PREABILITY:1,CATEGORY=ACF,TYPE.DemonologistSummoningMastery										
4				ABILITY:Demonologist Class Feature|AUTOMATIC|Demonologist ~ Resistances|!PREABILITY:1,CATEGORY=ACF,TYPE.DemonologistResistances										
5				ABILITY:Demonologist Class Feature|AUTOMATIC|Demonologist ~ Poison Immunity|!PREABILITY:1,CATEGORY=ACF,TYPE.DemonologistPoisonImmunity										
7				ABILITY:Demonologist Class Feature|AUTOMATIC|Demonologist ~ Hold Demon|!PREABILITY:1,CATEGORY=ACF,TYPE.DemonologistHoldDemon										
8				ABILITY:Demonologist Class Feature|AUTOMATIC|Demonologist ~ Telepathy|!PREABILITY:1,CATEGORY=ACF,TYPE.DemonologistTelepathy										
10				ABILITY:Demonologist Class Feature|AUTOMATIC|Demonologist ~ Dominate Demon|!PREABILITY:1,CATEGORY=ACF,TYPE.DemonologistDominateDemon										
#														
11	PREPCLEVEL:MIN=20													
														
