SOURCELONG:Monster Manual	SOURCESHORT:MM1	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07
																																			
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page			
#Celestial Template																																			
Smite Evil	CATEGORY:Special Ability	TYPE:CelestialRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day a celestial creature can make a normal melee attack to deal extra damage equal to its HD (maximum of +20) against an evil foe.	KEY:Celestial ~ Smite Evil									BONUS:VAR|SmiteEvilDamage|min(HD,20)	BONUS:VAR|SmiteEvil|1								ABILITY:Special Ability|AUTOMATIC|Smite Evil									SOURCEPAGE:MM1			
Natural Weapons	CATEGORY:Special Ability	TYPE:CelestialRaceTrait.SpecialQuality	VISIBLE:YES	DESC:If a celestial creature gains damage reduction, its natural weapons are treated as magic weapons for the purpose of overcoming damage reduction.	KEY:Celestial ~ Natural Weapons																											SOURCEPAGE:MM1			
																																			
#Fiendish Template																																			
Smite Good	CATEGORY:Special Ability	TYPE:FiendishRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day the creature can make a normal melee attack to deal extra damage equal to its HD total (maximum of +20) against a good foe.	KEY:Fiendish ~ Smite Good									BONUS:VAR|SmiteGoodDamage|min(HD,20)	BONUS:VAR|SmiteGood|1								ABILITY:Special Ability|AUTOMATIC|Smite Good									SOURCEPAGE:MM1			
Natural Weapons	CATEGORY:Special Ability	TYPE:FiendishRaceTrait.SpecialQuality	VISIBLE:YES	DESC:If a Fiendish creature gains damage reduction, its natural weapons are treated as magic weapons for the purpose of overcoming damage reduction.	KEY:Fiendish ~ Natural Weapons																											SOURCEPAGE:MM1			
																																			
#Ghost Template																																			
1 Special Attack	CATEGORY:Special Ability	TYPE:GhostNumberSpecialAttack	VISIBLE:DISPLAY	DESC:1 special attack	KEY:Ghost ~ Special Attack ~ 1									BONUS:ABILITYPOOL|Ghost Ability|1																		SOURCEPAGE:MM1			
2 Special Attack	CATEGORY:Special Ability	TYPE:GhostNumberSpecialAttack	VISIBLE:DISPLAY	DESC:2 special attack	KEY:Ghost ~ Special Attack ~ 2									BONUS:ABILITYPOOL|Ghost Ability|2																		SOURCEPAGE:MM1			
3 Special Attack	CATEGORY:Special Ability	TYPE:GhostNumberSpecialAttack	VISIBLE:DISPLAY	DESC:3 special attack	KEY:Ghost ~ Special Attack ~ 3									BONUS:ABILITYPOOL|Ghost Ability|3																		SOURCEPAGE:MM1			
Manifestation	CATEGORY:Special Ability	TYPE:GhostRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Every ghost has this ability. A ghost dwells on the Ethereal Plane and, as an ethereal creature, it cannot affect or be affected by anything in the material world. When a ghost manifests, it partly enters the Material Plane and becomes visible but incorporeal on the Material Plane. A manifested ghost can be harmed only by other incorporeal creatures, magic weapons, or spells, with a 50%% chance to ignore any damage from a corporeal source. A manifested ghost can pass through solid objects at will, and its own attacks pass through armor. A manifested ghost always moves silently.	KEY:Ghost ~ Manifestation																											SOURCEPAGE:MM1			
