SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																														
																																																	
# Ability Name	CATEGORY:	TYPE:	TYPE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page																	
###Block: Race Subtype Traits																																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Angel Traits|PRERACE:1,RACESUBTYPE=Angel																																																
Angel Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility	ABILITY:Special Ability|AUTOMATIC|Angel ~ Protective Aura|Angel ~ Tongues|Immunity To Acid|Immunity To Cold|Immunity To Petrification|Resistance To Electricity|Resistance To Fire|Resistance To Poison											BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	BONUS:VAR|ElectricityResistanceBonus|10|TYPE=Resistance	BONUS:VAR|FireResistanceBonus|10|TYPE=Resistance	BONUS:VAR|PoisonResistanceBonus|4|TYPE=Racial														SOURCEPAGE:MM																	
Protective Aura	CATEGORY:Special Ability	TYPE:AngelSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Against attacks made or effects created by evil creatures, this ability provides a +4 deflection bonus to AC and a +4 resistance bonus on saving throws to anyone within 20 feet of the angel. Otherwise, it functions as a magic circle against evil effect and a lesser globe of invulnerability, both with a radius of 20 feet (caster level equals angel's HD). This aura can be dispelled, but the angel can create it again as a free action on its next turn. (The defensive benefits from the circle are not included in an angel's statistics block.)	KEY:Angel ~ Protective Aura									TEMPBONUS:ANYPC|COMBAT|AC|4|TYPE=Deflection	TEMPBONUS:ANYPC|SAVE|ALL|4|TYPE=Resistance																	SOURCEPAGE:MM																	
Tongues	CATEGORY:Special Ability	TYPE:AngelSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:All angels can speak with any creature that has a language, as though using a Tongues spell (caster level equal to angel's Hit Dice). This ability is always active.	KEY:Angel ~ Tongues																											SOURCEPAGE:MM																	
																																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Animated Object Traits|PRERACE:1,RACESUBTYPE=Animated Object																																																
Animated Object Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility		DESC:An animated object can have one or more of the special abilities, depending on its form.										BONUS:ABILITYPOOL|Animated Object Move|1																		SOURCEPAGE:MM																	
																																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Archon Traits|PRERACE:1,RACESUBTYPE=Archon																																																
