SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																																														
																																																																	
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	MOVE:	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								MONCSKILL:	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS:	RACETYPE:	RACESUBTYPE:	TYPE:	Template			Hit Dice	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	CR:	SOURCEPAGE:	Innate Spells	
Aboleth			STARTFEATS:1	SIZE:H	MOVE:Walk,10,Swim,60	FACE:15	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Concentration|TYPE=Knowledge|Listen|Spot|Swim									LEGS:0	HANDS:4				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Aboleth									MONSTERCLASS:Aberration:8	RACETYPE:Aberration	RACESUBTYPE:Aquatic	TYPE:Aberration					HITDICEADVANCEMENT:16,24		CR:7	SOURCEPAGE:MM		
Achaierai			STARTFEATS:1	SIZE:L	MOVE:Walk,50	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|10|TYPE=NaturalArmor						BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|4		BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Balance|Climb|Diplomacy|Hide|Jump|Listen|Move Silently|Sense Motive|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Achaierai						SR:19			MONSTERCLASS:Outsider:6	RACETYPE:Outsider	RACESUBTYPE:Evil|Extraplanar|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:12,18		CR:5	SOURCEPAGE:MM		
Allip			STARTFEATS:1	SIZE:M	MOVE:Fly,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|NE										BONUS:STAT|DEX|2				BONUS:STAT|CHA|8			MONCSKILL:Hide|Intimidate|Listen|Search|Spot|Survival									LEGS:0	HANDS:2				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Touch,*1,0,SPROP=Wisdom Drain		ABILITY:Internal|AUTOMATIC|Race Traits ~ Allip									MONSTERCLASS:Undead:4	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead					HITDICEADVANCEMENT:12		CR:3	SOURCEPAGE:MM		
Angel (Astral Deva)	OUTPUTNAME:Angel, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,50,Fly,100	FACE:5	REACH:5			KIT:1|LG|NG|CG			BONUS:COMBAT|AC|15|TYPE=NaturalArmor						BONUS:STAT|STR|12	BONUS:STAT|DEX|8	BONUS:STAT|CON|8	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|10			MONCSKILL:Concentration|TYPE=Craft|TYPE=Knowledge|Diplomacy|Escape Artist|Hide|Intimidate|Listen|Move Silently|Sense Motive|Spot|Use Rope									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Bludgeoning,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Angel (Astral Deva)						SR:30	DR:10/Evil		MONSTERCLASS:Outsider:12	RACETYPE:Outsider	RACESUBTYPE:Angel|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:18,36	LEVELADJUSTMENT:8	CR:14	SOURCEPAGE:MM		
Angel (Planetar)	OUTPUTNAME:Angel, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,90	FACE:10	REACH:10			KIT:1|LG|NG|CG			BONUS:COMBAT|AC|19|TYPE=NaturalArmor						BONUS:STAT|STR|14	BONUS:STAT|DEX|8	BONUS:STAT|CON|10	BONUS:STAT|INT|12	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12			MONCSKILL:Concentration|TYPE=Craft|TYPE=Knowledge|Diplomacy|Escape Artist|Hide|Intimidate|Listen|Move Silently|Sense Motive|Search|Spot|Use Rope									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Bludgeoning,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Angel (Planetar)						SR:30	DR:10/Evil		MONSTERCLASS:Angel Planetar:14	RACETYPE:Outsider	RACESUBTYPE:Angel|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:21,42		CR:16	SOURCEPAGE:MM		
Angel (Solar)	OUTPUTNAME:Angel, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,50,Fly,150	FACE:10	REACH:10			KIT:1|LG|NG|CG			BONUS:COMBAT|AC|21|TYPE=NaturalArmor						BONUS:STAT|STR|18	BONUS:STAT|DEX|10	BONUS:STAT|CON|10	BONUS:STAT|INT|12	BONUS:STAT|WIS|14	BONUS:STAT|CHA|14			MONCSKILL:Concentration|TYPE=Craft|TYPE=Knowledge|Diplomacy|Escape Artist|Hide|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot|Survival|Use Rope									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Bludgeoning,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Angel (Solar)						SR:32	DR:15/Epic and Evil		MONSTERCLASS:Angel Solar:22	RACETYPE:Outsider	RACESUBTYPE:Angel|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:33,66		CR:23	SOURCEPAGE:MM		
Animated Object (Tiny)	OUTPUTNAME:Animated Object, [NAME]			SIZE:T	MOVE:Walk,10	FACE:2.5	REACH:0	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN									BONUS:STAT|STR|-2	BONUS:STAT|DEX|4			BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10												LEGS:0	HANDS:0	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Bludgeoning,*1,1d3		ABILITY:Internal|AUTOMATIC|Race Traits ~ Animated Object (Tiny)									MONSTERCLASS:Construct:1	RACETYPE:Construct	RACESUBTYPE:Animated Object	TYPE:Construct	TEMPLATE:Mindless						CR:1/2	SOURCEPAGE:MM		
Animated Object (Small)	OUTPUTNAME:Animated Object, [NAME]			SIZE:S	MOVE:Walk,10	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|1|TYPE=NaturalArmor							BONUS:STAT|DEX|2			BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10												LEGS:0	HANDS:0	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Bludgeoning,*1,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Animated Object (Small)									MONSTERCLASS:Construct:1	RACETYPE:Construct	RACESUBTYPE:Animated Object	TYPE:Construct	TEMPLATE:Mindless						CR:1	SOURCEPAGE:MM		
Animated Object (Medium)	OUTPUTNAME:Animated Object, [NAME]			SIZE:M	MOVE:Walk,10	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|2				BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10												LEGS:0	HANDS:0	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Bludgeoning,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Animated Object (Medium)									MONSTERCLASS:Construct:2	RACETYPE:Construct	RACESUBTYPE:Animated Object	TYPE:Construct	TEMPLATE:Mindless						CR:2	SOURCEPAGE:MM		
Animated Object (Large)	OUTPUTNAME:Animated Object, [NAME]			SIZE:L	MOVE:Walk,10	FACE:10	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|6				BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10												LEGS:0	HANDS:0	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Bludgeoning,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Animated Object (Large)									MONSTERCLASS:Construct:4	RACETYPE:Construct	RACESUBTYPE:Animated Object	TYPE:Construct	TEMPLATE:Mindless						CR:3	SOURCEPAGE:MM		
