SOURCELONG:Monster Manual	SOURCESHORT:MM1	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	

# Race Groups																																	
Beholder Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Beholder ~ Eye Rays|Beholder ~ All-Around Vision|Beholder ~ Flight									SOURCEPAGE:MM1	
Eye Rays	CATEGORY:Special Ability	TYPE:BeholderSubRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Each of a beholder's small eyes can produce a magical ray once per round as a free action. During a single round, a creature can aim only two eye rays (gauth) or three eye rays (beholder) at targets in any one 90-degree arc (up, forward, backward, left, right, or down). The remaining eyes must aim at targets in other arcs, or not at all. A beholder can tilt and pan its body each round to change which rays it can bring to bear in any given arc. Each eye's effect resembles a spell (caster level 8th level for a gauth, or 14th for a beholder), but follows the rules for a ray (see Aiming a Spell, page 175 of the Player's Handbook).	KEY:Beholder ~ Eye Rays																											SOURCEPAGE:MM1	
All-Around Vision	CATEGORY:Special Ability	TYPE:BeholderSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beholders are exceptionally alert and circumspect. Their many eyes give them a +4 racial bonus on Spot and Search checks, and they can't be flanked.	KEY:Beholder ~ All-Around Vision									BONUS:SKILL|Spot,Search|4|TYPE=Racial									ABILITY:Special Ability|AUTOMATIC|All-Around Vision|Immunity To Flanking									SOURCEPAGE:MM1	
Flight	CATEGORY:Special Ability	TYPE:BeholderSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A beholder's body is naturally buoyant. This buoyancy allows it to fly at a speed of 20 feet. This buoyancy also grants it a permanent feather fall effect (as the spell) with personal range.	KEY:Beholder ~ Flight																											SOURCEPAGE:MM1	
																																	
Formian Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Formian ~ Resistancies|Formian ~ Immunities|Formian ~ Hive Mind|Formian ~ Darkvision									SOURCEPAGE:MM1	
Resistancies	CATEGORY:Special Ability	TYPE:FormianSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Formian ~ Resistancies									BONUS:VAR|ElectricityResistanceBonus|10|TYPE=Resistance	BONUS:VAR|FireResistanceBonus|10|TYPE=Resistance	BONUS:VAR|SonicResistanceBonus|10|TYPE=Resistance							ABILITY:Special Ability|AUTOMATIC|Resistance to Electricity|Resistance To Fire|Resistance To Sonic									SOURCEPAGE:MM1	
Immunities	CATEGORY:Special Ability	TYPE:FormianSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Formian ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity To Poison|Immunity To Petrification|Immunity To Cold									SOURCEPAGE:MM1	
Hive Mind	CATEGORY:Special Ability	TYPE:FormianSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:All formians within 50 miles of their queen are in constant communication. If one is aware of a particular danger, they all are. If one in a group is not flatfooted, none of them are. No formian in a group is considered flanked unless all of them are.	KEY:Formian ~ Hive Mind																											SOURCEPAGE:MM1	
Darkvision	CATEGORY:Special Ability	TYPE:FormianSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:No darkvision	KEY:Formian ~ Darkvision												BONUS:VAR|DarkvisionRange|-60|TYPE=Base															SOURCEPAGE:MM1	

Genie Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Genie ~ Plane Shift									SOURCEPAGE:MM1	
Plane Shift	CATEGORY:Special Ability	TYPE:GenieSubRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A genie can enter any of the elemental planes, the Astral Plane, or the Material Plane. This ability transports the genie and up to eight other creatures, provided they all link hands with the genie. It is otherwise similar to the spell of the same name (caster level 13th).	KEY:Genie ~ Plane Shift																											SOURCEPAGE:MM1	

Ghoul Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Ghoul ~ Languages|Ghoul ~ Ghoul Fever|Ghoul ~ Paralysis									SOURCEPAGE:MM1	
Languages	CATEGORY:Special Ability	TYPE:GhoulSubRaceTrait.SpecialQuality	VISIBLE:YES	AUTO:LANG|Common	KEY:Ghoul ~ Languages																											SOURCEPAGE:MM1	
Ghoul Fever	CATEGORY:Special Ability	TYPE:GhoulSubRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Disease - bite, Fortitude DC %1, incubation period 1 day, damage 1d3 Con and 1d3 Dex. The save DC is Charisma-based. An afflicted humanoid who dies of ghoul fever rises as a ghoul at the next midnight. A humanoid who becomes a ghoul in this way retains none of the abilities it possessed in life. It is not under the control of any other ghouls, but it hungers for the flesh of the living and behaves like a normal ghoul in all respects. A humanoid of 4 Hit Dice or more rises as a ghast, not a ghoul.|GhoulFeverDC	KEY:Ghoul ~ Ghoul Fever				DEFINE:GhoulFeverDC|0					BONUS:VAR|GhoulFeverDC|DefaultDCCha	BONUS:VAR|GhoulFeverDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Ghoul Fever)								ABILITY:Ability Focus|AUTOMATIC|Ghoul Fever									SOURCEPAGE:MM1	
Paralysis	CATEGORY:Special Ability	TYPE:GhoulSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Those hit by a ghoul's bite or claw attack must succeed on a DC ParalysisDC Fortitude save or be paralyzed for 1d4+1 rounds. Elves have immunity to this paralysis. The save DC is Charisma-based.|ParalysisDC	KEY:Ghoul ~ Paralysis				DEFINE:ParalysisDC|0					BONUS:VAR|ParalysisDC|DefaultDCCha	BONUS:VAR|ParalysisDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Paralysis)								ABILITY:Ability Focus|AUTOMATIC|Paralysis									SOURCEPAGE:MM1	
																																	
Giant Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Giant ~ Languages|Giant ~ Rock Throwing|Giant ~ Rock Catching									SOURCEPAGE:MM1	
Languages	CATEGORY:Special Ability	TYPE:GiantSubRaceTrait.SpecialQuality	VISIBLE:YES	AUTO:LANG|Giant	KEY:Giant ~ Languages																											SOURCEPAGE:MM1	
Rock Throwing	CATEGORY:Special Ability	TYPE:GiantSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Adult giants are accomplished rock throwers and receive a +1 racial bonus on attack rolls when throwing rocks. A giant of at least Large size can hurl rocks weighing 40 to 50 pounds each (Small objects) up to five range increments. The size of the range increment varies with the giant's variety. A Huge giant can hurl rocks of 60 to 80 pounds (Medium objects).	KEY:Giant ~ Rock Throwing									BONUS:WEAPONPROF=Rock|TOHIT|1|TYPE=Racial									AUTO:WEAPONPROF|Giant Rock									SOURCEPAGE:MM1	
Rock Catching	CATEGORY:Special Ability	TYPE:GiantSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A giant of at least Large size can catch Small, Medium, or Large rocks (or projectiles of similar shape). Once per round, a giant that would normally be hit by a rock can make a Reflex save to catch it as a free action. The DC is 15 for a Small rock, 20 for a Medium one, and 25 for a Large one. (If the projectile provides a magical bonus on attack rolls, the DC increases by that amount.) The giant must be ready for and aware of the attack in order to make a rock catching attempt.	KEY:Giant ~ Rock Catching																											SOURCEPAGE:MM1	
																																	
Golem Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Golem ~ Immunity To Magic									SOURCEPAGE:MM1	
Immunity To Magic	CATEGORY:Special Ability	TYPE:GolemSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Golems have immunity to most magical and supernatural effects, except when otherwise noted.	KEY:Golem ~ Immunity To Magic																											SOURCEPAGE:MM1	
																																	
Hag Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Hag ~ Languages|Hag ~ Spell-Like Abilities									SOURCEPAGE:MM1	
Languages	CATEGORY:Special Ability	TYPE:HagSubRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Hag ~ Languages																		AUTO:LANG|Giant|Common									SOURCEPAGE:MM1	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:HagSubRaceTrait.SpecialAttack	VISIBLE:YES	DESC:To use one of these abilities (which requires a full-round action), all three hags must be within 10 feet of one another, and all must participate. Once per month, a covey that does not have a Hag Eye can create one from a gem worth at least 20 gp	KEY:Hag ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=3|CASTERLEVEL=9|Animate Dead|Bestow Curse,14+CHA|Control Weather|Dream|Forcecage|Mind Blank|Mirage Arcana,15+CHA|Polymorph|Veil,16+CHA|Vision									SOURCEPAGE:MM1	
																																	
Inevitable Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Inevitable ~ Languages|Inevitable ~ Fast Healing									SOURCEPAGE:MM1	
Languages	CATEGORY:Special Ability	TYPE:InevitableSubRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Inevitable ~ Languages																		AUTO:LANG|Abyssal|Celestial|Infernal									SOURCEPAGE:MM1	
