SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net									
#											
# Name	OUTPUTNAME:	TYPE:	COST:	WT:	SOURCEPAGE:	Requires Modification?		Special Property			
# Adventuring Gear											
Animal call		TYPE:Goods.General	COST:20	WT:0	SOURCEPAGE:AaEG	SPROP:+1 circumstance bonus on Survival checks when hunting for food.					
Armor Maintenance Kit		TYPE:Goods.General.Kit	COST:1	WT:1	SOURCEPAGE:AaEG	SPROP:+2 circumstance on Craft (Armorsmithing) when repairing an armor					
Ascender/Slider		TYPE:Goods.General	COST:20	WT:1	SOURCEPAGE:AaEG	SPROP:+1 circumstance on Climb check when using a single rope					
Banner/Standard		TYPE:Goods.General	COST:30	WT:10	SOURCEPAGE:AaEG	SPROP:+2 circumstance on Spot checks to be seen on distance					
Barbed Wire (50-ft)		TYPE:Goods.General.Rope	COST:75	WT:35	SOURCEPAGE:AaEG						
Bolt Cutters		TYPE:Goods.General	COST:6	WT:5	SOURCEPAGE:AaEG						
Book (False)		TYPE:Goods.General	COST:30	WT:2	SOURCEPAGE:AaEG						
Brewmaker (Dwarven)		TYPE:Goods.General	COST:40	WT:2	SOURCEPAGE:AaEG						
Cage (Diminutive)		TYPE:Goods.General	COST:10	WT:13	SOURCEPAGE:AaEG	SPROP:One diminutive creature or multiple smaller					
Cage (Large)		TYPE:Goods.General	COST:75	WT:200	SOURCEPAGE:AaEG	SPROP:One large creature or multiple smaller					
Cage (Medium)		TYPE:Goods.General	COST:50	WT:100	SOURCEPAGE:AaEG	SPROP:One Medium creature or multiple smaller					
Cage (Small)		TYPE:Goods.General	COST:25	WT:75	SOURCEPAGE:AaEG	SPROP:One small creature or multiple smaller					
Cage (Tiny)		TYPE:Goods.General	COST:15	WT:25	SOURCEPAGE:AaEG	SPROP:One tiny creature or multiple smaller					
Candelabra (4 candle/Silver)		TYPE:Goods.General.Container	COST:10	WT:0.5	SOURCEPAGE:AaEG	CONTAINS:UNLIM|Candle=4					
Candelabra (4 candle/Gold)		TYPE:Goods.General.Container	COST:25	WT:1	SOURCEPAGE:AaEG	CONTAINS:UNLIM|Candle=4					
Candelabra (8 candle/Silver)		TYPE:Goods.General.Container	COST:20	WT:1	SOURCEPAGE:AaEG	CONTAINS:UNLIM|Candle=8					
Candelabra (8 candle/Gold)		TYPE:Goods.General.Container	COST:35	WT:2	SOURCEPAGE:AaEG	CONTAINS:UNLIM|Candle=8					
