SOURCELONG:Arms and Equipment Guide 3.0	SOURCESHORT:AaEG30	SOURCEWEB:http://www.gozzilioni.net
#																														
# Modifier Name		Unique Key	Type	Plus	Cost	Visible	Type granted	Keys to replace	Source Page	Requirements					Spell Res.	Damage Reduction	BONUS:EQM	BONUS:EQMWEAPON	Bonus to skill			Modify VAR			Special Property			Virtual Feat	Choose	Apply to both heads
Mighty		KEY:WHIPSTR	NAMEOPT:NONAME	TYPE:Whip.Mighty	COST:0	VISIBLE:QUALIFY			SOURCEPAGE:AaEG30	PRETYPE:1,Mighty	BONUS:ITEMCOST|TYPE.Whip|100*%CHOICE|PREVARGT:%CHOICE,0	BONUS:ITEMCOST|TYPE.WhipDagger|25|PREVARGT:%CHOICE,0	BONUS:WEAPON|TOHIT|-2|PREVARGT:%CHOICE,STR	BONUS:WEAPON|DAMAGE|min(%CHOICE,STR)	SPROP:%CHOICE bonus to damage	TEMPVALUE:MIN=-5|MAX=100|TITLE=STR mod	ASSIGNTOALL:YES													
																														
Baatorian Green Steel		KEY:GREEN_STEEL_WEAP		TYPE:BaseMaterial.Ammunition.Weapon	COST:2000	VISIBLE:QUALIFY	ITYPE:Metal.GreenSteel		SOURCEPAGE:AaEG30	PRETYPE:2,Weapon,Metal	PRETYPE:1,Slashing,Piercing				BONUS:WEAPON|DAMAGE|1|TYPE=Enhancement		SPROP:30hp/inch and 12 hardness					ASSIGNTOALL:NO								
Gehennan Morghuth-Iron		KEY:MORGHUTHIRON_WEAP		TYPE:BaseMaterial.Ammunition.Weapon	COST:4000	VISIBLE:QUALIFY	ITYPE:Metal.MorghutIron		SOURCEPAGE:AaEG30	PRETYPE:2,Weapon,Metal	PRETYPE:1,Slashing,Piercing			BONUS:WEAPON|TOHIT|-1	BONUS:WEAPON|DAMAGE|-1		SPROP:Injury, Fort DC 12, initial damage 1 DEX, secondary damage 1d4 DEX. 20hp/inch and 9 hardness					ASSIGNTOALL:NO								
Solanian Truesteel		KEY:TRUESTEEL_WEAP		TYPE:BaseMaterial.Ammunition.Weapon	COST:1000	VISIBLE:QUALIFY	ITYPE:Metal.TrueSteel		SOURCEPAGE:AaEG30	PRETYPE:2,Weapon,Metal							SPROP:+1 Bonus on the confirmation roll for a critical hot. 25hp/inch and 11 hardness					ASSIGNTOALL:NO								
Astral Driftmetal		KEY:DRIFTMETAL_ARMR		TYPE:BaseMaterial.Armor	COST:1000	VISIBLE:QUALIFY	ITYPE:Metal.DriftMetal		SOURCEPAGE:AaEG30	PRETYPE:2,Armor,Metal					BONUS:EQM|WEIGHTADD|5		SPROP:It has a 25% chance of being effective against an incorporeal attack, as if it were made of force. 30hp/inch and 12 hardness					ASSIGNTOALL:NO								
Astral Driftmetal		KEY:DRIFTMETAL_SHLD		TYPE:BaseMaterial.Shield	COST:1000	VISIBLE:QUALIFY	ITYPE:Metal.DriftMetal		SOURCEPAGE:AaEG30	PRETYPE:2,Shield,Metal					BONUS:EQM|WEIGHTADD|5		SPROP:It has a 25% chance of being effective against an incorporeal attack, as if it were made of force. 30hp/inch and 12 hardness					ASSIGNTOALL:NO								
Blended Quartz		KEY:BLENDED_QUARTZ_ARMR		TYPE:BaseMaterial.Armor	COST:0	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz		SOURCEPAGE:AaEG30	PRETYPE:2,Armor,Metal					BONUS:EQM|WEIGHTMULT|2	BONUS:EQMARMOR|SPELLFAILURE|-20	SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO	BONUS:ITEMCOST|TYPE.Light|2000	BONUS:ITEMCOST|TYPE.Medium|5000	BONUS:ITEMCOST|TYPE.Heavy|10000					
Blended Quartz		KEY:BLENDED_QUARTZ_SHLD		TYPE:BaseMaterial.Shield	COST:2000	VISIBLE:QUALIFY	ITYPE:Metal.BlendedQuartz		SOURCEPAGE:AaEG30	PRETYPE:2,Shield,Metal					BONUS:EQM|WEIGHTMULT|2	BONUS:EQMARMOR|SPELLFAILURE|-20	SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO								
Bronzewood		KEY:BRONZEWOOD		TYPE:BaseMaterial.Amulet.Instrument.Staff.Rod	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Wooden.Bronzewood		SOURCEPAGE:AaEG30	PRETYPE:1,Amulet.Instrument.Staff.Rod					BONUS:EQM|WEIGHTMULT|0.9		SPROP:20hp/inch and 10 hardness					ASSIGNTOALL:NO								
Bronzewood		KEY:BRONZEWOOD_WEAP		TYPE:BaseMaterial.Ammunition.Weapon	COST:500*WT	VISIBLE:QUALIFY	ITYPE:Wooden.Bronzewood	REPLACES:STEEL	SOURCEPAGE:AaEG30	PRETYPE:1,Weapon	!PRETYPE:1,Chain				BONUS:EQM|WEIGHTMULT|0.9		SPROP:15hp/inch and 8 hardness					ASSIGNTOALL:NO								
