SOURCELONG:Magic of Faerun 3.0	SOURCESHORT:MoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:02-2001																													
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	DESC:Beholder mage neither gain nor lose proficiency with any weapons, armor, or shields by gaining levels in this class.					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Spellfire	CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural	VISIBLE:YES	DESC:%1' ray of half fire and half raw magical power %2d%3 energy/level spent Reflex DC %4 half.|SpellfireRay|SpellfireDice|SpellfireDamageDie|SpellfireDC	DESC:Reserve %1 max level|SpellfireReserve				DEFINE:SpellfireRay|0	DEFINE:SpellfireDice|0	DEFINE:SpellfireDamageDie|0	DEFINE:SpellfireDC|0	DEFINE:SpellfireReserve|0	DEFINE:SpellfireAttacks|0	DEFINE:SpellfirePenalty|0	BONUS:VAR|SpellfireAttacks|1|TYPE=Base	BONUS:VAR|SpellfireRay|400|TPE=Base	BONUS:VAR|SpellfireDice|1|TPE=Base	BONUS:VAR|SpellfireDamageDie|6|TYPE=Base	BONUS:VAR|SpellfireDC|20|TYPE=Base	BONUS:VAR|SpellfireReserve|max(0,CON)					AUTO:EQUIP|Spellfire						SOURCEPAGE:MoF30
																																
Weapon Focus	CATEGORY:Special Ability	TYPE:WarWizardOfCormyrWeaponFocus	VISIBLE:YES	KEY:War Wizard of Cormyr ~ Weapon Focus ~ Chooser															STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|QUALIFIED[TYPE=Martial]		ABILITY:FEAT|AUTOMATIC|Weapon Focus (%LIST)									SOURCEPAGE:MoF30
																																
###Block:Spells temporary abilities																																
CATEGORY=Internal|Default.MOD	DEFINE:SpellAuraOfGlory|0	ABILITY:Special Ability|AUTOMATIC|Spell ~ Aura of Glory|PREVARGTEQ:SpellAuraOfGlory,1																														
CATEGORY=Internal|Default.MOD	DEFINE:SpellAzuthSSpellShield|0	ABILITY:Special Ability|AUTOMATIC|Spell ~ Azuth's Spell Shield|PREVARGTEQ:SpellAzuthSSpellShield,1	DEFINE:SpellAzuthSSpellShieldLVL|0																													
CATEGORY=Internal|Default.MOD	DEFINE:SpellBloodFrenzy|0	ABILITY:Special Ability|AUTOMATIC|Spell ~ Blood Frenzy|PREVARGTEQ:SpellBloodFrenzy,1																														
CATEGORY=Internal|Default.MOD	DEFINE:SpellBranchToBranch|0	ABILITY:Special Ability|AUTOMATIC|Spell ~ Branch to Branch|PREVARGTEQ:SpellBranchToBranch,1																														
CATEGORY=Internal|Default.MOD	DEFINE:SpellClawsOfTheBeast|0	ABILITY:Special Ability|AUTOMATIC|Spell ~ Claws of the Beast|PREVARGTEQ:SpellClawsOfTheBeast,1																														
