SOURCELONG:Magic of Faerun 3.0	SOURCESHORT:MoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:02-2001																								
																											
###Block: AB																											
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus		
Acid Splash				TYPE:Spell	SCHOOL:Creation		DESCRIPTOR:Acid	CLASSES:Sorcerer=0|Wizard=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One missile of acid.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:You fire a small orb of acid at the target.	SOURCEPAGE:MoF30										
Acid Storm				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Acid	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Cylinder (20-ft. Radius, 20 ft. high)	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:You cause acid to rain downward. Focus: A flask of acid.	SOURCEPAGE:MoF30										
Alamanther's Return				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:See text	CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S, M, XP	CASTTIME:1 full round	RANGE:See text	TARGETAREA:One spell or spell-like ability. Material Component: A silver mirror worth 50 gp. XP Cost: 1,000 XP or more.	DURATION:See text	SAVEINFO:See text	SPELLRES:See text	DESC:You duplicate the effect of any one spell or spell-like ability you have seen.	SOURCEPAGE:MoF30		COST:50	XPCOST:1000							
Amanuensis				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Object or objects with writing.	DURATION:10 minutes/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:You cause writing from one source (such as a book) to be copied into a book, paper, or parchment. Material Component: Materials necessary for copying spells from a spellbook (if appropriate).	SOURCEPAGE:MoF30										
Amplify				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Sonic	CLASSES:Bard=1	COMPS:V, S	CASTTIME:1 minute	RANGE:Long	TARGETAREA:15-ft-radius emanation centered on a creature, object or point in space.	DURATION:1 round/level	SAVEINFO:Will negates (object)	SPELLRES:Yes or No	DESC:You cause an amplification of all sounds within the spell's area.	SOURCEPAGE:MoF30										
Antimagic Aura				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature.	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:An invisible barrier surrounds a single creature and its equipment. Material Component: A pinch of powdered iron or iron filings.	SOURCEPAGE:MoF30										
Aura against Flame				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You create an aura of blue mist that protects you against fire, absorbing the first 12 points of fire damage as an endure elements spell. In addition to the endure elements (fire) effect, the spell can be used to snuff out fires.	SOURCEPAGE:MoF30										
Aura of Glory				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Paladin=2	COMPS:V, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You channel divine power into yourself, enhancing your physical presence and augmenting your magical abilities.	SOURCEPAGE:MoF30							TEMPBONUS:PC|SKILL|Bluff,Diplomacy,Handle Animal,Intimidate|2|TYPE=Sacred	TEMPBONUS:PC|SKILL|TYPE.Charisma|2|TYPE=Sacred	TEMPBONUS:PC|VAR|TurnCheckUndead|2|TYPE=Sacred	TEMPBONUS:ANYPC|VAR|SpellAuraOfGlory|1|TYPE=Temporary
Aura of Vitality				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/3 levels, no two of which can be more than 30-ft apart.	DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:All targets receive a +4 enhancement bonus to Strength, Dexterity, and Constitution scores.	SOURCEPAGE:MoF30							TEMPBONUS:ANYPC|STAT|STR,DEX,CON|4|TYPE=Enhancement			
Azuth's Exalted Triad				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You alter one of your prepared spells so that you can cast it multiple times before it is expended.	SOURCEPAGE:MoF30										
Azuth's Spell Shield				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=7	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Up to one creature/levels, no two of which can be more than 30-ft apart.	DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Each targeted creature gains spell resistance equal to 12 + caster level.	SOURCEPAGE:MoF30							TEMPVALUE:MIN=1|MAX=20|TITLE=Choose Choose caster level	TEMPBONUS:ANYPC|VAR|SpellAzuthSSpellShield|1|TYPE=Temporary	TEMPBONUS:ANYPC|VAR|SpellAzuthSSpellShieldLVL|%CHOICE	
Backlash				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Permanent or until discharged	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You bestow upon the target an unusual curse: The first spell the target casts that meets the triggering conditions rebounds on the cursed creature exactly as if affected by spell turning.	SOURCEPAGE:MoF30										
