SOURCELONG:Magic of Faerun 3.0	SOURCESHORT:MoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-02
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
#Crypt Spawn template																																
Turn Resistance	CATEGORY:Special Ability	TYPE:CryptSpawnRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A crypt spawn has +2 turn resistance.	KEY:Crypt Spawn ~ Turn Resistance									BONUS:VAR|TurnResistanceBonus|2																		SOURCEPAGE:MoF30
																																
#Magister template																																
Arcane Generosity	CATEGORY:Special Ability	TYPE:MagisterRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The Magister is charged with promoting and increasing the use of magic in the world, and so whenever she gives away a magic item she created or teaches someone a new spell, she gains XP equal to 1/2 of the XP cost of that item (treat teaching a spell as giving away a scroll of that spell). This bonus is not awarded for items or spells that destroy or feed upon magic (such as dispel magic, energy transformation field, or Mordenkainen's disjunction). Many Magisters have created a legacy for themselves by leaving caches of spellbooks or magic items where people with the potential for great magic will find them.	KEY:Magister ~ Arcane Generosity																											SOURCEPAGE:MoF30
Spell Purge	CATEGORY:Special Ability	TYPE:MagisterRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:When the character becomes the Magister, all existing curses, charms, and other spells and effects placed upon her by other people are removed. The new Magister is also offered an immediate teleport to a safe place where she can remain undisturbed for up to a tenday, learning more about the duties of the Magister. A new Magister is protected by spell resistance 50 and a greater ironguard spell, although these protections fade after 1d4+3 months and nine days, respectively.	KEY:Magister ~ Spell Purge																											SOURCEPAGE:MoF30
Mystra's Shield	CATEGORY:Special Ability	TYPE:MagisterRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The Magister is immune to all enchantment spells and effects and psionics, and gains a +2 holy bonus on saving throws against all magical effects.	KEY:Magister ~ Mystra's Shield																		ABILITY:Special Ability|AUTOMATIC|Immunity To Enchantment									SOURCEPAGE:MoF30
Magesight	CATEGORY:Special Ability	TYPE:MagisterRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A Magister's connection to the Weave allows her to sense wild magic or dead magic areas, spellcasting, gates, portals, and ongoing spell effects within 60 feet. These are sensed automatically without concentration, and magesight operates even when the Magister is unconscious (awakening the Magister if something new enters the range of her magesight).	KEY:Magister ~ Magesight																											SOURCEPAGE:MoF30
Spel-Like Ailities	CATEGORY:Special Ability	TYPE:MagisterRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Magister ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=TL|Feather Fall|Levitate|Read Magic|True Seeing	SPELLS:Innate|TIMES=6|CASTERLEVEL=TL|Dimension Door|Water Walk								SOURCEPAGE:MoF30
Mind Blank	CATEGORY:Special Ability	TYPE:MagisterRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The Magister is constantly protected by a heightened (10th-level) mind blank.	KEY:Magister ~ Mind Blank																											SOURCEPAGE:MoF30
Spell Immunity	CATEGORY:Special Ability	TYPE:MagisterRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The Magister is immune to one spell each of levels 0 through 9 as if protected by a spell immunity spell. The spells are chosen when the Magister takes office and cannot be changed thereafter. She is also immune to all forms of magical writing (such as glyph of warding, explosive runes, sepia snake sigil, and symbol), and her presence does not trigger their effects.	KEY:Magister ~ Spell Immunity																											SOURCEPAGE:MoF30
Magister's Step	CATEGORY:Special Ability	TYPE:MagisterRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The Magister can step through any magical barrier of 6th level or lower as if it did not exist. This does not destroy the barrier; the Magister simply passes through it.	KEY:Magister ~ Magister's Step																											SOURCEPAGE:MoF30
Spell Focus	CATEGORY:Special Ability	TYPE:MagisterRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The Magister casts all spells as if she had the Spell Focus feat for all schools.	KEY:Magister ~ Spell Focus	SERVESAS:ABILITY=FEAT|Spell Focus								BONUS:DC|ALLSPELLS|1|TYPE=SpellFocus																		SOURCEPAGE:MoF30
Imbuement	CATEGORY:Special Ability	TYPE:MagisterRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:As imbue with spell ability, except that the Magister can imbue a target with any spell she has prepared (or knows, if a sorcerer). This ability permanently costs the Magister 1 hit point each time it is used.	KEY:Magister ~ Imbuement																											SOURCEPAGE:MoF30
Name Attunement	CATEGORY:Special Ability	TYPE:MagisterRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The Magister can hear her name or the title of the Magister spoken anywhere in the world, plus the next nine words spoken after it. She also gains an idea of the direction and distance of the speaker. Treat this ability as a 9th-level divination effect.	KEY:Magister ~ Name Attunement																											SOURCEPAGE:MoF30
Magister's Sigil	CATEGORY:Special Ability	TYPE:MagisterRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The Magister, like almost all powerful mages, has her own personal sigil, but can use the sigil of the Magister as well. Any other creature that writes the sigil of the Magister in a permanent manner (as opposed to tracing it in the air or on sand) must make two Will saves (DC 25 each) to negate a blindness and feeblemind (respectively) that last for ten days.	KEY:Magister ~ Magister's Sigil																											SOURCEPAGE:MoF30
Rapid Preparation	CATEGORY:Special Ability	TYPE:MagisterRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The Magister only needs 10 minutes to prepare spells instead of an hour.	KEY:Magister ~ Rapid Preparation																											SOURCEPAGE:MoF30
																																
#Spectral Mage template																																
Paralysis	CATEGORY:Special Ability	TYPE:SpectralMageRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A creature touched by a spectral mage must make a Fortitude saving throw or be paralyzed for a number of rounds equal to the spectral mage's hit dice.	KEY:Spectal Mage ~ Paralysis	DESC:%2 rounds (Fort DC %1)|ParalysisDC|HD			DEFINE:ParalysisDC|0					BONUS:VAR|ParalysisDC|DefaultDCCha	BONUS:VAR|ParalysisDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Paralysis)								ABILITY:Ability Focus|AUTOMATIC|Paralysis									SOURCEPAGE:MoF30
Corporeal Manipulation	CATEGORY:Special Ability	TYPE:SpectralMageRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A spectral mage can manipulate material objects as a standard action. Its ability to manipulate objects is limited to what can be accomplished with a mage hand spell. This allows a spectral mage to use material components for spells and turn pages in its spellbook so it can prepare spells. The spectral mage needs to be in contact with the item to use this ability, so it must be touching the components it wishes to use in order to cast spells needing those components. This also allows the spectral mage to use magic items that do not need to be worn to function.	KEY:Spectal Mage ~ Corporeal Manipulation																											SOURCEPAGE:MoF30
