SOURCELONG:Magic of Faerun 3.0	SOURCESHORT:MoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-02
																							
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE											
# Class Name req	Requirements	FINE																					
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS											
# Class Name spellcast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	SPELLLIST	spell level increases (BONUS:CASTERLEVEL)							#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)
CLASS:Gnome Artificer	HD:6	TYPE:PC.Prestige	FACT:Abb|Gar	MAXLEVEL:10	SOURCEPAGE:MoF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:GnomeArtificerLVL|0	BONUS:VAR|GnomeArtificerLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1								
CLASS:Gnome Artificer	PREMULT:1,[PRERACE:1,Gnome],[PREMULT:2,[PRERACE:1,Human],[PREREGION:Lanthan]]	PRESKILL:1,Craft (Alchemy)=3	PRESKILL:1,Craft (Armorsmithing)=8,Craft (Blacksmithing)=8,Craft (Gemcutting)=8,Craft (Locksmithing)=8,Craft (Metalworking)=8,Craft (Trapmaking)=8,Craft (Weaponmaking)=8	PRESKILL:3,Craft (Armorsmithing)=4,Craft (Blacksmithing)=4,Craft (Gemcutting)=4,Craft (Locksmithing)=4,Craft (Metalworking)=4,Craft (Trapmaking)=4,Craft (Weaponmaking)=4	PRESKILL:1,Disable Device=2	PRESKILL:2,Knowledge (Architecture)=4,Knowledge (Engineering)=4	PRESKILL:1,Profession (Apothecary)=3,Profession (Engineer)=3,Profession (Siege Engineer)=3	PREABILITY:1,CATEGORY=FEAT,Lightning Reflexes	PREABILITY:1,CATEGORY=FEAT,Skill Focus (Craft (Armorsmithing)),Skill Focus (Craft (Blacksmithing)),Skill Focus (Craft (Gemcutting)),Skill Focus (Craft (Locksmithing)),Skill Focus (Craft (Metalworking)),Skill Focus (Craft (Trapmaking)),Skill Focus (Craft (Weaponsmithing))	PRESPELLTYPE:1,Arcane=1	PRETEXT:Able to cast 1st-level arcane spells of the Illusion school.												
CLASS:Gnome Artificer	STARTSKILLPTS:4	CSKILL:Craft (Alchemy)|Appraise|Concentration|TYPE.Craft|Disable Device|Knowledge (Architecture and Engineering)|Listen|TYPE.Profession|Search|Use Rope																					
CLASS:Gnome Artificer	SPELLSTAT:INT	FACT:SpellType|Mundane	SPELLBOOK:YES	KNOWNSPELLS:LEVEL=0																			
1				ABILITY:Gnome Artificer Class Feature|AUTOMATIC|Gnome Artificer ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.GnomeArtificerProficiencies																			
#																							
1				ABILITY:Gnome Artificer Class Feature|AUTOMATIC|Gnome Artificer ~ Artificer Item|!PREABILITY:1,CATEGORY=ACF,TYPE.GnomeArtificerArtificerItem																			
