SOURCELONG:Magic of Faerun 3.0	SOURCESHORT:MoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-02
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
																																
###Block: Race Traits																																
																																
###Block: Subtype Traits																																
# Elements																																
# Alignments																																
# Racial																																
																																
# Race Groups Subtype																																
																																
# Race Groups																																
																																
###Block: Tracker																																
																																
###Block: Races Traits																																
Race Traits ~ Beholderkin (Spectator)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BeholderkinSpectatorRaceTrait	AUTO:LANG|Common|Beholder										BONUS:VAR|Maneuverability|4|TYPE=Base	BONUS:VAR|DarkvisionRange|60|TYPE=Base																	
Eye Rays	CATEGORY:Special Ability	TYPE:BeholderkinSpectatorRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Three of the four small eyes can produce a magical ray once per round, even when the spectator is attacking physically or moving at full speed. The creature can aim all its rays in any direction. The fourth eye's magical ability is not used in combat (see below). Each eye's effect resembles a spell cast by a 13th-level sorcerer but follows the rules for a ray (see Aiming a Spell, page 148 of the Player's Handbook). All rays have a range of 150 feet.	KEY:Beholderkin (Spectator) ~ Eye Rays																											SOURCEPAGE:MoF30
Telepathy	CATEGORY:Special Ability	TYPE:BeholderkinSpectatorRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Spectators can communicate telepathically with any one creature within 100 feet that has a language.	KEY:Beholderkin (Spectator) ~ Telepathy									BONUS:VAR|TelepathyRange|100|TYPE=Base																		SOURCEPAGE:MoF30
All-Around Vision	CATEGORY:Special Ability	TYPE:BeholderkinSpectatorRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Spectators are exceptionally perspicacious, gaining a +4 racial bonus on Spot and Search checks. They cannot be flanked.	KEY:Beholderkin (Spectator) ~ All-Around Vision									BONUS:SKILL|Spot,Search|4|TYPE=Racial									ABILITY:Special Ability|AUTOMATIC|All-Around Vision|Immunity To Flanking									SOURCEPAGE:MoF30
Spell Turning	CATEGORY:Special Ability	TYPE:BeholderkinSpectatorRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A spectator's central eye continuously produces a spell turning effect within a 150- foot-long cone extending straight ahead from the creature's front. It is otherwise exactly as spell turning cast by a 13th-level sorcerer and can reflect one spell of any level per round. The spectator can choose when to use this ability each round.	KEY:Beholderkin (Spectator) ~ Spell Turning																											SOURCEPAGE:MoF30
Create Food and Water	CATEGORY:Special Ability	TYPE:BeholderkinSpectatorRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:As a full-round action, the spectator can use its fourth eyestalk to create food and water as the spell, producing enough nourishment to feed eight Medium-size creatures.	KEY:Beholderkin (Spectator) ~ Create Food and Water																											SOURCEPAGE:MoF30
Flight	CATEGORY:Special Ability	TYPE:BeholderkinSpectatorRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A spectator's body is naturally buoyant. This buoyancy allows it to fly as the spell, at a speed of 30 feet (good maneuverability), and grants it a permanent feather fall effect with personal range.	KEY:Beholderkin (Spectator) ~ Flight																											SOURCEPAGE:MoF30
Plane shift	CATEGORY:Special Ability	TYPE:BeholderkinSpectatorRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A spectator that is blinded can no longer guard its treasure and flees to another plane to recover. This ability resembles the plane shift spell but affects only the spectator. The creature returns once the blindness has been removed.	KEY:Beholderkin (Spectator) ~ Plane Shift																											SOURCEPAGE:MoF30
																																
Race Traits ~ Crossroads Guardian	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=CrossroadsGuardianRaceTrait	AUTO:LANG|Common|Beholder										BONUS:VAR|Maneuverability|4|TYPE=Base	BONUS:VAR|DarkvisionRange|60|TYPE=Base																	
Summon Satyr	CATEGORY:Special Ability	TYPE:CrossroadsGuardianRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Once per day, a crossroads guardian can attempt to summon 1d3 satyrs with pipes with a 35%% chance of success. This ability has a duration of 1 hour.	KEY:Crossroads Guardian ~ Summon Satyr																											SOURCEPAGE:MoF30
Telepathy	CATEGORY:Special Ability	TYPE:CrossroadsGuardianRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Guardians communicate telepathically with any creature within 100 feet that has a language.	KEY:Crossroads Guardian ~ Telepathy									BONUS:VAR|TelepathyRange|100|TYPE=Base																		SOURCEPAGE:MoF30
Guardian Qualities	CATEGORY:Special Ability	TYPE:CrossroadsGuardianRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Guardians must stay within 50 feet of the crossroads they protect.	KEY:Crossroads Guardian ~ Guardian Qualities																											SOURCEPAGE:MoF30
																																
Race Traits ~ Scalamagdrion	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ScalamagdrionRaceTrait											BONUS:VAR|Maneuverability|4|TYPE=Base																		
Rend	CATEGORY:Special Ability	TYPE:ScalamagdrionRaceTrait.SpecialAttack.Extraordinary.Rend	VISIBLE:YES	DESC:If a scalamagdrion hits with both claw attacks, it latches onto the opponent's body and tears the flesh. This attack automatically deals an additional 2d6+6 damage.	KEY:Scalamagdrion ~ Rend									BONUS:VAR|RendDice|2	BONUS:VAR|RendDieSize|6|TYPE=Base																	SOURCEPAGE:MoF30
Immunities	CATEGORY:Special Ability	TYPE:ScalamagdrionRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Scalamagdrions are immune to fire and cold.	KEY:Scalamagdrion ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity to Cold|Immunity to Fire									SOURCEPAGE:MoF30
Silence	CATEGORY:Special Ability	TYPE:ScalamagdrionRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:This ability continuously duplicates the effects of the spell of the same name, centered on the scalamagdrion. The scalamagdrion can suppress this ability if desired.	KEY:Scalamagdrion ~ Silence																											SOURCEPAGE:MoF30
Spell Turning	CATEGORY:Special Ability	TYPE:ScalamagdrionRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:This ability continuously duplicates the effects of the spell of the same name with the scalamagdrion as the target. Unlike the spell, the scalamagdrion's spell turning ability has an unlimited ability to turn spells (the spell turning is never exhausted).	KEY:Scalamagdrion ~ Spell Turning																											SOURCEPAGE:MoF30
