SOURCELONG:Magic of Faerun 3.0	SOURCESHORT:MoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-02
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	DESC:Beholder mage neither gain nor lose proficiency with any weapons, armor, or shields by gaining levels in this class.					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.GnomeArtificerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Gnome artificers are proficient with all simple weapons, light armor, medium armor, and shields. Armor check penalties for armor heavier than leather apply to the skills Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Pick Pocket, and Tumble.	KEY:Gnome Artificer ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Gnome_Artificer	SOURCEPAGE:MoF30	
Artificer Item	CATEGORY:Special Ability	TYPE:ClassFeatures.GnomeArtificerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A gnome artificer has the ability to craft nonmagical devices that duplicate the effects of certain spells. Rather than using magic to accomplish this, he uses his knowledge of pistons, gears, lenses, and other simple mechanical inventions. As a result, an artificer item usually appears unwieldy and complex, with many attachments, lenses, protrusions, wires, and hoses. By default, all artificer devices use two item spaces: any one space plus either the "belt" or "cloak" space. It is possible to build devices that take up only one space, but they cost twice as much. An artificer can only craft artificer devices that duplicate the effects of the artificer device powers he knows (see below). All artificer devices have charges, representing fuel and other substances needed to provide the effect. After a certain number of uses, the device ceases to function until the artificer expends more time and money to rebuild it. For example, an artificer creates a bracerlike device that gives its wearer the equivalent of a bull's strength spell; the device has 50 charges, and when those charges are used, the device's power no longer functions until an artificer rebuilds it. Rebuilding a device costs half as much as it would cost to make it from scratch.	KEY:Gnome Artificer ~ Artificer Item																										SORTKEY:Class_Gnome_Artificer	SOURCEPAGE:MoF30	
Artificer Device Power	CATEGORY:Special Ability	TYPE:ClassFeatures.GnomeArtificerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:While mages wield arcane power and clerics manipulate divine energy, the artificer uses mundane tools and strange reagents to produce impressive results. Like a neophyte wizard with a small repertoire of spells, an artificer starts with a few technological tricks that he has mastered. As he gains levels, the artificer learns new device powers automatically as shown on Table 3-1: The Gnome Artificer. The artificer can also purchase information on other device powers from other artificers or find them in books of crafting, with the prices and value of such objects equal to a scroll of the equivalent spell level.	KEY:Gnome Artificer ~ Artificer Device Power				DEFINE:Caster_Level_Gnome_Artificer|0	DEFINE:Caster_Level_BL_Gnome_Artificer|0				BONUS:CASTERLEVEL|Gnome Artificer|Caster_Level_Adept	BONUS:VAR|Caster_Level_Gnome_Artificer|GnomeArtificerLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Gnome_Artificer|charbonusto("PCLEVEL","Gnome Artificer")	BONUS:VAR|Caster_Level_Highest__DevicePower|Caster_Level_Gnome_artificer+Caster_Level_BL_Gnome_Artificer|TYPE=Base														SORTKEY:Class_Gnome_Artificer	SOURCEPAGE:MoF30	
Bonus Item	CATEGORY:Special Ability	TYPE:ClassFeatures.GnomeArtificerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 2nd level, the gnome artificer gains a single-function 50-charge device of any device power he knows. The item functions aThis artificer level. The artificer is assumed to have been working on this item in his spare time, and does not need to spend any money or time to acquire the item. The gnome artificer gains another bonus item every even-numbered level thereafter.	KEY:Gnome Artificer ~ Bonus Item																										SORTKEY:Class_Gnome_Artificer	SOURCEPAGE:MoF30	
Skill Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.GnomeArtificerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 3rd level, the gnome artificer gains the Skill Focus (Disable Device) feat.	KEY:Gnome Artificer ~ Skill Focus																		ABILITY:FEAT|AUTOMATIC|Skill Focus (Disable Device)								SORTKEY:Class_Gnome_Artificer	SOURCEPAGE:MoF30	
Salvage	CATEGORY:Special Ability	TYPE:ClassFeatures.GnomeArtificerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:An artificer of at least 5th level can dismantle a device (whether built by him or by another artificer) and use its pieces as parts for another device. This reduces the base price of the new device by 1/2 the market price of the device being dismantled. A device without full charges is worth only a percentage of its original market price equal to the percentage of charges remaining.	KEY:Gnome Artificer ~ Salvage																										SORTKEY:Class_Gnome_Artificer	SOURCEPAGE:MoF30	
Prototype	CATEGORY:Special Ability	TYPE:ClassFeatures.GnomeArtificerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 7th level, an artificer can make a device that has a device power that he doesn't know. These prototype items cost double the normal amount and are unreliable. Every time an artificer uses a prototype ability, he must make an artificer level check (DC = device power's artificer level +1) to activate the device successfully. Any other creature trying to activate the prototype device power has a -5 penalty on this check. Failure indicates a mishap (see the Artificer Prototype Mishaps sidebar on the previous page). If a mishap occurs, the charge for that attempted use is expended, regardless of the mishap's outcome. The device power used in a prototype must be on the device power list, and the artificer can't build a prototype that incorporates powers requiring the shadow effect ability until he reaches 9th level.	KEY:Gnome Artificer ~ Prototype																										SORTKEY:Class_Gnome_Artificer	SOURCEPAGE:MoF30	
Shadow Effect	CATEGORY:Special Ability	TYPE:ClassFeatures.GnomeArtificerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Starting at 9th level, the artificer can make devices that draw upon the power of shadow to produce supernatural effects.	KEY:Gnome Artificer ~ Shadow Effect																										SORTKEY:Class_Gnome_Artificer	SOURCEPAGE:MoF30	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildWizardOfWaterdeepClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Guild wizards gain no proficiency with any weapon or armor.	KEY:Guild Wizard of Waterdeep ~ Weapon and Armor Proficiency																										SORTKEY:Class_Guild_Wizard_Of_Waterdeep	SOURCEPAGE:MoF30	
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.GuildWizardOfWaterdeepClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A guild wizard's training focuses on magic. Thus, when a character gains a new level of guild wizard, she gains new spells per day as if she had also gained a level in whatever spellcasting class she belonged to before she added the prestige class. She does not, however, gain any other benefit a character of that class would have gained (metamagic or item creation feats, for example). If a character had more than one spellcasting class before she became a guild wizard, she must decide to which class she adds each level of guild wizard for purposes of determining spells per day when she adds the new level.	KEY:Guild Wizard of Waterdeep ~ Spells per Day																										SORTKEY:Class_Guild_Wizard_Of_Waterdeep	SOURCEPAGE:MoF30	
