SOURCELONG:Darkness and Dread	SOURCESHORT:DD	SOURCEWEB:http://www.fantasyflightgames.com											
#													
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE	
# Class Name req	Requirements	FINE											
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS	
# Class Name spellcast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST							
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)			
CLASS:Acolyte	HD:6	TYPE:NPC.Base.Academic	FACT:Abb|Acl	MAXLEVEL:10	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:AcolyteLVL|0	BONUS:VAR|AcolyteLVL|CL
CLASS:Acolyte	PRETEXT:In order to enter the acolyte class after 1st level, a character must gain the sponsorship of a religious organization and complete training in its basic tenets. The DM can waive this requirement if a player has played his character as exceptionally religious and pious. In this case, a character might gain the favor of his deity or enter the priesthood without any additional work if his background supports such a decision.												
CLASS:Acolyte	STARTSKILLPTS:4	CSKILL:Concentration|Diplomacy|Heal|Knowledge (Geography)|Knowledge (History)|Knowledge (Local)|Knowledge (Religion)|TYPE.Perform|TYPE.Profession|Sense Motive|Speak Language											
CLASS:Acolyte	SPELLSTAT:WIS	FACT:SpellType|Divine	MEMORIZE:NO	KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4		
1				ABILITY:Acolyte Class Feature|AUTOMATIC|Acolyte ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.AcolyteProficiencies									
#													
1				ABILITY:Acolyte Class Feature|AUTOMATIC|Acolyte ~ Spellcasting|!PREABILITY:1,CATEGORY=ACF,TYPE.AcolyteSpells
1				ABILITY:Acolyte Class Feature|AUTOMATIC|Acolyte ~ Ward the Unholy|!PREABILITY:1,CATEGORY=ACF,TYPE.AcolyteWardTheUnholy									
5				ABILITY:Acolyte Class Feature|AUTOMATIC|Acolyte ~ Tend the Flock|!PREABILITY:1,CATEGORY=ACF,TYPE.AcolyteTendTheFlock									
