SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
###Block: Race Traits																																	
# Race Traits (assigned by race)																																	
																																	
###Block: Racial Assigned (assigned by race trait)																																	
																																	
# # Subrace Traits																																	
General Aquatic Racial Trait	CATEGORY:Special Ability	TYPE:SubTraitAbility.SpecialQuality	VISIBLE:YES		KEY:Racial Trait ~ Aquatic									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial									TEMPLATE:Bonus Language ~ Aquan	ABILITY:Internal|AUTOMATIC|LEVEL_ADJUSTMENT_1								SOURCEPAGE:UA	
																																	
General Arctic Racial Trait	CATEGORY:Special Ability	TYPE:SubTraitAbility.SpecialQuality	VISIBLE:YES		KEY:Racial Trait ~ Arctic				DEFINE:ColdEnduranceSaves|0					BONUS:VAR|ColdEnduranceSaves|4|TYPE=Racial																		SOURCEPAGE:UA	ASPECT:SaveBonus|+%1 Racial bonus to Fortitude saving throw to resist the effects of cold weather or exposure.|ColdEnduranceSaves
																																	
General Desert Racial Trait	CATEGORY:Special Ability	TYPE:SubTraitAbility.SpecialQuality	VISIBLE:YES		KEY:Racial Trait ~ Desert				DEFINE:HeatEnduranceSaves|0					BONUS:VAR|HeatEnduranceSaves|4|TYPE=Racial																		SOURCEPAGE:UA	ASPECT:SaveBonus|+%1 Racial bonus to Fortitude saving throw to resist the effects of cold weather or exposure.|ColdEnduranceSaves
																																	
Races of Air	CATEGORY:Special Ability	TYPE:SubTraitAbility.SpecialQuality	VISIBLE:YES		KEY:Racial Trait ~ Air																		ABILITY:Special Ability|AUTOMATIC|Races of Air ~ Air Mastery|Races of Air ~ Earth Vulnerability|Races of Air ~ Breathless									SOURCEPAGE:UA	
Air Mastery	CATEGORY:Special Ability	TYPE:RacesOfAirSubTrait.SubTraitAbility.SpecialQuality	VISIBLE:YES	DESC:+1 racial bonus on attack rolls against creatures of the earth subtype, including extraplanar creatures from the Elemental Plane of Earth.	KEY:Races of Air ~ Air Mastery																											SOURCEPAGE:UA	
Earth Vulnerability	CATEGORY:Special Ability	TYPE:RacesOfAirSubTrait.SubTraitAbility.SpecialQuality	VISIBLE:YES	DESC:-2 penalty on all saving throws against spells, spell-like abilities, and supernatural abilities with the earth subtype or used by creatures of the earth subtype, including extraplanar creatures from the Elemental Plane of Earth.	KEY:Races of Air ~ Earth Vulnerability																											SOURCEPAGE:UA	
Breathless	CATEGORY:Special Ability	TYPE:RacesOfAirSubTrait.SubTraitAbility.SpecialQuality	VISIBLE:YES	DESC:Members of air races do not breathe, so they have immunity to drowning, suffocation, and attacks that require inhalation (such as some types of poison).	KEY:Races of Air ~ Breathless																											SOURCEPAGE:UA	
																																	
Races of Earth	CATEGORY:Special Ability	TYPE:SubTraitAbility.SpecialQuality	VISIBLE:YES		KEY:Racial Trait ~ Earth																		ABILITY:Special Ability|AUTOMATIC|Races of Earth ~ Earth Mastery|Races of Earth ~ Air Vulnerability|Races of Earth ~ Stability									SOURCEPAGE:UA	
Earth Mastery	CATEGORY:Special Ability	TYPE:RacesOfEarthSubTrait.SubTraitAbility.SpecialQuality	VISIBLE:YES	DESC:+1 racial bonus on attack rolls against creatures of the air subtype, including extraplanar creatures from the Elemental Plane of Air.	KEY:Races of Earth ~ Earth Mastery																											SOURCEPAGE:UA	
Air Vulnerability	CATEGORY:Special Ability	TYPE:RacesOfEarthSubTrait.SubTraitAbility.SpecialQuality	VISIBLE:YES	DESC:-2 penalty on all saving throws against spells, spell-like abilities, and supernatural abilities with the air subtype or used by creatures of the air subtype, including extraplanar creatures from the Elemental Plane of Air.	KEY:Races of Earth ~ Air Vulnerability																											SOURCEPAGE:UA	
Stability	CATEGORY:Special Ability	TYPE:RacesOfEarthSubTrait.SubTraitAbility.SpecialQuality	VISIBLE:YES	DESC:An earth creature gains a +4 bonus on ability checks made to resist being bull rushed or tripped when standing on the ground (but not when climbing, fl ying, riding, or otherwise not standing fi rmly on the ground). If the standard race already has this ability, the bonuses stack.	KEY:Races of Earth ~ Stability				DEFINE:RaceOfAirStabilityBonus|0					BONUS:VAR|DwarfStabilityBonus|4	BONUS:VAR|StabilityBonus|DwarfStabilityBonus								ABILITY:Special Ability|AUTOMATIC|Stability									SOURCEPAGE:UA	
																																	
Races of Fire	CATEGORY:Special Ability	TYPE:SubTraitAbility.SpecialQuality	VISIBLE:YES		KEY:Racial Trait ~ Fire									BONUS:VAR|FireResistanceBonus|5|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Races of Fire ~ Fire Mastery|Races of Fire ~ Water Vulnerability|Resistance to Fire									SOURCEPAGE:UA	
Fire Mastery	CATEGORY:Special Ability	TYPE:RacesOfFireSubTrait.SubTraitAbility.SpecialQuality	VISIBLE:YES	DESC:+1 racial bonus on attack rolls against creatures of the water subtype, including extraplanar creatures from the Elemental Plane of Water.	KEY:Races of Fire ~ Fire Mastery																											SOURCEPAGE:UA	
Water Vulnerability	CATEGORY:Special Ability	TYPE:RacesOfFireSubTrait.SubTraitAbility.SpecialQuality	VISIBLE:YES	DESC:-2 penalty on all saving throws against spells, spell-like abilities, and supernatural abilities with the water or cold subtype or used by creatures of the water or cold subtype, including extraplanar creatures from the Elemental Plane of Water.	KEY:Races of Fire ~ Water Vulnerability																											SOURCEPAGE:UA	
																																	
Races of Water	CATEGORY:Special Ability	TYPE:SubTraitAbility.SpecialQuality	VISIBLE:YES		KEY:Racial Trait ~ Water																		ABILITY:Special Ability|AUTOMATIC|Races of Water ~ Water Mastery|Races of Water ~ Fire Vulnerability|Races of Water ~ Natural Swimmers									SOURCEPAGE:UA	
Water Mastery	CATEGORY:Special Ability	TYPE:RacesOfWaterSubTrait.SubTraitAbility.SpecialQuality	VISIBLE:YES	DESC:+1 racial bonus on attack rolls against creatures of the fire subtype, including extraplanar creatures from the Elemental Plane of Fire.	KEY:Races of Water ~ Water Mastery																											SOURCEPAGE:UA	
Fire Vulnerability	CATEGORY:Special Ability	TYPE:RacesOfWaterSubTrait.SubTraitAbility.SpecialQuality	VISIBLE:YES	DESC:-2 penalty on all saving throws against spells, spell-like abilities, and supernatural abilities with the fire subtype or used by creatures of the fire subtype, including extraplanar creatures from the Elemental Plane of Fire.	KEY:Races of Water ~ Fire Vulnerability																											SOURCEPAGE:UA	
Natural Swimmers	CATEGORY:Special Ability	TYPE:RacesOfWaterSubTrait.SubTraitAbility.SpecialQuality	VISIBLE:YES	DESC:Members of water races have a swim speed equal to their base land speed. (If the creature already has a swim speed, it improves by 10 feet.) A water creature can move through water at its swim speed without making Swim checks. It has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. A water creature can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.	KEY:Races of Water ~ Natural Swimmers									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial									TEMPLATE:CHOOSE:Races of Water ~ Swim Speed|Races of Water ~ No Swim Speed										
																																	
###Block: Traits																																	
Well Traveled	CATEGORY:Special Ability	TYPE:GnomeRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Aquatic gnomes receive a +2 racial bonus on Sense Motive and Gather Information checks. They always know when their welcome is wearing out.	KEY:Aquatic Gnome ~ Well Traveled									BONUS:SKILL|Sense Motive,Gather Information|2|TYPE=Racial																		SOURCEPAGE:UA	
Combat Bonus	CATEGORY:Special Ability	TYPE:GnomeRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus to attack rolls against goblinoid (including goblins, hob-goblins and bugbears): Gnomes battle these creatures frequently and practice special techniques for fighting them.|GnomeCombatBonus	KEY:Aquatic Gnome ~ Combat Bonus				DEFINE:GnomeCombatBonus|0					BONUS:VAR|GnomeCombatBonus|1																		SOURCEPAGE:UA	ASPECT:CombatBonus|+%1 racial bonus on attack rolls against goblinoids|GnomeCombatBonus
Thievery	CATEGORY:Special Ability	TYPE:GoblinRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Aquatic goblins get a +2 racial bonus on Disable Device and Sleight of Hand checks.	KEY:Aquatic Goblin ~ Thievery									BONUS:SKILL|Disable Device,Sleight of Hand|2|TYPE=Racial																		SOURCEPAGE:UA	
Ride Skill Bonus	CATEGORY:Special Ability	TYPE:GoblinRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Ride checks.|GoblinRideSkillBonus	KEY:Aquatic Goblin ~ Ride Skill Bonus				DEFINE:GoblinRideSkillBonus|0					BONUS:VAR|GoblinRideSkillBonus|2	BONUS:SKILL|Move Silently|GoblinRideSkillBonus|TYPE=Racial																	SOURCEPAGE:UA	ASPECT:SkillBonus|+%1 racial bonus on Hide checks.|GoblinRideSkillBonus
Move Silently Skill Bonus	CATEGORY:Special Ability	TYPE:GoblinRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Move Silently checks.|GoblinMoveSilentlySkillBonus	KEY:Aquatic Goblin ~ Move Silently Skill Bonus				DEFINE:GoblinMoveSilentlySkillBonus|0					BONUS:VAR|GoblinMoveSilentlySkillBonus|2	BONUS:SKILL|Move Silently|GoblinMoveSilentlySkillBonus|TYPE=Racial																	SOURCEPAGE:UA	ASPECT:SkillBonus|+%1 racial bonus on Hide checks.|GoblinMoveSilentlySkillBonus
Diplomacy Skill Bonus	CATEGORY:Special Ability	TYPE:HalfElfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Diplomacy checks: Half-elves get along naturally with all people.|HalfElfDiplomacySkillBonus	KEY:Aquatic Half-Elf ~ Diplomacy Skill Bonus				DEFINE:HalfElfDiplomacySkillBonus|0					BONUS:VAR|HalfElfDiplomacySkillBonus|2	BONUS:SKILL|Diplomacy|HalfElfDiplomacySkillBonus|TYPE=Racial																	SOURCEPAGE:UA	ASPECT:SkillBonus|+%1 racial bonus on Diplomacy checks.|HalfElfDiplomacySkillBonus
