SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02

STARTPACK:Table 1-3 Bloodline Strength	TYPE:DefaultMonster	VISIBLE:QUALIFY	APPLY:INSTANT	EQUIPBUY:0	PREVARGTEQ:UA_VAR_BLOODLINES,1
SELECT:roll("1d100")
KIT:Table 1-4 Minor Bloodline	OPTION:01-55
KIT:Table 1-5 Intermediate Bloodline	OPTION:56-85
KIT:Table 1-6 Major Bloodline	OPTION:86-100

STARTPACK:Table 1-4 Minor bloodline	TYPE:DefaultMonster	VISIBLE:QUALIFY	APPLY:INSTANT	EQUIPBUY:0	PREVARGTEQ:UA_VAR_BLOODLINES,1
SELECT:roll("1d100")
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Celestial	OPTION:01-05
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Demon	OPTION:06-10
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Devil	OPTION:11-15
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Doppelganger	OPTION:16-19
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Black Dragon	OPTION:20
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Blue Dragon	OPTION:21
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Brass Dragon	OPTION:22-23
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Bronze Dragon	OPTION:24-25
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Copper Dragon	OPTION:26-27
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Gold Dragon	OPTION:28-29
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Green Dragon	OPTION:30
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Red Dragon	OPTION:31-32
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Silver Dragon	OPTION:33-35
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ White Dragon	OPTION:36
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Air Elemental	OPTION:37-40
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Earth Elemental	OPTION:41-44
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Fire Elemental	OPTION:45-48
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Water Elemental	OPTION:49-52
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Fey	OPTION:53-57
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Djinni	OPTION:58-60
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Efreeti	OPTION:61-62
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Janni	OPTION:63-65
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Cloud Giant	OPTION:66-67
ABILITY:CATEGORY=Special Ability|Bloodline ~ Minor ~ Fire Giant	OPTION:68-69
