SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ParagonDrowClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Drow paragons are proficient with all simple weapons, rapiers, longswords, and hand crossbows, and with light armor.	KEY:Paragon Drow ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|TYPE=WeaponProfParagonDrow	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Paragon_Drow	SOURCEPAGE:UA	
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.ParagonDrowClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st and 3rd level, a female drow paragon gains new spells per day as if she had also gained a level in cleric. A male drow paragon instead gains new spells per day as if he had gained a level of wizard. The paragon does not, however, gain any other benefit a character of that class would have gained (bonus metamagic feats, and so on). This essentially means that the character adds the level of drow paragon to her level in cleric or wizard, then determines spells per day and caster level accordingly. If the drow paragon is female and has no levels in cleric, or is male and has no levels in wizard, this class feature has no effect.	KEY:Paragon Drow ~ Spells per Day																										SORTKEY:Class_Paragon_Drow	SOURCEPAGE:UA	
Improved Spell-Like Abilities	CATEGORY:Special Ability	TYPE:ClassFeatures.ParagonDrowClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, a drow paragon gains one additional daily use of each of her innate spelllike abilities.	KEY:Paragon Drow ~ Improved Spell-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=TL-HD|Dancing Light|Darkness|Faerie Fire								SORTKEY:Class_Paragon_Drow	SOURCEPAGE:UA	
Improved Darkvision	CATEGORY:Special Ability	TYPE:ClassFeatures.ParagonDrowClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, a drow paragon's darkvision range increases by 30 feet.	KEY:Paragon Drow ~ Improved Darkvision									BONUS:VAR|DarkvisionRange|30																	SORTKEY:Class_Paragon_Drow	SOURCEPAGE:UA	
Light Sensitivity	CATEGORY:Special Ability	TYPE:ClassFeatures.ParagonDrowClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A 2nd-level drow paragon's light blindness is lessened to light sensitivity. Instead of being blinded by bright light, she is merely dazzled in bright sunlight or within the radius of a daylight spell.	KEY:Paragon Drow ~ Light Sensitivity																										SORTKEY:Class_Paragon_Drow	SOURCEPAGE:UA	
Ability Boost	CATEGORY:Special Ability	TYPE:ClassFeatures.ParagonDrowClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a drow paragon's Dexterity score increases by 2 points.	KEY:Paragon Drow ~ Ability Boost									BONUS:STAT|DEX|2																	SORTKEY:Class_Paragon_Drow	SOURCEPAGE:UA	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ParagonDwarfClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Dwarf paragons are proficient with all simple and martial weapons, with light, medium, and heavy armor, and with shields (but not with tower shields).	KEY:Paragon Dwarf ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Paragon_Dwarf	SOURCEPAGE:UA	
Craft Expertise	CATEGORY:Special Ability	TYPE:ClassFeatures.ParagonDwarfClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A dwarf paragon may add his class level as a racial bonus on all Craft checks related to stone or metal items.	KEY:Paragon Dwarf ~ Craft Expertise									BONUS:VAR|DwarfCraftSkillBonus|ParagonDwarfLVL																	SORTKEY:Class_Paragon_Dwarf	SOURCEPAGE:UA	
Improved Stonecunning	CATEGORY:Special Ability	TYPE:ClassFeatures.ParagonDwarfClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, a dwarf paragon's racial bonus on Search checks to notice unusual stonework increases to +4. The range at which he receives an automatic Search check for coming near an example of unusual stonework increases to 20 feet. Also, he can intuit where true north lies in relation to himself (as if he had 5 ranks in Survival) whenever underground.	KEY:Paragon Dwarf ~ Improved Stonecunning									BONUS:VAR|StonecunningSearchBonus|4|TYPE=Racial																	SORTKEY:Class_Paragon_Dwarf	SOURCEPAGE:UA	
Improved Darkvision	CATEGORY:Special Ability	TYPE:ClassFeatures.ParagonDwarfClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, a dwarf paragon's darkvision range increases by 30 feet.	KEY:Paragon Dwarf ~ Improved Darkvision									BONUS:VAR|DarkvisionRange|30																	SORTKEY:Class_Paragon_Dwarf	SOURCEPAGE:UA	
