SOURCELONG:Book of Exalted Deeds	SOURCESHORT:BoED	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																
#																			
# Equipment Name	Output Name	Type	Cost	Weight	Define	Requires Modification?	Source Page	Special Property											
### Materials																			
Aurorum		KEY:AURORUM	TYPE:BaseMaterial.MasterworkQuality.Weapon.Shield.Armor	COST:4000	VISIBLE:QUALIFY	ITYPE:Metal.Aurorum.Masterwork	REPLACES:STEEL	SOURCEPAGE:BoED	PRETYPE:1,Metal	!PRETYPE:1,Masterwork		ASSIGNTOALL:NO							
Frystalline		KEY:FRYSTALLINE	TYPE:BaseMaterial.MasterworkQuality.Weapon	COST:2000	VISIBLE:QUALIFY	ITYPE:Metal.Frystalline.Masterwork	REPLACES:STEEL	SOURCEPAGE:BoED	PRETYPE:1,Metal	!PRETYPE:1,Masterwork		ASSIGNTOALL:NO	SPROP:15hp/inch and 10 hardness. Good aligned.						
Serren		KEY:SERREN_ITEM	TYPE:BaseMaterial.MasterworkQuality.Instruments.Tools.Goods	COST:4000	VISIBLE:QUALIFY	ITYPE:Wooden.Serren.Masterwork	REPLACES:WOOD	SOURCEPAGE:BoED	PRETYPE:1,Wooden	PRETYPE:1,Instruments,Tools,Goods		ASSIGNTOALL:NO	SPROP:Ghost Touch.						
Serren		KEY:SERREN_WEAP	TYPE:BaseMaterial.MasterworkQuality.Weapon	COST:4000	VISIBLE:QUALIFY	ITYPE:Wooden.Serren.Masterwork	REPLACES:WOOD	SOURCEPAGE:BoED	PRETYPE:1,Wooden	PRETYPE:1,Bow,Crossbow		ASSIGNTOALL:NO	SPROP:Ghost Touch.						
Serren		KEY:SERREN_AMMO	TYPE:BaseMaterial.MasterworkQuality.Ammunition	COST:4000	VISIBLE:QUALIFY	ITYPE:Wooden.Serren.Masterwork	REPLACES:WOOD	SOURCEPAGE:BoED	PRETYPE:1,Wooden	PRETYPE:1,Arrow,Bolt		ASSIGNTOALL:NO	SPROP:Ghost Touch.						
Solarian Truesteel		KEY:SOLARIAN_WEAP	TYPE:BaseMaterial.MasterworkQuality.Ammunition.Weapon	COST:1000	VISIBLE:QUALIFY	ITYPE:Metal.Solarian.Masterwork	REPLACES:STEEL	SOURCEPAGE:BoED	PRETYPE:1,Metal	!PRETYPE:1,Masterwork	PRETYPE:1,Weapon,Ammunition	ASSIGNTOALL:NO	SPROP:25hp/inch and 11 hardness. +1 bonus on the confirmation roll for a crritical hit.						
Ysgardian Heartwire		KEY:HEARTWIRE	TYPE:Armor	COST:1500	VISIBLE:QUALIFY			SOURCEPAGE:BoED	PRETYPE:1,Armor	PRETYPE:1,Heavy,Medium		ASSIGNTOALL:NO	SPROP:+2 AC for purposes of the roll to confirm a critical hit.						
																			
#Special Ability																			
###Block: Armors and Shields																			
