SOURCELONG:Book of Exalted Deeds	SOURCESHORT:BoED	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																																																																																																																																																																																																																																	
																																																																																																																																																																																																																																				
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page																																																																																																																																																																																																				
CATEGORY=Internal|Standard Selection ~ Leadership Cohort.MOD	COMPANIONLIST:Leadership Cohort|Planetouched (Aasimar)|PREALIGN:LG,NG,CG|PREVARGT:LeadershipCohortLVL,2																																																																																																																																																																																																																																			
CATEGORY=Internal|Standard Selection ~ Leadership Cohort.MOD	COMPANIONLIST:Leadership Cohort|Sprite (Grig)|PREALIGN:CG|PREVARGT:LeadershipCohortLVL,4																																																																																																																																																																																																																																			
CATEGORY=Internal|Standard Selection ~ Leadership Cohort.MOD	COMPANIONLIST:Leadership Cohort|Companion ~ Bariaur (Exalted Bariaur)|PREALIGN:CG|PREVARGT:LeadershipCohortLVL,5																																																																																																																																																																																																																																			
CATEGORY=Internal|Standard Selection ~ Leadership Cohort.MOD	COMPANIONLIST:Leadership Cohort|Archon (Lantern)|PREALIGN:LG|PREVARGT:LeadershipCohortLVL,5																																																																																																																																																																																																																																			
CATEGORY=Internal|Standard Selection ~ Leadership Cohort.MOD	COMPANIONLIST:Leadership Cohort|Sprite (Pixie)|PREALIGN:CG|PREVARGT:LeadershipCohortLVL,5																																																																																																																																																																																																																																			
CATEGORY=Internal|Standard Selection ~ Leadership Cohort.MOD	COMPANIONLIST:Leadership Cohort|Blink Dog|PREALIGN:LG|PREVARGT:LeadershipCohortLVL,6																																																																																																																																																																																																																																			
CATEGORY=Internal|Standard Selection ~ Leadership Cohort.MOD	COMPANIONLIST:Leadership Cohort|Dragon (Brass)|PREALIGN:CG|PREVARGT:LeadershipCohortLVL,6																																																																																																																																																																																																																																			
CATEGORY=Internal|Standard Selection ~ Leadership Cohort.MOD	COMPANIONLIST:Leadership Cohort|Pegasus|PREALIGN:CG|PREVARGT:LeadershipCohortLVL,6																																																																																																																																																																																																																																			
CATEGORY=Internal|Standard Selection ~ Leadership Cohort.MOD	COMPANIONLIST:Leadership Cohort|Dragon (Copper)|PREALIGN:CG|PREVARGT:LeadershipCohortLVL,7																																																																																																																																																																																																																																			
CATEGORY=Internal|Standard Selection ~ Leadership Cohort.MOD	COMPANIONLIST:Leadership Cohort|Eladrin (Coure)|PREALIGN:CG|PREVARGT:LeadershipCohortLVL,7																																																																																																																																																																																																																																			
