SOURCELONG:Book of Exalted Deeds	SOURCESHORT:BoED	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10						
									
#	SOURCEPAGE:SpellListI.rtf	SPELLLEVEL:DOMAIN|=1||=2||=3||=4||=5||=6||=7||=8||=9|	DESC:						
Celestial	SOURCEPAGE:BoED	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainCelestial,1]	SPELLLEVEL:DOMAIN|Celestial=1|Vision of Heaven|Celestial=2|Consecrate|Celestial=3|Blessed Sight|Celestial=4|Planar Ally (Lesser)|Celestial=5|Heavenly Lightning|Celestial=6|Call Faithful Servants|Celestial=7|Heavenly Lightning Storm|Celestial=8|Holy Aura|Celestial=9|Gate	DESC:You gain the supernatural ability to smite evil once per day. Add a +4 bonus to your melee attack roll and your cleric level to your damage. You must declare the smite before making the attack, and the attempt is wasted if the target is not evil.		ABILITY:Special Ability|AUTOMATIC|Smite Evil	BONUS:VAR|SmiteEvilToHit|4	BONUS:VAR|SmiteEvilDamage|ClericLVL	BONUS:VAR|SmiteEvil|1
Community	SOURCEPAGE:BoED	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainCommunity,1]	SPELLLEVEL:DOMAIN|Community=1|Bless|Community=2|Status|Community=3|Prayer|Community=4|Status (Greater)|Community=5|Rary's Telepathic Bond|Community=6|Heroes' Feast|Community=7|Refuge|Community=8|Sympathy|Community=9|Heal (Mass)	DESC:Use calm emotions as a spell-like ability once per day. Gain a +2 competence bonus on Diplomacy checks.		SPELLS:Innate|TIMES=1|CASTERLEVEL=ClericLVL|Calm Emotions	BONUS:SKILL|Diplomacy|2|TYPE=Competence		
Endurance	SOURCEPAGE:BoED	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainEndurance,1]	SPELLLEVEL:DOMAIN|Endurance=1|Endure Elements|Endurance=2|Bear's Endurance|Endurance=3|Refreshment|Endurance=4|Sustain|Endurance=5|Stoneskin|Endurance=6|Bear's Endurance (Mass)|Endurance=7|Globe of Invulnerability|Endurance=8|Spell Turning|Endurance=9|Iron Body	DESC:You can perform a feat of endurance, which is the supernatural ability to gain an enhancement bonus to Constitution equal to one-half your level. Activating the power is a free action, the power lasts 1 minute, and it is usable once per day.		TEMPDESC:You can perform a feat of endurance as a supernatural ability.	TEMPBONUS:PC|STAT|CON|ClericLVL/2|TYPE=Enhancement		
Fey	SOURCEPAGE:BoED	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainFey,1]	SPELLLEVEL:DOMAIN|Fey=1|Faerie Fire|Fey=2|Charm Person|Fey=3|Inspired Aim|Fey=4|Blinding Beauty|Fey=5|Tree Stride|Fey=6|Heroes' Feast|Fey=7|Liveoak|Fey=8|Unearthly Beauty|Fey=9|Summon Nature's Ally IX	DESC:Gain a +4 bonus on saving throws against the spell-like abilities of feys (such as dryads, nymphs, and sprites).					
Glory	SOURCEPAGE:BoED	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainGlory,1]	SPELLLEVEL:DOMAIN|Glory=1|Disrupt Undead|Glory=2|Glorious Raiment|Glory=3|Searing Light|Glory=4|Celestial Brilliance|Glory=5|Crown of Flame|Glory=6|Bolt of Glory|Glory=7|Sunbeam|Glory=8|Crown of Glory|Glory=9|Blinding Glory	DESC:Turn undead with a +2 bonus on the turning check and +1d6 to the turning damage roll.		BONUS:VAR|TurnLevelUndead|2	BONUS:VAR|TurnDiceUndead|1		
Herald	SOURCEPAGE:BoED	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainHerald,1]	SPELLLEVEL:DOMAIN|Herald=1|Comprehend Languages|Herald=2|Enthrall|Herald=3|Tongues|Herald=4|Sending|Herald=5|Command (Greater)|Herald=6|Dream|Herald=7|Aspect of the Deity|Herald=8|Crown of Glory|Herald=9|Aspect of the Deity (Greater)	DESC:Intimidate is a class skill. You gain a +4 sacred bonus on Diplomacy and Intimidate checks.		CSKILL:Intimidate	BONUS:SKILL|Diplomacy,Intimidate|4|TYPE=Sacred		
Joy	SOURCEPAGE:BoED	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainJoy,1]	SPELLLEVEL:DOMAIN|Joy=1|Vision of Heaven|Joy=2|Elation|Joy=3|Distilled Joy|Joy=4|Good Hope|Joy=5|Chaav's Laugh|Joy=6|Heroism (Greater)|Joy=7|Starmantle|Joy=8|Sympathy|Joy=9|Otto's Irresistible Dance	DESC:You gain a +4 sacred bonus on Diplomacy checks.		BONUS:SKILL|Diplomacy|4|TYPE=Sacred			
Pleasure	SOURCEPAGE:BoED	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainPleasure,1]	SPELLLEVEL:DOMAIN|Pleasure=1|Remove Fear|Pleasure=2|Lastai's Caress|Pleasure=3|Heart's Ease|Pleasure=4|Remove Fatigue|Pleasure=5|Eagle's Splendor (Mass)|Pleasure=6|Celestial Blood|Pleasure=7|Empyreal Ecstasy|Pleasure=8|Spread of Contentment|Pleasure=9|Sublime Revelry	DESC:You are immune to any effect that damages or drains your Charisma.		ABILITY:Special Ability|AUTOMATIC|Immunity To Charisma Damage|Immunity To Charisma Drain			
